Organization,CommodityType,Day,TheaterSupplyLevel
ABN,GEN-RESUPPLY,0,5
ABN,GEN-RESUPPLY,10,30
ABN,GEN-AMMO,0,5
ABN,GEN-AMMO,10,30
ABN,GEN-POL,0,5
ABN,GEN-POL,10,30
BIR EL ATER,GEN-RESUPPLY,0,5
BIR EL ATER,GEN-RESUPPLY,10,30
BIR EL ATER,GEN-AMMO,0,5
BIR EL ATER,GEN-AMMO,10,30
BIR EL ATER,GEN-POL,0,5
BIR EL ATER,GEN-POL,10,30
GABES,GEN-RESUPPLY,0,5
GABES,GEN-RESUPPLY,10,30
GABES,GEN-AMMO,0,5
GABES,GEN-AMMO,10,30
GABES,GEN-POL,0,5
GABES,GEN-POL,10,30
GABES (HNTM),GEN-RESUPPLY,0,5
GABES (HNTM),GEN-RESUPPLY,10,30
GABES (HNTM),GEN-AMMO,0,5
GABES (HNTM),GEN-AMMO,10,30
GABES (HNTM),GEN-POL,0,5
GABES (HNTM),GEN-POL,10,30
GABES (HNTS),GEN-RESUPPLY,0,5
GABES (HNTS),GEN-RESUPPLY,10,30
GABES (HNTS),GEN-AMMO,0,5
GABES (HNTS),GEN-AMMO,10,30
GABES (HNTS),GEN-POL,0,5
GABES (HNTS),GEN-POL,10,30
GAFSA,GEN-RESUPPLY,0,5
GAFSA,GEN-RESUPPLY,10,30
GAFSA,GEN-AMMO,0,5
GAFSA,GEN-AMMO,10,30
GAFSA,GEN-POL,0,5
GAFSA,GEN-POL,10,30
JERBA-ZARZIS,GEN-RESUPPLY,0,5
JERBA-ZARZIS,GEN-RESUPPLY,10,30
JERBA-ZARZIS,GEN-AMMO,0,5
JERBA-ZARZIS,GEN-AMMO,10,30
JERBA-ZARZIS,GEN-POL,0,5
JERBA-ZARZIS,GEN-POL,10,30
MADANIYIN,GEN-RESUPPLY,0,5
MADANIYIN,GEN-RESUPPLY,10,30
MADANIYIN,GEN-AMMO,0,5
MADANIYIN,GEN-AMMO,10,30
MADANIYIN,GEN-POL,0,5
MADANIYIN,GEN-POL,10,30
MECHANICSBURG,GEN-RESUPPLY,0,0
MECHANICSBURG,GEN-AMMO,0,0
MECHANICSBURG,GEN-POL,0,0
PHILADELPHIA,GEN-RESUPPLY,0,0
PHILADELPHIA,GEN-AMMO,0,0
PHILADELPHIA,GEN-POL,0,0
SEABASE,GEN-RESUPPLY,0,5
SEABASE,GEN-RESUPPLY,10,30
SEABASE,GEN-AMMO,0,5
SEABASE,GEN-AMMO,10,30
SEABASE,GEN-POL,0,5
SEABASE,GEN-POL,10,30
SFAX,GEN-RESUPPLY,0,5
SFAX,GEN-RESUPPLY,10,30
SFAX,GEN-AMMO,0,5
SFAX,GEN-AMMO,10,30
SFAX,GEN-POL,0,5
SFAX,GEN-POL,10,30
SIGONELLA,GEN-RESUPPLY,0,5
SIGONELLA,GEN-RESUPPLY,10,30
SIGONELLA,GEN-AMMO,0,5
SIGONELLA,GEN-AMMO,10,30
SIGONELLA,GEN-POL,0,5
SIGONELLA,GEN-POL,10,30
TEBESSA,GEN-RESUPPLY,0,5
TEBESSA,GEN-RESUPPLY,10,30
TEBESSA,GEN-AMMO,0,5
TEBESSA,GEN-AMMO,10,30
TEBESSA,GEN-POL,0,5
TEBESSA,GEN-POL,10,30
THYNA-EL MAOU,GEN-RESUPPLY,0,5
THYNA-EL MAOU,GEN-RESUPPLY,10,30
THYNA-EL MAOU,GEN-AMMO,0,5
THYNA-EL MAOU,GEN-AMMO,10,30
THYNA-EL MAOU,GEN-POL,0,5
THYNA-EL MAOU,GEN-POL,10,30
