GEOLOC_CODE,PORT_NAME,ELEVATION,RAIL_INTERSECTION,ROAD_INTERSECTION,HEIGHTLIMIT,MLCLIMIT,WEIGHTLIMIT,WIDTHLIMIT,CNTNR_STAC,DOCUMENTATION,TOT_AREA_SQFT,HELOMOG,HOURSOFOPEND,HOURSOFOPSTART,MAXRAILCARSATNODE,PAXSTORAGE,POLSTORAGE,RAILCLEARANCE,RAILMAXLOADED,ROADCONVOYCLEARANCE,ROADMAXLOADED,STAGINGAREA,THEATERSTAGINGBASE,CONTLIFTSONOFFRAIL,RAILBBINFONOFF,RAILBBMHEONOFF,RAILBBPERONOFF,RAILCONTMHEONOFF,RAILCONTONOFF,RAILCONTPERSONOFF,RAILPOLINFONOFF,RAILPOLPERONOFF,RAILRORINFONOFF,RAILRORPERONOFF,RAILTOTALONOFF,RAILCARENTRYQCAP,ROADBBINFONOFF,ROADBBMHEONOFF,ROADBBPERONOFF,ROADCONTMHEONOFF,ROADCONTPERSONOFF,ROADPOLINFONOFF,ROADPOLPERONOFF,ROADRORINFONOFF,ROADRORPERONOFF,VEHICLEENTRYQCAP,ICONNAME,ICONCOLOR,ALTERNATEAIRPORT,SEABBOFFPERS,SEABBONPERS,SEACONTOFFPERS,SEACONTONPERS,SEAROROOFFPERS,SEAROROONPERS,MAXMILSHIP
MDYA,,,,,,,,,,,1110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENID,,,,,,,,,,,1110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWCY,,,,,,,,,,,1110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDXB,,,,,,,,,,,2100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JTUW,,,,,,,,,,,1110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JTUX,,,,,,,,,,,2100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGCF,,,,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAKZ,,,,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVVM,,,,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXCC,,,,,,,,,,,1110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWDE,,,,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JTVH,,,,,,,,,,,2100000.0,,,,,,,,,,,,JTVH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JTVG,,,,,,,,,,,1110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWDG,,,,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JTVE,,,,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XTBT,,,,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXBY,,,,,,,,,,,1110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDYH,,,,,,,,,,,1110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWES,,,,,,,,,,,1110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFMT,,,,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEYU,,,,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDVL,,,,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDWY,,,,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
