PARKING_NAME,AIRPORT_NAME, HOT_CARGO, NARROWBODY_PARKING_MOG, NARROWBODY_WORKING_MOG, NUMBER_FUEL_HYDRANTS, SMALLBODY_PARKING_MOG, SMALLBODY_WORKING_MOG, WIDEBODY_PARKING_MOG, WIDEBODY_WORKING_MOG, PRIORITY, MODIFY
POPE AFB -TMKH-MAP-PARKING,POPE AFB -TMKH-MAP,,,,,,,,,0,
COVENTRY -EQDF-AGS-PARKING,COVENTRY -EQDF-AGS,,,,,,,,,0,
SPOKANE ANG -VZBT-MAP-PARKING,SPOKANE ANG -VZBT-MAP,,,,,,,,,0,
NIAGARA FALLS INT -RVKQ-JAP-PARKING,NIAGARA FALLS INT -RVKQ-JAP,,,,,,,,,0,
BARBERS POINT CGA -AVXS-AFD-PARKING,BARBERS POINT CGA -AVXS-AFD,,,,,,,,,0,
MEMPHIS NAS-MILLI -MEAN-MAP-PARKING,MEMPHIS NAS-MILLI -MEAN-MAP,,,,,,,,,0,
HONOLULU INTL -KZTV-JAP-PARKING,HONOLULU INTL -KZTV-JAP,,,,,,,,,0,
FORT CARSON-BUTTS -CVPF-MAP-PARKING,FORT CARSON-BUTTS -CVPF-MAP,,,,,,,,,0,
LOS ALAMITOS AAF -NRTX-MAP-PARKING,LOS ALAMITOS AAF -NRTX-MAP,,,,,,,,,0,
RICKENBACKER INTR -NLZG-MAP-PARKING,RICKENBACKER INTR -NLZG-MAP,,,,,,,,,0,
PALM BEACH INTERN -STXG-IAP-PARKING,PALM BEACH INTERN -STXG-IAP,,,,,,,,,0,
EL TORO MCAS -FUZD-MAP-PARKING,EL TORO MCAS -FUZD-MAP,,,,,,,,,0,
WRIGHT-PATTERSON -ZHTV-MAP-PARKING,WRIGHT-PATTERSON -ZHTV-MAP,,,,,,,,,0,
ST PAUL DOWNTOWN -KXPD-JAP-PARKING,ST PAUL DOWNTOWN -KXPD-JAP,,,,,,,,,0,
MCCOLLUM -PRNG-AGS-PARKING,COBB CO MC CULLUM -PRNG-APT,,,,,,,,,0,
OKLAHOMA CITY -SHCZ-AFS-PARKING,OKLAHOMA CITY -SHCZ-AFS,,,,,,,,,0,
HOT SPGS MEMORIAL -PYGY-APT-PARKING,HOT SPGS MEMORIAL -PYGY-APT,,,,,,,,,0,
JEFFERSON CO -LTYB-CAP-PARKING,JEFFERSON CO -LTYB-CAP,,,,,,,,,0,
ROBINS AFB -UHHZ-MAP-PARKING,ROBINS AFB -UHHZ-MAP,,,,,,,,,0,
PATRICK AFB -SXHT-MAP-PARKING,PATRICK AFB -SXHT-MAP,,,,,,,,,0,
C SPRINGS-PETERSN -TDHV-JAP-PARKING,C SPRINGS-PETERSN -TDHV-JAP,,,,,,,,,0,
PHOENIX SKY HABOR -VTNB-JAP-PARKING,PHOENIX SKY HABOR -VTNB-JAP,,,,,,,,,0,
LAWSON-FT BENNING -MYXZ-MAP-PARKING,LAWSON-FT BENNING -MYXZ-MAP,,,,,,,,,0,
