KEY,SHAPE_ROW,BerthLength,ShipSpacing,BerthDepth,BerthWidth,ApronWidth,AvailableMilitary,TankerOnOffPerShip,type,HotCargo,Overhang,Pumps,PrevBerth,NextBerth,Port,BerthGroup,FromDay,ToDay,Available,TerminalName,Modified,DifferentCSC,TotalNEWLimit
ABIDJAN -AAPV-PRT:AAPVVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,ABIDJAN -AAPV-PRT,AAPVVISA      01,0.0,99999.0,true,,M,false,
AD DAMMAM -ABFL-PRT:ABFLBBULK/RORO01,134217727,1772.0,50.0,36.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,AD DAMMAM -ABFL-PRT,ABFLBBULK/RORO01,0.0,99999.0,true,,M,false,
AD DAMMAM -ABFL-PRT:ABFLBBULK/RORO02,134217727,1181.0,50.0,43.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,AD DAMMAM -ABFL-PRT,ABFLBBULK/RORO02,0.0,99999.0,true,,M,false,
AD DAMMAM -ABFL-PRT:ABFLBBULK/RORO03,134217727,2214.0,50.0,43.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,AD DAMMAM -ABFL-PRT,ABFLBBULK/RORO03,0.0,99999.0,true,,M,false,
AD DAMMAM -ABFL-PRT:ABFLBBULK/RORO04,134217727,1180.0,50.0,36.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,AD DAMMAM -ABFL-PRT,ABFLBBULK/RORO04,0.0,99999.0,false,,M,false,
AD DAMMAM -ABFL-PRT:ABFLBBULK/RORO05,134217727,1180.0,50.0,36.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,AD DAMMAM -ABFL-PRT,ABFLBBULK/RORO05,0.0,99999.0,false,,M,false,
AD DAMMAM -ABFL-PRT:ABFLBBULK/RORO06,134217727,1770.0,50.0,36.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,AD DAMMAM -ABFL-PRT,ABFLBBULK/RORO06,0.0,99999.0,false,,M,false,
AD DAMMAM -ABFL-PRT:ABFLBBULK/RORO07,134217727,1180.0,50.0,39.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,AD DAMMAM -ABFL-PRT,ABFLBBULK/RORO07,0.0,99999.0,true,,M,false,
AD DAMMAM -ABFL-PRT:ABFLBBULK/RORO08,134217727,1295.0,50.0,36.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,AD DAMMAM -ABFL-PRT,ABFLBBULK/RORO08,0.0,99999.0,false,,M,false,
AD DAMMAM -ABFL-PRT:ABFLBREAKBULK 01,134217727,623.0,50.0,46.0,800.0,60.0,true,2000.0,BREAKBULK,BOTH,0.0,0,null,null,AD DAMMAM -ABFL-PRT,ABFLBREAKBULK 01,0.0,99999.0,true,,M,false,
AD DAMMAM -ABFL-PRT:ABFLBREAKBULK 02,134217727,2063.0,50.0,30.0,800.0,60.0,true,2000.0,BREAKBULK,BOTH,0.0,0,null,null,AD DAMMAM -ABFL-PRT,ABFLBREAKBULK 02,0.0,99999.0,false,,M,false,
AD DAMMAM -ABFL-PRT:ABFLGENERAL PU01,134217727,3148.0,50.0,43.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,AD DAMMAM -ABFL-PRT,ABFLGENERAL PU01,0.0,99999.0,true,,M,false,
AD DAMMAM -ABFL-PRT:ABFLGENERAL PU02,134217727,1180.0,50.0,39.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,AD DAMMAM -ABFL-PRT,ABFLGENERAL PU02,0.0,99999.0,false,,M,false,
AD DAMMAM -ABFL-PRT:ABFLGENERAL PU03,134217727,1574.0,50.0,46.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,AD DAMMAM -ABFL-PRT,ABFLGENERAL PU03,0.0,99999.0,false,,M,false,
AD DAMMAM -ABFL-PRT:ABFLVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,AD DAMMAM -ABFL-PRT,ABFLVISA      01,0.0,99999.0,true,,M,false,
AL BAHRAYN MINA S -ADKH-PRT:ADKHBBULK/RORO01,134217727,2460.0,50.0,29.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,AL BAHRAYN MINA S -ADKH-PRT,ADKHBBULK/RORO01,0.0,99999.0,false,,M,false,
AL BAHRAYN MINA S -ADKH-PRT:ADKHBBULK/RORO02,134217727,2460.0,50.0,29.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,AL BAHRAYN MINA S -ADKH-PRT,ADKHBBULK/RORO02,0.0,99999.0,false,,M,false,
AL BAHRAYN MINA S -ADKH-PRT:ADKHBBULK/RORO03,134217727,1968.0,50.0,35.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,AL BAHRAYN MINA S -ADKH-PRT,ADKHBBULK/RORO03,0.0,99999.0,true,,M,false,
AL BAHRAYN MINA S -ADKH-PRT:ADKHGENERAL PU01,134217727,1968.0,50.0,35.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,AL BAHRAYN MINA S -ADKH-PRT,ADKHGENERAL PU01,0.0,99999.0,true,,M,false,
AL MAHDIYAH -ADLS-PRT:ADLS berth container,16,4000.0,50.0,90.0,800.0,180.0,true,2000.0,CONTAINER,Both,0.0,0,null,null,AL MAHDIYAH -ADLS-PRT,BG ADLS berth container,-999.0,99999.0,true,AL MAHDIYAH -ADLS-PRT,M,false,
AL MAHDIYAH -ADLS-PRT:ADLS berth general purpose,9,4000.0,50.0,90.0,800.0,180.0,true,2000.0,GENERAL PURP,Both,0.0,0,null,null,AL MAHDIYAH -ADLS-PRT,BG ADLS berth general purpose,-999.0,99999.0,true,AL MAHDIYAH -ADLS-PRT,M,false,
ALEXANDRIA -AELU-PRT:AL ISKANDARIYAH -AELU-PRT:AELUVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,AL ISKANDARIYAH -AELU-PRT,AELUVISA      01,0.0,99999.0,true,,M,false,
ALGECIRAS -AEQT-PRT:AEQTVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,ALGECIRAS -AEQT-PRT,AEQTVISA      01,0.0,99999.0,true,,M,false,
ANCONA -AJGX-PRT:AJGXVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,ANCONA -AJGX-PRT,AJGXVISA      01,0.0,99999.0,true,,M,false,
ANTWERP -ALRF-PRT:ANTWERPEN -ALRF-PRT:ALRFVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,ANTWERPEN -ALRF-PRT,ALRFVISA      01,0.0,99999.0,true,,M,false,
APRA HARBOR -AMCQ-PRT:APRA -AMCQ-PRT:AMCQGENERAL PU01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,APRA -AMCQ-PRT,AMCQGENERAL PU01,0.0,99999.0,true,,M,false,
AS SUKHAYRAH -APFD-PRT:all-purpose berth-APFD Terminal-19858,31,5000.0,50.0,70.0,800.0,120.0,false,2000.0,ALL-PURPOSE,BOTH,0.0,0,null,null,AS SUKHAYRAH -APFD-PRT,berth group-APFD Terminal-19857,-999.0,99999.0,false,AS SUKHAYRAH -APFD-PRT,M,false,
ASH SHUWAIKH COMM -APGW-PRT:ASH SHUWAYKH -APGW-PRT:APGWVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,ASH SHUWAYKH -APGW-PRT,APGWVISA      01,0.0,99999.0,true,,M,false,
BALTIMORE OUTPORT -AVBU-PRT:BALTIMORE -AVBU-PRT:all-purpose berth-AVBU Terminal-19773,17,5000.0,50.0,55.0,800.0,120.0,true,2000.0,ALL-PURPOSE,Both,0.0,0,null,null,BALTIMORE -AVBU-PRT,berth group-AVBU Terminal-19772,-999.0,99999.0,true,BALTIMORE -AVBU-PRT,M,false,
BARCELONA -AVYX-PRT:AVYXVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,BARCELONA -AVYX-PRT,AVYXVISA      01,0.0,99999.0,true,,M,false,
BEAUMONT -BBNV-PRT:BBNVBBULK/CONT01,134217727,1435.0,50.0,40.0,800.0,60.0,true,2000.0,BBULK/CONTNR,BOTH,0.0,0,null,null,BEAUMONT -BBNV-PRT,BBNVBBULK/CONT01,0.0,99999.0,true,,M,false,
BEAUMONT -BBNV-PRT:BBNVGENERAL PU01,134217727,1342.0,50.0,38.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,BEAUMONT -BBNV-PRT,BBNVGENERAL PU01,0.0,99999.0,true,,M,false,
