Geoloc,BerthGroup,Day,Enabled,Description,EventPhase,Data
00A1,00A1BBULK/RORO01,0,true,,,0.6
00IO,00IOGENERAL PU01,0,true,,,1
00XT,00XTALL-PURPOS01,0,true,,,1
BBNQ,BBNQ BG,0,true,,,1
FNSH,FNSHVISA      01,0,true,,,1
JSSN,JSSNVISA      01,0,true,,,1
NPTU,LONG BEACH berth group-NPTU,0,true,,,1
RCYQ,RCYQVISA      01,0,true,,,1
RUAQ,RUAQ BG,0,true,,,1
SBEQ,SBEQ,0,true,,,1
UTAC,SAN DIEGO berth group-UTAC,0,true,,,1
XVMN,XVMNVISA      01,0,true,,,1
AAPV,AAPVVISA      01,0,true,,,1
ABFL,ABFLBBULK/RORO01,0,true,,,1
ABFL,ABFLBBULK/RORO02,0,true,,,1
ABFL,ABFLBBULK/RORO03,0,true,,,1
ABFL,ABFLBBULK/RORO04,0,true,,,1
ABFL,ABFLBBULK/RORO05,0,true,,,1
ABFL,ABFLBBULK/RORO06,0,true,,,1
ABFL,ABFLBBULK/RORO07,0,true,,,1
ABFL,ABFLBBULK/RORO08,0,true,,,1
ABFL,ABFLBREAKBULK 01,0,true,,,1
ABFL,ABFLBREAKBULK 02,0,true,,,1
ABFL,ABFLGENERAL PU01,0,true,,,1
ABFL,ABFLGENERAL PU02,0,true,,,1
ABFL,ABFLGENERAL PU03,0,true,,,1
ABFL,ABFLVISA      01,0,true,,,1
ADKH,ADKHBBULK/RORO01,0,true,,,1
ADKH,ADKHBBULK/RORO02,0,true,,,1
ADKH,ADKHBBULK/RORO03,0,true,,,1
ADKH,ADKHGENERAL PU01,0,true,,,1
ADLS,BG ADLS berth general purpose,0,true,,,1
ADLS,BG ADLS berth container,0,true,,,1
AELU,AELUVISA      01,0,true,,,1
AEQT,AEQTVISA      01,0,true,,,1
AJGX,AJGXVISA      01,0,true,,,1
ALRF,ALRFVISA      01,0,true,,,1
AMCQ,AMCQGENERAL PU01,0,true,,,1
APFD,berth group-APFD Terminal-19857,0,true,,,1
APGW,APGWVISA      01,0,true,,,1
AVBU,berth group-AVBU Terminal-19772,0,true,,,1
AVYX,AVYXVISA      01,0,true,,,1
BBNV,BBNVBBULK/CONT01,0,true,,,1
BBNV,BBNVGENERAL PU01,0,true,,,1
BBNV,BBNVGENERAL PU02,0,true,,,1
BBNV,BBNVGENERAL PU03,0,true,,,1
BBNV,BBNVGENERAL PU04,0,true,,,1
BBNV,BBNVGENERAL PU05,0,true,,,1
BBNV,BBNVGENERAL PU06,0,true,,,1
BBNV,BBNVGENERAL PU07,0,true,,,1
BBNV,BBNVGENERAL PU08,0,true,,,1
BBNV,BBNVGENERAL PU09,0,true,,,1
BQWA,BQWAVISA      01,0,true,,,1
BSRL,BG BSRL berth container,0,true,,,1
BSRL,BG BSRL berth general purpose,0,true,,,1
CHCY,CHCYBBULK/RORO01,0,true,,,1
CHCY,CHCYBBULK/RORO02,0,true,,,1
CHCY,CHCYBBULK/RORO03,0,true,,,1
CHCY,CHCYGENERAL PU01,0,true,,,1
CHCY,CHCYGENERAL PU02,0,true,,,1
CHCY,CHCYGENERAL PU03,0,true,,,1
CWCP,CWCPVISA      01,0,true,,,1
CWGV,CWGVVISA      01,0,true,,,1
DKSD,Charleston-DKSD Terminal-19777,0,true,,,1
DRUG,DRUGBREAKBULK 01,0,true,,,1
DRUG,DRUGGENERAL PU01,0,true,,,1
EDME,EDMEVISA      01,0,true,,,1
ENCN,ENCNBBULK/RORO01,0,true,,,1
