KEY,SHAPE_ROW,BerthLength,ShipSpacing,BerthDepth,BerthWidth,ApronWidth,AvailableMilitary,TankerOnOffPerShip,type,HotCargo,Overhang,Pumps,PrevBerth,NextBerth,Port,BerthGroup,FromDay,ToDay,Available,TerminalName,Modified,DifferentCSC,TotalNEWLimit
ABIDJAN -AAPV-PRT:AAPVVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
AD DAMMAM -ABFL-PRT:ABFLBBULK/RORO01,134217727,,,,,,,,,,,,,,,,,,,,,null,
AD DAMMAM -ABFL-PRT:ABFLBBULK/RORO02,134217727,,,,,,,,,,,,,,,,,,,,,null,
AD DAMMAM -ABFL-PRT:ABFLBBULK/RORO03,134217727,,,,,,,,,,,,,,,,,,,,,null,
AD DAMMAM -ABFL-PRT:ABFLBBULK/RORO04,134217727,,,,,,,,,,,,,,,,,,,,,null,
AD DAMMAM -ABFL-PRT:ABFLBBULK/RORO05,134217727,,,,,,,,,,,,,,,,,,,,,null,
AD DAMMAM -ABFL-PRT:ABFLBBULK/RORO06,134217727,,,,,,,,,,,,,,,,,,,,,null,
AD DAMMAM -ABFL-PRT:ABFLBBULK/RORO07,134217727,,,,,,,,,,,,,,,,,,,,,null,
AD DAMMAM -ABFL-PRT:ABFLBBULK/RORO08,134217727,,,,,,,,,,,,,,,,,,,,,null,
AD DAMMAM -ABFL-PRT:ABFLBREAKBULK 01,134217727,,,,,,,,,,,,,,,,,,,,,null,
AD DAMMAM -ABFL-PRT:ABFLBREAKBULK 02,134217727,,,,,,,,,,,,,,,,,,,,,null,
AD DAMMAM -ABFL-PRT:ABFLGENERAL PU01,134217727,,,,,,,,,,,,,,,,,,,,,null,
AD DAMMAM -ABFL-PRT:ABFLGENERAL PU02,134217727,,,,,,,,,,,,,,,,,,,,,null,
AD DAMMAM -ABFL-PRT:ABFLGENERAL PU03,134217727,,,,,,,,,,,,,,,,,,,,,null,
AD DAMMAM -ABFL-PRT:ABFLVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
AL BAHRAYN MINA S -ADKH-PRT:ADKHBBULK/RORO01,134217727,,,,,,,,,,,,,,,,,,,,,null,
AL BAHRAYN MINA S -ADKH-PRT:ADKHBBULK/RORO02,134217727,,,,,,,,,,,,,,,,,,,,,null,
AL BAHRAYN MINA S -ADKH-PRT:ADKHBBULK/RORO03,134217727,,,,,,,,,,,,,,,,,,,,,null,
AL BAHRAYN MINA S -ADKH-PRT:ADKHGENERAL PU01,134217727,,,,,,,,,,,,,,,,,,,,,null,
AL MAHDIYAH -ADLS-PRT:ADLS berth container,16,,,,,,,,,BOTH,,,,,,,,,,,,null,
AL MAHDIYAH -ADLS-PRT:ADLS berth general purpose,9,,,,,,,,,BOTH,,,,,,,,,,,,null,
ALEXANDRIA -AELU-PRT:AL ISKANDARIYAH -AELU-PRT:AELUVISA      01,134217727,,,,,,,,,,,,,,ALEXANDRIA -AELU-PRT,,,,,,,null,
ALGECIRAS -AEQT-PRT:AEQTVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
ANCONA -AJGX-PRT:AJGXVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
ANTWERP -ALRF-PRT:ANTWERPEN -ALRF-PRT:ALRFVISA      01,134217727,,,,,,,,,,,,,,ANTWERP -ALRF-PRT,,,,,,,null,
APRA HARBOR -AMCQ-PRT:APRA -AMCQ-PRT:AMCQGENERAL PU01,134217727,,,,,,,,,,,,,,APRA HARBOR -AMCQ-PRT,,,,,,,null,
AS SUKHAYRAH -APFD-PRT:all-purpose berth-APFD Terminal-19858,31,,,,,,,,,,,,,,,,,,,,,null,
ASH SHUWAIKH COMM -APGW-PRT:ASH SHUWAYKH -APGW-PRT:APGWVISA      01,134217727,,,,,,,,,,,,,,ASH SHUWAIKH COMM -APGW-PRT,,,,,,,null,
BALTIMORE OUTPORT -AVBU-PRT:BALTIMORE -AVBU-PRT:all-purpose berth-AVBU Terminal-19773,17,,,,,,,,,BOTH,,,,,BALTIMORE OUTPORT -AVBU-PRT,,,,,,,null,
BARCELONA -AVYX-PRT:AVYXVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
BEAUMONT -BBNV-PRT:BBNVBBULK/CONT01,134217727,,,,,,,,,,,,,,,,,,,,,null,
BEAUMONT -BBNV-PRT:BBNVGENERAL PU01,134217727,,,,,,,,,,,,,,,,,,,,,null,
BEAUMONT -BBNV-PRT:BBNVGENERAL PU02,134217727,,,,,,,,,,,,,,,,,,,,,null,
BEAUMONT -BBNV-PRT:BBNVGENERAL PU03,134217727,,,,,,,,,,,,,,,,,,,,,null,
BEAUMONT -BBNV-PRT:BBNVGENERAL PU04,134217727,,,,,,,,,,,,,,,,,,,,,null,
BEAUMONT -BBNV-PRT:BBNVGENERAL PU05,134217727,,,,,,,,,,,,,,,,,,,,,null,
BEAUMONT -BBNV-PRT:BBNVGENERAL PU06,134217727,,,,,,,,,,,,,,,,,,,,,null,
BEAUMONT -BBNV-PRT:BBNVGENERAL PU07,134217727,,,,,,,,,,,,,,,,,,,,,null,
BEAUMONT -BBNV-PRT:BBNVGENERAL PU08,134217727,,,,,,,,,,,,,,,,,,,,,null,
BEAUMONT -BBNV-PRT:BBNVGENERAL PU09,134217727,,,,,,,,,,,,,,,,,,,,,null,
BEAUMONT T2 -BBNQ-PRT:BBNQ BG,0,,,,,,,,,,,,,,,,,,,,,null,
BIZERTE -BSRL-PRT:BSRL berth container,4,,,,,,,,,BOTH,,,,,,,,,,,,null,
BIZERTE -BSRL-PRT:BSRL berth general purpose,5,,,,,,,,,BOTH,,,,,,,,,,,,null,
BREMERHAVEN -CHCY-PRT:CHCYBBULK/RORO01,134217727,,,,,,,,,,,,,,,,,,,,,null,
BREMERHAVEN -CHCY-PRT:CHCYBBULK/RORO02,134217727,,,,,,,,,,,,,,,,,,,,,null,
BREMERHAVEN -CHCY-PRT:CHCYBBULK/RORO03,134217727,,,,,,,,,,,,,,,,,,,,,null,
BREMERHAVEN -CHCY-PRT:CHCYGENERAL PU01,134217727,,,,,,,,,,,,,,,,,,,,,null,
BREMERHAVEN -CHCY-PRT:CHCYGENERAL PU02,134217727,,,,,,,,,,,,,,,,,,,,,null,
BREMERHAVEN -CHCY-PRT:CHCYGENERAL PU03,134217727,,,,,,,,,,,,,,,,,,,,,null,
CADIZ -CWCP-PRT:CWCPVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
CAGAYAN DE ORO -CWGV-PRT:CWGVVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
CHARLESTON -DKSD-PRT:Charleston-all-purpose berth-DKSD -19778,18,,,,,,,,,BOTH,,,,,,,,,,,,null,
CHINHAE -DRUG-PRT:DRUGBREAKBULK 01,134217727,,,,,,,,,,,,,,,,,,,,,null,
CHINHAE -DRUG-PRT:DRUGGENERAL PU01,134217727,,,,,,,,,,,,,,,,,,,,,null,
COLOMBO -EDME-PRT:EDMEVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
CONCORD -EGNN-PRT:CONCORD NWS -EGNN-NYI:EGNNBBULK/AMMO01,134217727,,,,,,,,,,,,,,CONCORD -EGNN-PRT,,,,,,,null,
CONCORD -EGNN-PRT:CONCORD NWS -EGNN-NYI:EGNNBBULK/AMMO02,134217727,,,,,,,,,,,,,,CONCORD -EGNN-PRT,,,,,,,null,
CONCORD -EGNN-PRT:CONCORD NWS -EGNN-NYI:EGNNCONT/AMMO 01,134217727,,,,,,,,,,,,,,CONCORD -EGNN-PRT,,,,,,,null,
CORPUS CHRISTI NA -ENCN-PRT:CORPUS CHRISTI -ENCN-PRT:ENCNBBULK/RORO01,134217727,,,,,,,,,,,,,,CORPUS CHRISTI NA -ENCN-PRT,,,,,,,null,
CORPUS CHRISTI NA -ENCN-PRT:CORPUS CHRISTI -ENCN-PRT:ENCNBBULK/RORO02,134217727,,,,,,,,,,,,,,CORPUS CHRISTI NA -ENCN-PRT,,,,,,,null,
CORPUS CHRISTI NA -ENCN-PRT:CORPUS CHRISTI -ENCN-PRT:ENCNBREAKBULK 01,134217727,,,,,,,,,,,,,,CORPUS CHRISTI NA -ENCN-PRT,,,,,,,null,
CORPUS CHRISTI NA -ENCN-PRT:CORPUS CHRISTI -ENCN-PRT:ENCNGENERAL PU01,134217727,,,,,,,,,,,,,,CORPUS CHRISTI NA -ENCN-PRT,,,,,,,null,
DAKAR -EZMU-PRT:EZMUVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
DIEGO GARCIA -FGDD-PRT:FGDDBBULK/RORO01,134217727,,,,,,,,,,,,,,,,,,,,,null,
DIEGO GARCIA -FGDD-PRT:FGDDGENERAL PU01,134217727,,,,,,,,,,,,,,,,,,,,,null,
DJERBA -FGTW-PRT:FGTW berth container,0,,,,,,,,,BOTH,,,,,,,,,,,,null,
DJERBA -FGTW-PRT:FGTW berth general purpose,3,,,,,,,,,BOTH,,,,,,,,,,,,null,
DUBAI -FMAZ-PRT:DUBAYY -FMAZ-PRT:FMAZVISA      01,134217727,,,,,,,,,,,,,,DUBAI -FMAZ-PRT,,,,,,,null,
DURBAN -FNLD-PRT:FNLDGENERAL PU01,134217727,,,,,,,,,,,,,,,,,,,,,null,
DUTCH HARBOR -FNSH-PRT:DUTCH HARBOR -FNSH-CTY:FNSHVISA      01,134217727,,,,,,,,,,,,,,DUTCH HARBOR -FNSH-PRT,,,,,,,null,
EARLE NWS -FQZF-PRT:EARLE NWS -FQZF-NYI:all-purpose berth-FQZF Terminal-19855,30,,,,,,,,,BOTH,,,,,EARLE NWS -FQZF-PRT,,,,,,,null,
ELIZABETH -FVMT-PRT:FVMTBBULK/RORO01,134217727,,,,,,,,,,,,,,ELIZABETHPORT -FVMT-PRT,,,,,,,null,
ELIZABETH -FVMT-PRT:FVMTBBULK/RORO02,134217727,,,,,,,,,,,,,,ELIZABETHPORT -FVMT-PRT,,,,,,,null,
ELIZABETH -FVMT-PRT:FVMTGENERAL PU01,134217727,,,,,,,,,,,,,,ELIZABETHPORT -FVMT-PRT,,,,,,,null,
ELIZABETH -FVMT-PRT:FVMTGENERAL PU02,134217727,,,,,,,,,,,,,,ELIZABETHPORT -FVMT-PRT,,,,,,,null,
ELIZABETH -FVMT-PRT:FVMTGENERAL PU03,134217727,,,,,,,,,,,,,,ELIZABETHPORT -FVMT-PRT,,,,,,,null,
ELIZABETH -FVMT-PRT:FVMTGENERAL PU04,134217727,,,,,,,,,,,,,,ELIZABETHPORT -FVMT-PRT,,,,,,,null,
ELIZABETH -FVMT-PRT:FVMTGENERAL PU05,134217727,,,,,,,,,,,,,,ELIZABETHPORT -FVMT-PRT,,,,,,,null,
ELIZABETH -FVMT-PRT:FVMTGENERAL PU06,134217727,,,,,,,,,,,,,,ELIZABETHPORT -FVMT-PRT,,,,,,,null,
FELIXSTOWE -GPEN-PRT:GPENVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
FOS -GWZP-PRT:FOS-SUR-MER -GWZP-PRT:GWZPVISA      01,134217727,,,,,,,,,,,,,,FOS -GWZP-PRT,,,,,,,null,
FREEPORT -HAGC-PRT:HAGCVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
FUJAIRAH -HMGB-PRT:FUJAIRA -HMGB-PRT:HMGBVISA      01,134217727,,,,,,,,,,,,,,FUJAIRAH -HMGB-PRT,,,,,,,null,
GABES -HNTS-PRT:Gabes berth1,7,,,,,,,,,BOTH,,,,,,,,,,,,null,
GABES -HNTS-PRT:Gabes berth2,13,,,,,,,,,BOTH,,,,,,,,,,,,null,
GABES -HNTS-PRT:Gabes tanker berth,14,,,,,,,,,BOTH,,,,,,,,,,,,null,
GENOVA -HUPR-PRT:GENOA -HUPR-PRT:HUPRVISA      01,134217727,,,,,,,,,,,,,,GENOVA -HUPR-PRT,,,,,,,null,
GRAVESEND -JJRP-PRT:JJRPVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
GUAM PORT -JSSN-RRL:JSSNVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
GULFPORT -JTVH-PRT:GULFPORT all-purpose berth-JTVH,19,,,,,,,,,BOTH,,,,,,,,,,,,null,
HAIFA -JWJY-PRT:HEFAA -JWJY-PRT:JWJYVISA      01,134217727,,,,,,,,,,,,,,HAIFA -JWJY-PRT,,,,,,,null,
HAKATA -JWTD-PRT:JWTDVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
HALIFAX -JXKM-PRT:JXKMGENERAL PU01,134217727,,,,,,,,,,,,,,,,,,,,,null,
HALIFAX -JXKM-PRT:JXKMVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
HAMBURG -JYPN-PRT:JYPNVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
HONG KONG ABERDEE -KZPH-PRT:HONG KONG-ABERDEE -KZPH-PRT:KZPHVISA      01,134217727,,,,,,,,,,,,,,HONG KONG ABERDEE -KZPH-PRT,,,,,,,null,
HONOLULU -KZTZ-PRT:KZTZVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
HOUSTON -LCMT-PRT:LCMTVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
INDIAN ISLAND -LKPE-PRT:INDIAN ISLAND ORD -LKPE-NYI:LKPEBBULK/AMMO01,134217727,,,,,,,,,,,,,,INDIAN ISLAND -LKPE-PRT,,,,,,,null,
INDIAN ISLAND -LKPE-PRT:INDIAN ISLAND ORD -LKPE-NYI:LKPECONT/AMMO 01,134217727,,,,,,,,,,,,,,INDIAN ISLAND -LKPE-PRT,,,,,,,null,
INDIAN OCEAN -00IO-OCN:00IOGENERAL PU01,134217727,,,,,,,,,,,,,,,,,,,,,null,
IZMIR -LRNC-PRT:LRNCVISA      01,134217727,,,,,,,,,,,,,,,,,,,,,null,
JACKSONVILLE -LSGM-PRT:JACKSONVILLE all-purpose berth-LSGM,29,,,,,,,,,BOTH,,,,,,,,,,,,null,
