KEY,SHAPE_ROW,AvailableMilitary,type,CraneQuantity,ContOffRate,ContOnRate,BBOffRate,BBOnRate,ServeAll,Port,BerthsServed,FromDay,ToDay,Available,Ramps,Modified,DifferentCSC
00A1BBULK/RORO01_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"00A1BBULK/RORO01,",-999.0,99999.0,true,,M,false
00IOGENERAL PU01_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"00IOGENERAL PU01,",-999.0,99999.0,true,,M,false
00XTALL-PURPOS01_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"00XTALL-PURPOS01,",-999.0,99999.0,true,,M,false
AAPVVISA      01_Crane,134217727,,mobile crane,1,1400.0,1400.0,5600.0,5600.0,false,null,"AAPVVISA      01,",-999.0,99999.0,true,,M,false
ABFLBBULK/RORO01_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"ABFLBBULK/RORO01,",-999.0,99999.0,true,,M,false
ABFLBBULK/RORO02_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"ABFLBBULK/RORO02,",-999.0,99999.0,true,,M,false
ABFLBBULK/RORO03_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"ABFLBBULK/RORO03,",-999.0,99999.0,true,,M,false
ABFLBBULK/RORO04_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"ABFLBBULK/RORO04,",-999.0,99999.0,true,,M,false
ABFLBBULK/RORO05_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"ABFLBBULK/RORO05,",-999.0,99999.0,true,,M,false
ABFLBBULK/RORO06_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"ABFLBBULK/RORO06,",-999.0,99999.0,true,,M,false
ABFLBBULK/RORO07_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"ABFLBBULK/RORO07,",-999.0,99999.0,true,,M,false
ABFLBBULK/RORO08_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"ABFLBBULK/RORO08,",-999.0,99999.0,true,,M,false
ABFLBREAKBULK 01_Crane,134217727,,mobile crane,1,450.0,450.0,1800.0,1800.0,false,null,"ABFLBREAKBULK 01,",-999.0,99999.0,true,,M,false
ABFLBREAKBULK 02_Crane,134217727,,mobile crane,1,450.0,450.0,1800.0,1800.0,false,null,"ABFLBREAKBULK 02,",-999.0,99999.0,true,,M,false
ABFLGENERAL PU01_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"ABFLGENERAL PU01,",-999.0,99999.0,true,,M,false
ABFLGENERAL PU02_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"ABFLGENERAL PU02,",-999.0,99999.0,true,,M,false
ABFLGENERAL PU03_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"ABFLGENERAL PU03,",-999.0,99999.0,true,,M,false
ABFLVISA      01_Crane,134217727,,mobile crane,1,1400.0,1400.0,5600.0,5600.0,false,null,"ABFLVISA      01,",-999.0,99999.0,true,,M,false
ADKHBBULK/RORO01_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"ADKHBBULK/RORO01,",-999.0,99999.0,true,,M,false
ADKHBBULK/RORO02_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"ADKHBBULK/RORO02,",-999.0,99999.0,true,,M,false
ADKHBBULK/RORO03_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"ADKHBBULK/RORO03,",-999.0,99999.0,true,,M,false
ADKHGENERAL PU01_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"ADKHGENERAL PU01,",-999.0,99999.0,true,,M,false
AELUVISA      01_Crane,134217727,,mobile crane,1,1400.0,1400.0,5600.0,5600.0,false,null,"AELUVISA      01,",-999.0,99999.0,true,,M,false
AEQTVISA      01_Crane,134217727,,mobile crane,1,1400.0,1400.0,5600.0,5600.0,false,null,"AEQTVISA      01,",-999.0,99999.0,true,,M,false
AJGXVISA      01_Crane,134217727,,mobile crane,1,1400.0,1400.0,5600.0,5600.0,false,null,"AJGXVISA      01,",-999.0,99999.0,true,,M,false
ALRFVISA      01_Crane,134217727,,mobile crane,1,1400.0,1400.0,5600.0,5600.0,false,null,"ALRFVISA      01,",-999.0,99999.0,true,,M,false
AMCQGENERAL PU01_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"AMCQGENERAL PU01,",-999.0,99999.0,true,,M,false
APGWVISA      01_Crane,134217727,,mobile crane,1,1400.0,1400.0,5600.0,5600.0,false,null,"APGWVISA      01,",-999.0,99999.0,true,,M,false
AVYXVISA      01_Crane,134217727,,mobile crane,1,1400.0,1400.0,5600.0,5600.0,false,null,"AVYXVISA      01,",-999.0,99999.0,true,,M,false
BBNQ CRANE,0,,mobile crane,3,288.0,288.0,8000.0,8000.0,true,null,null,0.0,99999.0,true,,M,false
BBNVBBULK/CONT01_Crane,134217727,,mobile crane,1,1400.0,1400.0,5600.0,5600.0,false,null,"BBNVBBULK/CONT01,",-999.0,99999.0,true,,M,false
BBNVGENERAL PU01_Crane,134217727,,mobile crane,1,2250.0,2250.0,9000.0,9000.0,false,null,"BBNVGENERAL PU01,",-999.0,99999.0,true,,M,false
