KEY,SHAPE_ROW,AvailableMilitary,type,CraneQuantity,ContOffRate,ContOnRate,BBOffRate,BBOnRate,ServeAll,Port,BerthsServed,FromDay,ToDay,Available,Ramps,Modified,DifferentCSC
00A1BBULK/RORO01_Crane,134217727,,,,,,,,,00A1,,,,,,,null
00IOGENERAL PU01_Crane,134217727,,,,,,,,,00IO,,,,,,,null
00XTALL-PURPOS01_Crane,134217727,,,,,,,,,00XT,,,,,,,null
AAPVVISA      01_Crane,134217727,,,,,,,,,AAPV,,,,,,,null
ABFLBBULK/RORO01_Crane,134217727,,,,,,,,,ABFL,,,,,,,null
ABFLBBULK/RORO02_Crane,134217727,,,,,,,,,ABFL,,,,,,,null
ABFLBBULK/RORO03_Crane,134217727,,,,,,,,,ABFL,,,,,,,null
ABFLBBULK/RORO04_Crane,134217727,,,,,,,,,ABFL,,,,,,,null
ABFLBBULK/RORO05_Crane,134217727,,,,,,,,,ABFL,,,,,,,null
ABFLBBULK/RORO06_Crane,134217727,,,,,,,,,ABFL,,,,,,,null
ABFLBBULK/RORO07_Crane,134217727,,,,,,,,,ABFL,,,,,,,null
ABFLBBULK/RORO08_Crane,134217727,,,,,,,,,ABFL,,,,,,,null
ABFLBREAKBULK 01_Crane,134217727,,,,,,,,,ABFL,,,,,,,null
ABFLBREAKBULK 02_Crane,134217727,,,,,,,,,ABFL,,,,,,,null
ABFLGENERAL PU01_Crane,134217727,,,,,,,,,ABFL,,,,,,,null
ABFLGENERAL PU02_Crane,134217727,,,,,,,,,ABFL,,,,,,,null
ABFLGENERAL PU03_Crane,134217727,,,,,,,,,ABFL,,,,,,,null
ABFLVISA      01_Crane,134217727,,,,,,,,,ABFL,,,,,,,null
ADKHBBULK/RORO01_Crane,134217727,,,,,,,,,ADKH,,,,,,,null
ADKHBBULK/RORO02_Crane,134217727,,,,,,,,,ADKH,,,,,,,null
ADKHBBULK/RORO03_Crane,134217727,,,,,,,,,ADKH,,,,,,,null
ADKHGENERAL PU01_Crane,134217727,,,,,,,,,ADKH,,,,,,,null
AELUVISA      01_Crane,134217727,,,,,,,,,AELU,,,,,,,null
AEQTVISA      01_Crane,134217727,,,,,,,,,AEQT,,,,,,,null
AJGXVISA      01_Crane,134217727,,,,,,,,,AJGX,,,,,,,null
ALRFVISA      01_Crane,134217727,,,,,,,,,ALRF,,,,,,,null
AMCQGENERAL PU01_Crane,134217727,,,,,,,,,AMCQ,,,,,,,null
APGWVISA      01_Crane,134217727,,,,,,,,,APGW,,,,,,,null
AVYXVISA      01_Crane,134217727,,,,,,,,,AVYX,,,,,,,null
BBNQ CRANE,0,,,,,,,,,BBNQ,,,,,,,null
BBNVBBULK/CONT01_Crane,134217727,,,,,,,,,BBNV,,,,,,,null
BBNVGENERAL PU01_Crane,134217727,,,,,,,,,BBNV,,,,,,,null
BBNVGENERAL PU02_Crane,134217727,,,,,,,,,BBNV,,,,,,,null
BBNVGENERAL PU03_Crane,134217727,,,,,,,,,BBNV,,,,,,,null
BBNVGENERAL PU04_Crane,134217727,,,,,,,,,BBNV,,,,,,,null
BBNVGENERAL PU05_Crane,134217727,,,,,,,,,BBNV,,,,,,,null
BBNVGENERAL PU06_Crane,134217727,,,,,,,,,BBNV,,,,,,,null
BBNVGENERAL PU07_Crane,134217727,,,,,,,,,BBNV,,,,,,,null
BBNVGENERAL PU08_Crane,134217727,,,,,,,,,BBNV,,,,,,,null
BBNVGENERAL PU09_Crane,134217727,,,,,,,,,BBNV,,,,,,,null
BQWAVISA      01_Crane,134217727,,,,,,,,,BQWA,,,,,,,null
CHCYBBULK/RORO01_Crane,134217727,,,,,,,,,CHCY,,,,,,,null
CHCYBBULK/RORO02_Crane,134217727,,,,,,,,,CHCY,,,,,,,null
CHCYBBULK/RORO03_Crane,134217727,,,,,,,,,CHCY,,,,,,,null
CHCYGENERAL PU01_Crane,134217727,,,,,,,,,CHCY,,,,,,,null
CHCYGENERAL PU02_Crane,134217727,,,,,,,,,CHCY,,,,,,,null
CHCYGENERAL PU03_Crane,134217727,,,,,,,,,CHCY,,,,,,,null
CWCPVISA      01_Crane,134217727,,,,,,,,,CWCP,,,,,,,null
CWGVVISA      01_Crane,134217727,,,,,,,,,CWGV,,,,,,,null
Container: ADLS berth container 1,3,,,,,,,,,ADLS,,,,,,,null
Container: ADLS berth general purpose 1,30,,,,,,,,,ADLS,,,,,,,null
Container: BSRL berth container 1,12,,,,,,,,,BSRL,,,,,,,null
Container: BSRL berth general purpose 1,49,,,,,,,,,BSRL,,,,,,,null
Container: FGTW berth container 1,17,,,,,,,,,FGTW,,,,,,,null
Container: FGTW berth general purpose 1,25,,,,,,,,,FGTW,,,,,,,null
Container: Gabes berth1 1,15,,,,,,,,,HNTS,,,,,,,null
Container: Gabes berth2 1,41,,,,,,,,,HNTS,,,,,,,null
Container: Gabes tanker berth 1,38,,,,,,,,,HNTS,,,,,,,null
Container: SALT 1,36,,,,,,,,,VKNP,,,,,,,null
Container: Safaqis NE-1 berth 1,21,,,,,,,,,VKNP,,,,,,,null
Container: Safaqis NE-2 berth 1,37,,,,,,,,,VKNP,,,,,,,null
Container: Safaqis NW-1 berth 1,18,,,,,,,,,VKNP,,,,,,,null
Container: Safaqis NW-2 berth 1,0,,,,,,,,,VKNP,,,,,,,null
Container: Safaqis cont-1 berth 1,22,,,,,,,,,VKNP,,,,,,,null
Container: Safaqis cont-2 berth 1,42,,,,,,,,,VKNP,,,,,,,null
Container: Safaqis tanker berth 1,9,,,,,,,,,VKNP,,,,,,,null
DRUGBREAKBULK 01_Crane,134217727,,,,,,,,,DRUG,,,,,,,null
DRUGGENERAL PU01_Crane,134217727,,,,,,,,,DRUG,,,,,,,null
EDMEVISA      01_Crane,134217727,,,,,,,,,EDME,,,,,,,null
EGNNBBULK/AMMO01_Crane,134217727,,,,,,,,,EGNN,,,,,,,null
EGNNBBULK/AMMO02_Crane,134217727,,,,,,,,,EGNN,,,,,,,null
EGNNCONT/AMMO 01_Crane,134217727,,,,,,,,,EGNN,,,,,,,null
ENCNBBULK/RORO01_Crane,134217727,,,,,,,,,ENCN,,,,,,,null
ENCNBBULK/RORO02_Crane,134217727,,,,,,,,,ENCN,,,,,,,null
ENCNBREAKBULK 01_Crane,134217727,,,,,,,,,ENCN,,,,,,,null
ENCNGENERAL PU01_Crane,134217727,,,,,,,,,ENCN,,,,,,,null
EZMUVISA      01_Crane,134217727,,,,,,,,,EZMU,,,,,,,null
FGDDBBULK/RORO01_Crane,134217727,,,,,,,,,FGDD,,,,,,,null
FGDDGENERAL PU01_Crane,134217727,,,,,,,,,FGDD,,,,,,,null
FMAZVISA      01_Crane,134217727,,,,,,,,,FMAZ,,,,,,,null
FNLDGENERAL PU01_Crane,134217727,,,,,,,,,FNLD,,,,,,,null
FNSHVISA      01_Crane,134217727,,,,,,,,,FNSH,,,,,,,null
FVMTBBULK/RORO01_Crane,134217727,,,,,,,,,FVMT,,,,,,,null
FVMTBBULK/RORO02_Crane,134217727,,,,,,,,,FVMT,,,,,,,null
FVMTGENERAL PU01_Crane,134217727,,,,,,,,,FVMT,,,,,,,null
FVMTGENERAL PU02_Crane,134217727,,,,,,,,,FVMT,,,,,,,null
FVMTGENERAL PU03_Crane,134217727,,,,,,,,,FVMT,,,,,,,null
FVMTGENERAL PU04_Crane,134217727,,,,,,,,,FVMT,,,,,,,null
FVMTGENERAL PU05_Crane,134217727,,,,,,,,,FVMT,,,,,,,null
FVMTGENERAL PU06_Crane,134217727,,,,,,,,,FVMT,,,,,,,null
GPENVISA      01_Crane,134217727,,,,,,,,,GPEN,,,,,,,null
