KEY,SHAPE_ROW,CountryStateCode,Latitude,Longitude
AAFR intersection,7363,01,0.0,0.0
AAMP intersection,7912,24,0.0,0.0
AART intersection,7377,48,0.0,0.0
AARV intersection,6840,48,0.0,0.0
ABAA intersection,6774,01,0.0,0.0
ABTW intersection,7675,24,0.0,0.0
ABXK intersection,8163,24,0.0,0.0
ACJP intersection,6753,06,0.0,0.0
ACWE intersection,8027,15,0.0,0.0
ADHB intersection,7133,39,0.0,0.0
ADLS intersection,8038,TS,0.0,0.0
ADNA intersection,7117,08,0.0,0.0
ADNB intersection,7118,06,0.0,0.0
ADNC intersection,7733,06,0.0,0.0
ADND intersection,6976,06,0.0,0.0
ADNE intersection,8133,06,0.0,0.0
ADNF intersection,7801,06,0.0,0.0
ADNG intersection,7772,06,0.0,0.0
ADNK intersection,8036,06,0.0,0.0
ADNR intersection,7963,06,0.0,0.0
ADQM intersection,6809,35,0.0,0.0
ADUK intersection,7115,13,0.0,0.0
ADUP intersection,7962,13,0.0,0.0
ADUQ intersection,7734,13,0.0,0.0
ADVK intersection,7153,36,0.0,0.0
ADVM intersection,6868,36,0.0,0.0
ADVN intersection,6810,13,0.0,0.0
ADYK intersection,7156,40,0.0,0.0
AEBS intersection,7140,35,0.0,0.0
AECW intersection,6763,47,0.0,0.0
AELJ intersection,7244,01,0.0,0.0
AEPL intersection,7776,51,0.0,0.0
AEPQ intersection,7233,51,0.0,0.0
AFKB intersection,7201,45,0.0,0.0
AFMS intersection,6815,42,0.0,0.0
AFMY intersection,7205,42,0.0,0.0
AGGN intersection,7000,40,0.0,0.0
AGWF intersection,6860,48,0.0,0.0
AHQM intersection,7551,19,0.0,0.0
AHTM intersection,7548,36,0.0,0.0
AHWQ intersection,8100,53,0.0,0.0
AHXM intersection,8190,11,0.0,0.0
AJAM intersection,7639,02,0.0,0.0
AJBQ intersection,6891,02,0.0,0.0
AJBR intersection,8112,02,0.0,0.0
AJND intersection,7652,18,0.0,0.0
AJXF intersection,7102,24,0.0,0.0
AJXH intersection,7834,24,0.0,0.0
AJXL intersection,7796,24,0.0,0.0
AKUS intersection,7458,24,0.0,0.0
AKUU intersection,8173,24,0.0,0.0
AKWB intersection,7993,01,0.0,0.0
AKWQ intersection,7926,01,0.0,0.0
AKWS intersection,7817,01,0.0,0.0
AKWU intersection,7449,01,0.0,0.0
AMES intersection,6803,VE,0.0,0.0
AMVP intersection,7396,27,0.0,0.0
AMYJ intersection,7519,40,0.0,0.0
ANAD intersection,7693,24,0.0,0.0
ANZY intersection,6757,47,0.0,0.0
APFD intersection,8060,TS,0.0,0.0
APKH intersection,7272,01,0.0,0.0
APNG intersection,7283,39,0.0,0.0
AQEN intersection,7891,01,0.0,0.0
AQEZ intersection,7300,13,0.0,0.0
AQLM intersection,6827,13,0.0,0.0
AQLV intersection,7305,13,0.0,0.0
AQLW intersection,8122,13,0.0,0.0
AQLZ intersection,7782,13,0.0,0.0
AQMV intersection,7895,13,0.0,0.0
AQRC intersection,6829,34,0.0,0.0
ARNS intersection,7340,13,0.0,0.0
ARNW intersection,6928,13,0.0,0.0
ARPM intersection,7338,20,0.0,0.0
ARPZ intersection,7337,23,0.0,0.0
ARTZ intersection,7350,08,0.0,0.0
ARUZ intersection,7346,17,0.0,0.0
ASAZ intersection,7353,48,0.0,0.0
ASCE intersection,6838,55,0.0,0.0
ASPQ intersection,6740,12,0.0,0.0
ATNV intersection,7668,37,0.0,0.0
ATNZ intersection,7116,37,0.0,0.0
ATQZ intersection,6865,18,0.0,0.0
ATYC intersection,7146,51,0.0,0.0
AUSJ intersection,7162,06,0.0,0.0
AVBT intersection,7172,24,0.0,0.0
AVBU intersection,8042,24,0.0,0.0
AVDC intersection,7170,24,0.0,0.0
AVND intersection,7202,23,0.0,0.0
AVPN intersection,8129,53,0.0,0.0
AVPR intersection,7970,53,0.0,0.0
AVPV intersection,8145,53,0.0,0.0
AVTB intersection,8046,TS,0.0,0.0
AVXS intersection,6799,15,0.0,0.0
AVXU intersection,6733,15,0.0,0.0
AVXV intersection,6872,15,0.0,0.0
AVXW intersection,7807,15,0.0,0.0
AWUB intersection,7005,22,0.0,0.0
AXQD intersection,6956,25,0.0,0.0
AYDE intersection,8003,06,0.0,0.0
AYDK intersection,7743,06,0.0,0.0
AYER intersection,8099,GM,0.0,0.0
AYSX intersection,6964,01,0.0,0.0
AYYX intersection,7606,22,0.0,0.0
AYYY intersection,8104,22,0.0,0.0
AYZZ intersection,7604,26,0.0,0.0
AZJH intersection,7585,26,0.0,0.0
AZTE intersection,8204,34,0.0,0.0
AZTG intersection,8111,34,0.0,0.0
BACA intersection,6743,SA,0.0,0.0
BAEY intersection,7072,06,0.0,0.0
BASD intersection,7833,06,0.0,0.0
BBGP intersection,8055,37,0.0,0.0
BBJM intersection,7015,45,0.0,0.0
BBJS intersection,7713,45,0.0,0.0
BBNR intersection,7243,48,0.0,0.0
BBNV intersection,8053,48,0.0,0.0
BCDZ intersection,7218,42,0.0,0.0
BDQZ intersection,7173,35,0.0,0.0
BEGS intersection,7151,22,0.0,0.0
BELL intersection,7137,12,0.0,0.0
BFHX intersection,6878,53,0.0,0.0
BFMV intersection,6756,15,0.0,0.0
BJHZ intersection,7019,48,0.0,0.0
BKTZ intersection,6947,47,0.0,0.0
BLMR intersection,7484,01,0.0,0.0
BMGM intersection,7723,24,0.0,0.0
BPRE intersection,7635,51,0.0,0.0
BPWZ intersection,7103,48,0.0,0.0
BQKY intersection,7590,30,0.0,0.0
BQUG intersection,7602,36,0.0,0.0
