KEY,SHAPE_ROW,CountryStateCode,Latitude,Longitude
AAFR intersection,7363,,31.533300399780273,-85.2667007446289
AAMP intersection,7912,,39.49169921875,-76.13610076904297
AART intersection,7377,,32.45000076293945,-99.7332992553711
AARV intersection,6840,,32.407501220703125,-99.681396484375
ABAA intersection,6774,,32.349998474121094,-86.36250305175781
ABTW intersection,7675,,39.0,-76.94999694824219
ABXK intersection,8163,,38.897499084472656,-77.00920104980469
ACJP intersection,6753,,34.0,-118.25
ACWE intersection,8027,,21.38330078125,-157.9333038330078
ADHB intersection,7133,,41.08330154418945,-81.5
ADLS intersection,8038,TN,35.5,11.050000190734863
ADNA intersection,7117,,39.70859909057617,-105.01329803466797
ADNB intersection,7118,,37.733299255371094,-122.2332992553711
ADNC intersection,7733,,37.78329849243164,-121.4832992553711
ADND intersection,6976,,37.79059982299805,-122.32440185546875
ADNE intersection,8133,,37.78329849243164,-121.4832992553711
ADNF intersection,7801,,37.79059982299805,-122.32440185546875
ADNG intersection,7772,,37.77690124511719,-122.2699966430664
ADNK intersection,8036,,37.78329849243164,-122.2667007446289
ADNR intersection,7963,,37.78329849243164,-122.31670379638672
ADQM intersection,6809,,32.842201232910156,-105.98529815673828
ADUK intersection,7115,,31.61669921875,-84.16670227050781
ADUP intersection,7962,,31.600000381469727,-84.08329772949219
ADUQ intersection,7734,,31.61669921875,-84.16670227050781
ADVK intersection,7153,,42.66669845581055,-73.80000305175781
ADVM intersection,6868,,42.74919891357422,-73.8052978515625
ADVN intersection,6810,,31.53529930114746,-84.1947021484375
ADYK intersection,7156,,35.2327995300293,-98.41110229492188
AEBS intersection,7140,,35.08330154418945,-106.6500015258789
AECW intersection,6763,,35.78329849243164,-84.0
AELJ intersection,7244,,32.95000076293945,-86.0
AEPL intersection,7776,,38.81669998168945,-77.06670379638672
AEPQ intersection,7233,,38.81669998168945,-77.1500015258789
AFKB intersection,7201,,33.016700744628906,-81.30000305175781
AFMS intersection,6815,,40.65420150756836,-75.43920135498047
AFMY intersection,7205,,40.599998474121094,-75.5
AGGN intersection,7000,,34.66388702392578,-99.27361297607422
AGWF intersection,6860,,35.221099853515625,-101.71029663085938
AHQM intersection,7551,,42.034698486328125,-93.61969757080078
AHTM intersection,7548,,40.66669845581055,-73.36669921875
AHWQ intersection,8100,,48.516700744628906,-122.61669921875
AHXM intersection,8190,,38.86669921875,-76.9832992553711
AJAM intersection,7639,,61.16669845581055,-149.98330688476562
AJBQ intersection,6891,,61.1692008972168,-149.99530029296875
AJBR intersection,8112,,61.21670150756836,-149.89999389648438
AJND intersection,7652,,40.10530090332031,-85.6802978515625
AJXF intersection,7102,,38.81083297729492,-76.86722564697266
AJXH intersection,7834,,38.79999923706055,-76.86669921875
AJXL intersection,7796,,38.81079864501953,-76.86720275878906
AKUS intersection,7458,,38.983299255371094,-76.5
AKUU intersection,8173,,38.983299255371094,-76.4832992553711
AKWB intersection,7993,,33.61669921875,-85.9832992553711
AKWQ intersection,7926,,33.63330078125,-85.86669921875
AKWS intersection,7817,,33.65420150756836,-85.97000122070312
AKWU intersection,7449,,33.63330078125,-85.86669921875
AMES intersection,6803,,42.029701232910156,-93.622802734375
AMVP intersection,7396,,45.04999923706055,-93.1521987915039
AMYJ intersection,7519,,34.11669921875,-97.1500015258789
ANAD intersection,7693,,38.98889923095703,-76.49169921875
ANZY intersection,6757,,35.38330078125,-86.08329772949219
APFD intersection,8060,TN,34.31666564941406,10.149999618530273
APKH intersection,7272,,33.25,-85.83329772949219
APNG intersection,7283,,40.88330078125,-82.2833023071289
AQEN intersection,7891,,34.79999923706055,-86.9666976928711
AQEZ intersection,7300,,33.95000076293945,-83.4000015258789
AQLM intersection,6827,,33.64027786254883,-84.42694091796875
AQLV intersection,7305,,33.75,-84.69999694824219
AQLW intersection,8122,,33.5,-84.4666976928711
AQLZ intersection,7782,,33.75,-84.36669921875
AQMV intersection,7895,,33.58330154418945,-84.3499984741211
AQRC intersection,6829,,39.36000061035156,-74.4563980102539
ARNS intersection,7340,,33.483299255371094,-82.0
ARNW intersection,6928,,33.36920166015625,-81.96440124511719
ARPM intersection,7338,,37.68669891357422,-97.97640228271484
ARPZ intersection,7337,,44.33330154418945,-69.75
ARTZ intersection,7350,,39.729400634765625,-104.8313980102539
ARUZ intersection,7346,,41.75,-88.31670379638672
ASAZ intersection,7353,,30.266700744628906,-97.7166976928711
ASCE intersection,6838,,44.48809814453125,-88.12750244140625
ASPQ intersection,6740,,27.650299072265625,-81.34970092773438
ATNV intersection,7668,,35.16669845581055,-79.0333023071289
ATNZ intersection,7116,,35.16669845581055,-79.0333023071289
ATQZ intersection,6865,,40.977500915527344,-85.19190216064453
ATYC intersection,7146,,38.81669998168945,-77.13330078125
AUSJ intersection,7162,,35.41669845581055,-119.0
AVBT intersection,7172,,39.29999923706055,-76.61669921875
AVBU intersection,8042,,39.266666412353516,-76.58333587646484
AVDC intersection,7170,,39.344398498535156,-76.625
AVND intersection,7202,,44.79999923706055,-68.69999694824219
