KEY,ATTRIBUTE_NUM,VALUE
ALL-PURPOSE,215,false
ALL-PURPOSE,78,120.0
BARGE,215,false
BBULK/AMMO,215,false
BBULK/CONTNR,215,false
BBULK/RORO,215,false
BREAKBULK,215,false
CONT/AMMO,215,false
CONTAINER,215,false
DOCK,215,false
GENERAL PURP,215,false
INTRA WATER,215,false
JLOTS,82,500.0
JLOTS,215,false
LIGHTER,215,false
LIGHTER,74,150.0
OTHER,215,false
RORO,215,false
RORO berth,215,false
RORO-container berth,215,false
RORO/CONTNR,215,false
TANKER,82,15.0
TANKER,86,feature
TANKER,215,false
TANKER,74,1000.0
TANKER,126,2
VISA,215,false
VISA berth,215,false
added road,48,3824.0
added road,49,25.0
added road,215,false
admin,18,488320.0
admin,19,488320
admin,3,square
admin,4,blue
admin,20,488320.0
admin,215,false
air force station,215,false
air national guard station,215,false
air station,1,TUNISIA
air station,2,TS
air station,3,airport.gif
air station,4,green
air station,86,airport
air station,215,false
air terminal,215,false
airfield,1,TUNISIA
airfield,2,TS
airfield,3,airport.gif
airfield,4,green
airfield,86,airport
airfield,215,false
airport,64, 
airport,1,Tunisia
airport,2,TS
airport,3,airport.gif
airport,4,blue
airport,86,airport
airport,215,false
airport,124,
airport,125,
all-purpose berth,215,false
ammunition storage,18,488320.0
ammunition storage,19,488320
ammunition storage,3,square
ammunition storage,4,blue
ammunition storage,20,488320.0
ammunition storage,86,node
ammunition storage,215,false
annex,18,488320.0
annex,19,488320
annex,3,square
annex,4,blue
annex,20,488320.0
annex,215,false
apron,215,false
army installation,18,488320.0
army installation,19,488320
army installation,3,square
army installation,4,blue
army installation,20,488320.0
army installation,86,node
army installation,215,false
austere port,215,false
auto connector pipeline,215,false
auto connector rail,215,false
auto connector road,215,false
auto connector shipping lane,215,false
auto connector waterway,215,false
barge berth,215,false
bay,215,false
berth,131,
berth,100,Both
berth,132,
berth,133,
berth,134,
berth,167,
berth,136,-999.0
berth,137,99999.0
berth,138,true
berth,74,200.0
berth,75,50.0
berth,76,30.0
berth,108,0.0
berth,77,800.0
berth,78,60.0
berth,79,true
berth,82,2000.0
berth,86,feature
berth,215,false
berth,216,
berth,218,2.1E9
berth,126,0
breakbulk berth,215,false
breakbulk-ammunition berth,215,false
breakbulk-container berth,215,false
breakbulk-roro berth,215,false
bridge,3,bridge.gif
bridge,4,orange
bridge,86,feature
bridge,215,false
canal,215,false
capacitated land link,215,false
cape,215,false
channel,215,false
city,18,488320.0
city,19,488320
city,3,city.gif
city,4,yellow
city,20,488320.0
city,86,node
city,215,false
civil air patrol,215,false
clinic,18,488320.0
clinic,19,488320
clinic,20,488320.0
clinic,215,false
coast guard installation,18,19998.4
coast guard installation,19,19998
coast guard installation,20,19998.4
coast guard installation,215,false
command operations,18,488320.0
command operations,19,488320
command operations,20,488320.0
command operations,215,false
communication,18,488320.0
communication,19,488320
communication,3,circle
communication,20,488320.0
communication,215,false
connector pipeline,215,false
connector rail,215,false
connector road,215,false
connector shipping lane,215,false
connector waterway,215,false
container berth,215,false
container crane,215,false
container crane,103,144.0
container crane,104,144.0
container crane,105,4000.0
container crane,106,4000.0
container-ammunition berth,215,false
crane,97,1
crane,133,
crane,103,144.0
crane,135,
crane,136,-999.0
crane,104,144.0
crane,137,99999.0
crane,105,4000.0
crane,138,true
crane,106,4000.0
crane,109,false
crane,79,true
crane,86,feature
crane,215,false
crane,216,
crane,158,0
defense fuel support point,18,488320.0
defense fuel support point,19,488320
