KEY,SHAPE_ROW,CountryState,CountryStateCode,IconName,IconColor,Elevation,AvailableMilitary,type,DeploymentArea,SurfaceModeling,Modified,ConsolidationLoc,ContainerFull,PalletFull,ContTimeout,PalletTimeout,MinContTime,MinPalletTime,MinVehTime,ContainerCons,PalletCons,VehCons,PricePerCBBL,PricePerSQFT,PricePerPAX,WeightLimit,WidthLimit,HeightLimit,MLCLimit,StagingArea,TheaterStagingBase,LocationThroughput,EquipmentStorage,PAXStorage,POLStorage,ContStackHeight,HoursOfOpStart,HoursOfOpEnd,ICAO,MILAIR,ContainerOutload,TotalNEWLimit,HighHazardNEWLimit,AlternateAirport,RailClearance,RailMaxLoaded,MaxRailcarsAtNode,RailContOnOff,ContLiftsOnOffRail,RailBBInfOnOff,RailBBPerOnOff,RailBBMHEOnOff,RailRORInfOnOff,RailRORPerOnOff,RailPOLInfOnOff,RailPOLPerOnOff,RailTotalOnOff,RailcarEntryQCap,RailContPersOnOff,RailContMHEOnOff,SingleRail,ConcurrentRail,LightRail,RoadConvoyClearance,RoadMaxLoaded,RoadBBInfOnOff,RoadBBPerOnOff,RoadBBMHEOnOff,RoadRORInfOnOff,RoadRORPerOnOff,RoadPOLInfOnOff,RoadPOLPerOnOff,RoadContPersOnOff,RoadContMHEOnOff,VehicleEntryQCap,SingleRoad,ConcurrentRoad,LightRoad,MaxRoadConvoys,VRoadConnection,VRoadDistance,VRailConnection,VRailDistance,VWaterConnection,VWaterDistance,VPipeConnection,VPipeDistance
00A1,1405,,seaport,,,,,seaport,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,None in range,-,None in range,-,Capability Not Enabled,-,None in range,-
00IO,1406,,seaport,,,,,seaport,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,None in range,-,None in range,-,Capability Not Enabled,-,None in range,-
00XT,1407,,seaport,,,,,seaport,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,None in range,-,None in range,-,Capability Not Enabled,-,None in range,-
AAFR,427,,city,,,,,city,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,1110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None in range,-,None in range,-,Capability Not Enabled,-,None in range,-
AAMP,1200,,army installation,,,,,army installation,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,1110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None in range,-,None in range,-,Capability Not Enabled,-,None in range,-
AAPV,1418,,fixed port,,,,,fixed port,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,None in range,-,None in range,-,Capability Not Enabled,-,None in range,-
AART,428,,city,,,,,city,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,1110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None in range,-,None in range,-,Capability Not Enabled,-,None in range,-
AARV,86,,civil air patrol,,,,,civil air patrol,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,520000.0,,,,,,KABI,ABI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None in range,-,None in range,-,Capability Not Enabled,-,None in range,-
ABAA,37,,air national guard station,,,,,air national guard station,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None in range,-,None in range,-,Capability Not Enabled,-,None in range,-
ABFL,1419,,fixed port,,,,,fixed port,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,None in range,-,None in range,-,Capability Not Enabled,-,None in range,-
ABTW,1029,,communication,,,,,communication,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,1110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None in range,-,None in range,-,Capability Not Enabled,-,None in range,-
ABXK,1617,,navy installation,,,,,navy installation,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,2100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None in range,-,None in range,-,Capability Not Enabled,-,None in range,-
ACJP,27,,air force station,,,,,air force station,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None in range,-,None in range,-,Capability Not Enabled,-,None in range,-
ACWE,1400,,rural populated area,,,,,rural populated area,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,1110000.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None in range,-,None in range,-,Capability Not Enabled,-,None in range,-
ADHB,429,,city,,,,,city,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,1110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None in range,-,None in range,-,Capability Not Enabled,-,None in range,-
ADKH,1420,,fixed port,,,,,fixed port,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,None in range,-,None in range,-,Capability Not Enabled,-,None in range,-
