KEY,SHAPE_ROW,CountryState,CountryStateCode,IconName,IconColor,Elevation,AvailableMilitary,type,DeploymentArea,SurfaceModeling,Modified,ConsolidationLoc,ContainerFull,PalletFull,ContTimeout,PalletTimeout,MinContTime,MinPalletTime,MinVehTime,ContainerCons,PalletCons,VehCons,PricePerCBBL,PricePerSQFT,PricePerPAX,WeightLimit,WidthLimit,HeightLimit,MLCLimit,StagingArea,TheaterStagingBase,LocationThroughput,EquipmentStorage,PAXStorage,POLStorage,ContStackHeight,HoursOfOpStart,HoursOfOpEnd,ICAO,MILAIR,ContainerOutload,TotalNEWLimit,HighHazardNEWLimit,AlternateAirport,RailClearance,RailMaxLoaded,MaxRailcarsAtNode,RailContOnOff,ContLiftsOnOffRail,RailBBInfOnOff,RailBBPerOnOff,RailBBMHEOnOff,RailRORInfOnOff,RailRORPerOnOff,RailPOLInfOnOff,RailPOLPerOnOff,RailTotalOnOff,RailcarEntryQCap,RailContPersOnOff,RailContMHEOnOff,SingleRail,ConcurrentRail,LightRail,RoadConvoyClearance,RoadMaxLoaded,RoadBBInfOnOff,RoadBBPerOnOff,RoadBBMHEOnOff,RoadRORInfOnOff,RoadRORPerOnOff,RoadPOLInfOnOff,RoadPOLPerOnOff,RoadContPersOnOff,RoadContMHEOnOff,VehicleEntryQCap,SingleRoad,ConcurrentRoad,LightRoad,MaxRoadConvoys,VRoadConnection,VRoadDistance,VRailConnection,VRailDistance,VWaterConnection,VWaterDistance,VPipeConnection,VPipeDistance
00A1,1405,,1A,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capability Not Enabled,,Capability Not Enabled,,None in range,,,
00IO,1406,,6A,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capability Not Enabled,,Capability Not Enabled,,None in range,,,
00XT,1407,,8W,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capability Not Enabled,,Capability Not Enabled,,None in range,,,
AAFR,427,,01,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.00,-,0.00,,,,
AAMP,1200,,24,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.00,-,0.00,,,,
AAPV,1418,,CI,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capability Not Enabled,,Capability Not Enabled,,None in range,,,
AART,428,,48,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.00,-,0.00,,,,
AARV,86,,48,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.27,-,0.27,,,,
ABAA,37,,01,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.00,-,0.00,,,,
ABFL,1419,,SA,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capability Not Enabled,,Capability Not Enabled,,None in range,,,
ABTW,1029,,24,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.00,-,0.00,,,,
ABXK,1617,,24,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.00,-,0.00,None in range,,,
ACJP,27,,06,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.00,-,0.00,,,,
ACWE,1400,,15,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.00,Capability Not Enabled,,,,,
ADHB,429,,39,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.00,-,0.00,,,,
ADKH,1420,,BH,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capability Not Enabled,,Capability Not Enabled,,None in range,,,
ADLS,1421,,TN,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.00,-,0.00,None in range,,,
ADNA,430,,08,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.00,-,0.00,,,,
ADNB,431,,06,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.00,-,0.00,,,,
ADNC,1097,,06,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.00,-,0.00,,,,
ADND,266,,06,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.06,-,0.06,,,,
ADNE,1618,,06,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.00,-,0.00,None in range,,,
