KEY,SHAPE_ROW,CountryState,CountryStateCode,Length,LineStyle,LineWidth,LineColor,RailRate,RailRateOfMarch,Gauge,AvailableMilitary,type,Tracks,From,To,DisplayName,Modified,WeightLimit,WidthLimit,HeightLimit
AA 4884-2851,2851,null,null,1.75,,,,2000.0,22.0,,,rail,,ints-4424,ints-5351,,,,,
AA 4886-435,435,null,null,0.34,,,,2000.0,22.0,,,rail,,ints-4567,ints-1136,,,,,
AA 4887-1762,1762,null,null,0.73,,,,2000.0,22.0,,,rail,,ints-5351,ints-4567,,,,,
AA 4892-1243,1243,null,null,13.35,,,,2000.0,22.0,,,rail,,ints-1136,ints-6250,,,,,
AA 4893-2441,2441,null,null,1.81,,,,2000.0,22.0,,,rail,,ints-4083,ints-6250,,,,,
AA-3477,3477,null,null,10.55,,,,2000.0,22.0,,,rail,,ints-4083,ints-1013,,,,,
AM 2465-765,765,null,null,14.83,,,,2000.0,22.0,,,rail,,ints-4608,ints-2036,,,,,
AM+-938,938,null,null,72.28,,,,2000.0,22.0,,,rail,,ints-4608,ints-3031,,,,,
AM-920,920,null,null,31.83,,,,2000.0,22.0,,,rail,,ints-1192,ints-2036,,,,,
AMTK 4499-3049,3049,null,null,7.02,,,,4000.0,22.0,,,rail,,ints-4779,ints-4396,,,,,
AMTK 4500-137,137,null,null,4.12,,,,4000.0,22.0,,,rail,,ints-144,ints-4396,,,,,
AMTK 4501-4204,4204,null,null,7.19,,,,4000.0,22.0,,,rail,,ints-2903,ints-144,,,,,
AMTK 4502-3024,3024,null,null,6.62,,,,4000.0,22.0,,,rail,,ints-6259,ints-2903,,,,,
AMTK 4504-974,974,null,null,2.14,,,,4000.0,22.0,,,rail,,ints-4170,ints-1527,,,,,
AMTK 5055-3028,3028,null,null,0.52,,,,4000.0,22.0,,,rail,,ints-6281,ints-1322,,,,,
AMTK 5059-2791,2791,null,null,0.35,,,,4000.0,22.0,,,rail,,ints-1322,ints-3885,,,,,
AMTK 5074-3114,3114,null,null,15.38,,,,4000.0,22.0,,,rail,,ints-5312,ints-4164,,,,,
AMTK 5075-1793,1793,null,null,6.34,,,,4000.0,22.0,,,rail,,ints-4164,ints-609,,,,,
AMTK 5180-2722,2722,null,null,6.58,,,,4000.0,22.0,,,rail,,ints-2669,ints-3072,,,,,
AMTK 5183-1153,1153,null,null,9.5,,,,4000.0,22.0,,,rail,,ints-3072,ints-6079,,,,,
AMTK 5189-4301,4301,null,null,1.52,,,,4000.0,22.0,,,rail,,ints-6079,ints-5970,,,,,
AMTK 5191-3766,3766,null,null,1.2,,,,4000.0,22.0,,,rail,,ints-3937,ints-5970,,,,,
AMTK 5193-1180,1180,null,null,2.75,,,,4000.0,22.0,,,rail,,ints-6281,ints-3937,,,,,
AMTK+ 4377-577,577,null,null,21.85,,,,4000.0,22.0,,,rail,,ints-1131,ints-795,,,,,
