KEY,SHAPE_ROW,CountryState,CountryStateCode,Length,LineStyle,LineWidth,LineColor,RailRate,RailRateOfMarch,Gauge,AvailableMilitary,type,Tracks,From,To,DisplayName,Modified,WeightLimit,WidthLimit,HeightLimit
AA 4884-2851,2851,39,39,,,,,,,,,,,intersection 5936,intersection 4687,,,,,
AA 4886-435,435,39,39,,,,,,,,,,,intersection 4595,intersection 4596,,,,,
AA 4887-1762,1762,39,39,,,,,,,,,,,intersection 4687,intersection 4595,,,,,
AA 4892-1243,1243,39,39,,,,,,,,,,,intersection 4596,intersection 5432,,,,,
AA 4893-2441,2441,26,26,,,,,,,,,,,intersection 5622,intersection 5432,,,,,
AA-3477,3477,26,26,,,,,,,,,,,intersection 5622,intersection 6391,,,,,
AM 2465-765,765,05,05,,,,,,,,,,,intersection 4983,intersection 4984,,,,,
AM+-938,938,05,05,,,,,,,,,,,intersection 4983,intersection 5030,,,,,
AM-920,920,29,29,,,,,,,,,,,intersection 5156,intersection 4984,,,,,
AMTK 4499-3049,3049,09,09,,,,,,,,,,,intersection 4715,intersection 4172,,,,,
AMTK 4500-137,137,09,09,,,,,,,,,,,intersection 4171,intersection 4172,,,,,
AMTK 4501-4204,4204,09,09,,,,,,,,,,,intersection 6306,intersection 4171,,,,,
AMTK 4502-3024,3024,09,09,,,,,,,,,,,intersection 4310,intersection 6306,,,,,
AMTK 4504-974,974,09,09,,,,,,,,,,,intersection 5191,intersection 4838,,,,,
AMTK 5055-3028,3028,24,24,,,,,,,,,,,intersection 5387,intersection 5879,,,,,
AMTK 5059-2791,2791,24,24,,,,,,,,,,,intersection 5879,intersection 5816,,,,,
AMTK 5074-3114,3114,24,24,,,,,,,,,,,intersection 4854,intersection 4174,,,,,
AMTK 5075-1793,1793,24,24,,,,,,,,,,,intersection 4174,intersection 5821,,,,,
AMTK 5180-2722,2722,24,24,,,,,,,,,,,intersection 4779,intersection 5362,,,,,
AMTK 5183-1153,1153,24,24,,,,,,,,,,,intersection 5362,intersection 5363,,,,,
AMTK 5189-4301,4301,24,24,,,,,,,,,,,intersection 5363,intersection 6159,,,,,
AMTK 5191-3766,3766,24,24,,,,,,,,,,,intersection 4921,intersection 6159,,,,,
AMTK 5193-1180,1180,24,24,,,,,,,,,,,intersection 5387,intersection 4921,,,,,
AMTK+ 4377-577,577,42,42,,,,,,,,,,,intersection 4400,intersection 4040,,,,,
