KEY,SHAPE_ROW,CountryState,CountryStateCode,Length,LineStyle,LineWidth,LineColor,RoadRate,RoadRateOfMarch,One-way,CivilianTraffic,AvailableMilitary,type,From,To,RoadClass,MSR,DisplayName,Modified,WeightLimit,WidthLimit,HeightLimit,MLCLimit
C1069+-757,757,null,null,2.96,,,,6917.647,25.0,,,,small road,geos-LLTY,ints-5174,,,,,,,,
C2327+-3577,3577,null,null,12.93,,,,6376.471,30.0,,,,small road,geos-XLWU,ints-6071,,,,,,,,
C553-803,803,null,null,13.7,,,,9847.059,35.0,,,,small road,ints-3626,ints-1384,,,,,,,,
CB3+-3451,3451,null,null,15.31,,,,6917.647,25.0,,,,small road,ints-2897,ints-4337,,,,,,,,
CVG111,6546,null,null,6.7515054,,,,222.0,13.670115,,,,road,ints-6624,geos-MBJJ,,,,,,,,
Connector Road -1-234,6470,null,null,40.376,,,,,15.534,,,,medium road,geos-WSVC,ints-6595,,,,,,,,
Connector Road -2-4,6240,null,null,46.859,,,,,15.534,,,,medium road,geos-BQWK,geos-WSVC,,,,,,,,
Djerba Admin Connector Road-82,6318,null,null,8.89,,,,,15.534,,,,connector road,geos-FGTS,geos-FGTW,,,,,,,,
El Borma Connector Road-139,6375,null,null,55.673,,,,,15.534,,,,connector road,geos-FTZH,ints-6517,,,,,,,,
Gabes Connector Road-116,6352,null,null,0.635,,,,,15.534,,,,medium road,geos-HNTM,geos-HNTS,,,,,,,,
I10 1022-3787,3787,null,null,0.9,,,,38223.53,50.0,,,,large road,ints-3832,ints-6042,,,,,,,,
I10 1023-5465,5465,null,null,11.23,,,,38223.53,50.0,,,,large road,ints-5588,ints-3832,,,,,,,,
I10 1024-857,857,null,null,1.39,,,,38223.53,50.0,,,,large road,ints-6042,ints-2827,,,,,,,,
I10 1027-5837,5837,null,null,17.37,,,,38223.53,50.0,,,,large road,ints-2827,ints-2481,,,,,,,,
I10 1031-2535,2535,null,null,39.62,,,,38223.53,50.0,,,,large road,ints-2265,ints-5588,,,,,,,,
I10 1036-536,536,null,null,23.3,,,,38223.53,50.0,,,,large road,ints-2030,ints-2265,,,,,,,,
