KEY,SHAPE_ROW,CountryState,CountryStateCode,Length,LineStyle,LineWidth,LineColor,RoadRate,RoadRateOfMarch,One-way,CivilianTraffic,AvailableMilitary,type,From,To,RoadClass,MSR,DisplayName,Modified,WeightLimit,WidthLimit,HeightLimit,MLCLimit
C1069+-757,757,48,48,,,,,,,,,,,LLTY intersection,intersection 1178,,,,,,,,
C2327+-3577,3577,12,12,,,,,,,,,,,XLWU intersection,intersection 3030,,,,,,,,
C553-803,803,26,26,,,,,,,,,,,intersection 227,intersection 1247,,,,,,,,
CB3+-3451,3451,38,38,,,,,,,,,,,intersection 3446,intersection 479,,,,,,,,
CVG111,6546,TN,TN,,,,,,,,,,,intersection 82 1,MBJJ intersection,,,,,,,,
Connector Road -1-234,6470,DZ,DZ,,,,,,,,,,,WSVC intersection,intersection 35 1,,,,,,,,
Connector Road -2-4,6240,DZ,DZ,,,,,,,,,,,BQWK intersection,WSVC intersection,,,,,,,,
Djerba Admin Connector Road-82,6318,TN,TN,,,,,,,,,,,FGTS intersection,FGTW intersection,,,,,,,,
El Borma Connector Road-139,6375,TN,TN,,,,,,,,,,,FTZH intersection,intersection 52 1,,,,,,,,
Gabes Connector Road-116,6352,TN,TN,,,,,,,,,,,HNTM intersection,HNTS intersection,,,,,,,,
I10 1022-3787,3787,04,04,,,,,,,,,,,intersection 550,intersection 935,,,,,,,,
I10 1023-5465,5465,04,04,,,,,,,,,,,intersection 549,intersection 550,,,,,,,,
I10 1024-857,857,04,04,,,,,,,,,,,intersection 935,intersection 1325,,,,,,,,
I10 1027-5837,5837,04,04,,,,,,,,,,,intersection 1325,intersection 3696,,,,,,,,
I10 1031-2535,2535,04,04,,,,,,,,,,,intersection 463,intersection 549,,,,,,,,
I10 1036-536,536,04,04,,,,,,,,,,,intersection 462,intersection 463,,,,,,,,
I10 1041-1070,1070,04,04,,,,,,,,,,,intersection 1602,intersection 1603,,,,,,,,
I10 1042-5516,5516,04,04,,,,,,,,,,,intersection 3640,intersection 1602,,,,,,,,
I10 1043-3844,3844,04,04,,,,,,,,,,,intersection 1608,intersection 2864,,,,,,,,
I10 1044-2189,2189,04,04,,,,,,,,,,,intersection 1678,intersection 201,,,,,,,,
I10 1046-5093,5093,04,04,,,,,,,,,,,intersection 3095,intersection 3640,,,,,,,,
I10 1047-3458,3458,04,04,,,,,,,,,,,intersection 2307,intersection 3095,,,,,,,,
I10 1048-1782,1782,04,04,,,,,,,,,,,intersection 1526,intersection 2307,,,,,,,,
I10 1049-114,114,04,04,,,,,,,,,,,intersection 201,intersection 202,,,,,,,,
I10 1050-1008,1008,04,04,,,,,,,,,,,intersection 202,intersection 1526,,,,,,,,
I10 1051-5769,5769,04,04,,,,,,,,,,,intersection 2902,intersection 170,,,,,,,,
I10 1052-3912,3912,04,04,,,,,,,,,,,intersection 2592,intersection 462,,,,,,,,
I10 1060-2063,2063,04,04,,,,,,,,,,,intersection 2288,intersection 2592,,,,,,,,
I10 1061-214,214,04,04,,,,,,,,,,,intersection 372,intersection 242,,,,,,,,
I10 1062-4984,4984,04,04,,,,,,,,,,,intersection 2287,intersection 2288,,,,,,,,
I10 1064-1670,1670,04,04,,,,,,,,,,,intersection 51,intersection 372,,,,,,,,
I10 1065-6096,6096,04,04,,,,,,,,,,,intersection 50,intersection 51,,,,,,,,
