KEY,SHAPE_ROW,CountryStateCode,MaxMilShip,Port,Active,Modified,DifferentCSC,EquipmentStorage,ContStackHeight,SeaBBOffPers,SeaBBOnPers,SeaContOffPers,SeaContOnPers,SeaROROOffPers,SeaROROOnPers
ABIDJAN -AAPV-PRT,0,CI,6,AAPV,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
AD DAMMAM -ABFL-PRT,0,SA,6,ABFL,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
ADELPHI -ABXK-NYI,0,24,,ABXK,,,false,,,,,,,,
AL BAHRAYN MINA S -ADKH-PRT,0,BH,6,ADKH,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
AL MAHDIYAH -ADLS-PRT,0,TN,6,ADLS,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
ALAMEDA -ADNE-NYI,0,06,,ADNE,,,false,,,,,,,,
ALAMEDA PT MARAD -ADNK-PRT,0,06,,ADNK,,,false,,,,,,,,
ALEXANDRIA -AELU-PRT,0,EG,6,AELU,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
ALGECIRAS -AEQT-PRT,0,ES,6,AEQT,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
ANACORTES -AHWQ-PRT,0,53,,AHWQ,,,false,,,,,,,,
ANACOSTIA -AHXM-NYI,0,11,,AHXM,,,false,,,,,,,,
ANCHORAGE -AJBR-PRT,0,02,,AJBR,,,false,,,,,,,,
ANCONA -AJGX-PRT,0,IT,6,AJGX,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
ANNAPOLIS -AKUU-PRT,0,24,,AKUU,,,false,,,,,,,,
ANTWERP -ALRF-PRT,0,BE,6,ALRF,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
APRA HARBOR -AMCQ-PRT,0,GU,6,AMCQ,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
AS SUKHAYRAH -APFD-PRT,0,TN,6,APFD,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
ASH SHUWAIKH COMM -APGW-PRT,0,KW,6,APGW,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
ASHTART -APRJ-PRT,0,TN,,APRJ,,,false,,,,,,,,
ATLANTA -AQLW-NAV,0,13,,AQLW,,,false,,,,,,,,
BALTIMORE OUTPORT -AVBU-PRT,0,24,6,AVBU,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
BANGOR -AVPV-NYI,0,53,,AVPV,,,false,,,,,,,,
BANGOR NAVAL SUBM -AVPN-NBA,0,53,,AVPN,,,false,,,,,,,,
BANZART -AVTB-PRT,0,TN,,AVTB,,,false,,,,,,,,
BARCELONA -AVYX-PRT,0,ES,6,AVYX,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
BARTH -AYER-PRT,0,DE,,AYER,,,false,,,,,,,,
BATON ROUGE -AYYY-PRT,0,22,,AYYY,,,false,,,,,,,,
BAYONNE -AZTE-NYI,0,34,,AZTE,,,false,,,,,,,,
BAYONNE -AZTG-PRT,0,34,,AZTG,,,false,,,,,,,,
BEAUFORT -BBGP-PRT,0,37,,BBGP,,,false,,,,,,,,
BEAUMONT -BBNV-PRT,0,48,6,BBNV,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
BEAUMONT T2 -BBNQ-PRT,0,48,6,BBNQ,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
BIZERTE -BSRL-PRT,0,TN,6,BSRL,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
BONE -BYKC-PRT,0,DZ,,BYKC,,,false,,,,,,,,
BOSTON -CAMK-NYI,0,25,,CAMK,,,false,,,,,,,,
BREMERHAVEN -CHCY-PRT,0,DE,6,CHCY,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
BREMERTON -CHEV-NYI,0,53,,CHEV,,,false,,,,,,,,
BREMERTON SEALAND -CHEX-PRT,0,53,,CHEX,,,false,,,,,,,,
BRISTOL -CKMQ-PRT,0,42,,CKMQ,,,false,,,,,,,,
BROOKLYN -CMXJ-NYI,0,36,,CMXJ,,,false,,,,,,,,
CADIZ -CWCP-PRT,0,ES,6,CWCP,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
CAGAYAN DE ORO -CWGV-PRT,0,PH,6,CWGV,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
CARSWELL -DDQW-NAV,0,48,,DDQW,,,false,,,,,,,,
CEDAR RAPIDS -DGGD-NYI,0,19,,DGGD,,,false,,,,,,,,
CHARLESTON -DKGL-NYI,0,45,,DKGL,,,false,,,,,,,,
CHARLESTON -DKSD-PRT,0,45,6,DKSD,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
CHARLESTON -DKTT-NAV,0,54,,DKTT,,,false,,,,,,,,
CHARLESTON NAV YD -DKVL-NYI,0,45,,DKVL,,,false,,,,,,,,
CHICAGO -DPMD-PRT,0,17,,DPMD,,,false,,,,,,,,
CHINHAE -DRUG-PRT,0,KR,6,DRUG,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
COLOMBO -EDME-PRT,0,LK,6,EDME,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
CONCORD -EGNN-PRT,0,06,6,EGNN,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
COOS BAY -EKWU-PRT,0,41,,EKWU,,,false,,,,,,,,
CORONADO -EMVX-NYI,0,06,,EMVX,,,false,,,,,,,,
CORONADO SD   NPB -EMVY-NYI,0,06,,EMVY,,,false,,,,,,,,
CORPUS CHRISTI NA -ENCN-PRT,0,48,6,ENCN,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
CRANE -EWFK-NYI,0,18,,EWFK,,,false,,,,,,,,
CROCKETT -EXGM-PRT,0,06,,EXGM,,,false,,,,,,,,
DAKAR -EZMU-PRT,0,SN,6,EZMU,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
DANA POINT -FAFL-PRT,0,06,,FAFL,,,false,,,,,,,,
DENVER -FERR-NAV,0,08,,FERR,,,false,,,,,,,,
DIEGO GARCIA -FGDD-PRT,0,DG,6,FGDD,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
DIEGO GARCIA EAST -FGDB-PRT,0,DG,6,FGDB,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
DJERBA -FGTW-PRT,0,TN,6,FGTW,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
DUBAI -FMAZ-PRT,0,AE,6,FMAZ,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
DULUTH -FMKT-NYI,0,27,,FMKT,,,false,,,,,,,,
DULUTH -FMLT-PRT,0,27,,FMLT,,,false,,,,,,,,
DURBAN -FNLD-PRT,0,ZA,6,FNLD,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
DUTCH HARBOR -FNSH-PRT,0,02,6,FNSH,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
EARLE NWS -FQZF-PRT,0,34,6,FQZF,,M,false,1742400.0,3,6000.0,4000.0,2600.0,2300.0,1800.0,1200.0
EL KALA -FUPD-PRT,0,DZ,,FUPD,,,false,,,,,,,,
