KEY,SHAPE_ROW,CountryStateCode,MaxMilShip,Port,Active,Modified,DifferentCSC,EquipmentStorage,ContStackHeight,SeaBBOffPers,SeaBBOnPers,SeaContOffPers,SeaContOnPers,SeaROROOffPers,SeaROROOnPers
ABIDJAN -AAPV-PRT,0,,,,,,null,,,,,,,,
AD DAMMAM -ABFL-PRT,0,,,,,,null,,,,,,,,
ADELPHI -ABXK-NYI,0,,,,,,null,,,,,,,,
AL BAHRAYN MINA S -ADKH-PRT,0,,,,,,null,,,,,,,,
AL MAHDIYAH -ADLS-PRT,0,,,,,,null,,,,,,,,
ALAMEDA -ADNE-NYI,0,,,,,,null,,,,,,,,
ALAMEDA PT MARAD -ADNK-PRT,0,,,,,,null,,,,,,,,
ALEXANDRIA -AELU-PRT,0,,,,,,null,,,,,,,,
ALGECIRAS -AEQT-PRT,0,,,,,,null,,,,,,,,
ANACORTES -AHWQ-PRT,0,,,,,,null,,,,,,,,
ANACOSTIA -AHXM-NYI,0,,,,,,null,,,,,,,,
ANCHORAGE -AJBR-PRT,0,,,,,,null,,,,,,,,
ANCONA -AJGX-PRT,0,,,,,,null,,,,,,,,
ANNAPOLIS -AKUU-PRT,0,,,,,,null,,,,,,,,
ANTWERP -ALRF-PRT,0,,,,,,null,,,,,,,,
APRA HARBOR -AMCQ-PRT,0,,,,,,null,,,,,,,,
AS SUKHAYRAH -APFD-PRT,0,,,,,,null,,,,,,,,
ASH SHUWAIKH COMM -APGW-PRT,0,,,,,,null,,,,,,,,
ASHTART -APRJ-PRT,0,,,,,,null,,,,,,,,
ATLANTA -AQLW-NAV,0,,,,,,null,,,,,,,,
BALTIMORE OUTPORT -AVBU-PRT,0,,,,,,null,,,,,,,,
BANGOR -AVPV-NYI,0,,,,,,null,,,,,,,,
BANGOR NAVAL SUBM -AVPN-NBA,0,,,,,,null,,,,,,,,
BANZART -AVTB-PRT,0,,,,,,null,,,,,,,,
BARCELONA -AVYX-PRT,0,,,,,,null,,,,,,,,
BARTH -AYER-PRT,0,,,,,,null,,,,,,,,
BATON ROUGE -AYYY-PRT,0,,,,,,null,,,,,,,,
BAYONNE -AZTE-NYI,0,,,,,,null,,,,,,,,
BAYONNE -AZTG-PRT,0,,,,,,null,,,,,,,,
BEAUFORT -BBGP-PRT,0,,,,,,null,,,,,,,,
BEAUMONT -BBNV-PRT,0,,,,,,null,,,,,,,,
BEAUMONT T2 -BBNQ-PRT,0,,,BBNV,,,null,,,,,,,,
BIZERTE -BSRL-PRT,0,,,,,,null,,,,,,,,
BONE -BYKC-PRT,0,,,,,,null,,,,,,,,
BOSTON -CAMK-NYI,0,,,,,,null,,,,,,,,
BREMERHAVEN -CHCY-PRT,0,,,,,,null,,,,,,,,
BREMERTON -CHEV-NYI,0,,,,,,null,,,,,,,,
BREMERTON SEALAND -CHEX-PRT,0,,,,,,null,,,,,,,,
BRISTOL -CKMQ-PRT,0,,,,,,null,,,,,,,,
BROOKLYN -CMXJ-NYI,0,,,,,,null,,,,,,,,
CADIZ -CWCP-PRT,0,,,,,,null,,,,,,,,
CAGAYAN DE ORO -CWGV-PRT,0,,,,,,null,,,,,,,,
CARSWELL -DDQW-NAV,0,,,,,,null,,,,,,,,
CEDAR RAPIDS -DGGD-NYI,0,,,,,,null,,,,,,,,
CHARLESTON -DKGL-NYI,0,,,,,,null,,,,,,,,
CHARLESTON -DKSD-PRT,0,,,,,,null,,,,,,,,
CHARLESTON -DKTT-NAV,0,,,,,,null,,,,,,,,
CHARLESTON NAV YD -DKVL-NYI,0,,,,,,null,,,,,,,,
CHICAGO -DPMD-PRT,0,,,,,,null,,,,,,,,
CHINHAE -DRUG-PRT,0,,,,,,null,,,,,,,,
COLOMBO -EDME-PRT,0,,,,,,null,,,,,,,,
CONCORD -EGNN-PRT,0,,,,,,null,,,,,,,,
COOS BAY -EKWU-PRT,0,,,,,,null,,,,,,,,
CORONADO -EMVX-NYI,0,,,,,,null,,,,,,,,
CORONADO SD   NPB -EMVY-NYI,0,,,,,,null,,,,,,,,
CORPUS CHRISTI NA -ENCN-PRT,0,,,,,,null,,,,,,,,
CRANE -EWFK-NYI,0,,,,,,null,,,,,,,,
CROCKETT -EXGM-PRT,0,,,,,,null,,,,,,,,
DAKAR -EZMU-PRT,0,,,,,,null,,,,,,,,
DANA POINT -FAFL-PRT,0,,,,,,null,,,,,,,,
DENVER -FERR-NAV,0,,,,,,null,,,,,,,,
DIEGO GARCIA -FGDD-PRT,0,,,,,,null,,,,,,,,
DIEGO GARCIA EAST -FGDB-PRT,0,,,,,,null,,,,,,,,
DJERBA -FGTW-PRT,0,,,,,,null,,,,,,,,
DUBAI -FMAZ-PRT,0,,,,,,null,,,,,,,,
DULUTH -FMKT-NYI,0,,,,,,null,,,,,,,,
DULUTH -FMLT-PRT,0,,,,,,null,,,,,,,,
DURBAN -FNLD-PRT,0,,,,,,null,,,,,,,,
DUTCH HARBOR -FNSH-PRT,0,,,,,,null,,,,,,,,
EARLE NWS -FQZF-PRT,0,,,,,,null,,,,,,,,
EL KALA -FUPD-PRT,0,,,,,,null,,,,,,,,
ELIZABETHPORT -FVMT-PRT,0,,,,,,null,,,,,,,,
ELMENDORF -FXSK-POL,0,,,,,,null,,,,,,,,
ERIE -GCRR-PRT,0,,,,,,null,,,,,,,,
EUREKA -GFVP-PRT,0,,,,,,null,,,,,,,,
EVERETT -GGNJ-PRT,0,,,,,,null,,,,,,,,
