KEY,SHAPE_ROW,CountryState,CountryStateCode,Length,LineStyle,LineWidth,LineColor,WaterwayRate,WaterwayRateOfMarch,AvailableMilitary,type,From,To,DisplayName,Modified
waterway-0,0,null,null,11.971751,,,,,,,waterway,geos-VKNP,ints-6725,,
waterway-1,1,null,null,16.525629,,,,,,,waterway,ints-6725,ints-6726,,
waterway-10,10,null,null,43.56765,,,,,,,waterway,ints-6725,ints-6731,,
waterway-2,2,null,null,22.730427,,,,,,,waterway,ints-6726,ints-6727,,
waterway-3,3,null,null,6.174831,,,,,,,waterway,ints-6727,geos-APFD,,
waterway-4,4,null,null,8.527348,,,,,,,waterway,ints-6727,ints-6728,,
waterway-5,5,null,null,14.958299,,,,,,,waterway,ints-6728,ints-6729,,
waterway-6,6,null,null,6.5885634,,,,,,,waterway,ints-6729,geos-HNTS,,
waterway-7,7,null,null,28.111485,,,,,,,waterway,ints-6729,ints-6730,,
waterway-8,8,null,null,11.639928,,,,,,,waterway,ints-6730,ints-6731,,
waterway-9,9,null,null,5.164246,,,,,,,waterway,ints-6731,geos-FGTW,,
