StorageCompatibilityGroup,A,B,C,D,E,F,G,H,J,K,L,N,S
A,X,Z,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
B,Z,X,Z,Z,Z,Z,Z,EMPTY,EMPTY,EMPTY,EMPTY,X,X
C,EMPTY,Z,X,X,X,Z,Z,EMPTY,EMPTY,EMPTY,EMPTY,X,X
D,EMPTY,Z,X,X,X,Z,Z,EMPTY,EMPTY,EMPTY,EMPTY,X,X
E,EMPTY,Z,X,X,X,Z,Z,EMPTY,EMPTY,EMPTY,EMPTY,X,X
F,EMPTY,Z,Z,Z,Z,X,Z,EMPTY,EMPTY,EMPTY,EMPTY,Z,X
G,EMPTY,Z,Z,Z,Z,Z,X,EMPTY,EMPTY,EMPTY,EMPTY,Z,X
H,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,X,EMPTY,EMPTY,EMPTY,EMPTY,X
J,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,X,EMPTY,EMPTY,EMPTY,X
K,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,Z,EMPTY,EMPTY,EMPTY
L,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
N,EMPTY,X,X,X,X,Z,Z,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
S,EMPTY,X,X,X,X,X,X,X,X,EMPTY,EMPTY,EMPTY,EMPTY
