Country_State_Code,Theater_Name
44,CONUS
45,CONUS
01,CONUS
46,CONUS
02,CONUS
47,CONUS
48,CONUS
04,CONUS
49,CONUS
05,CONUS
06,CONUS
08,CONUS
09,CONUS
50,CONUS
51,CONUS
53,CONUS
10,CONUS
54,CONUS
55,CONUS
11,CONUS
56,CONUS
12,CONUS
13,CONUS
15,CONUS
16,CONUS
17,CONUS
18,CONUS
19,CONUS
20,CONUS
21,CONUS
22,CONUS
23,CONUS
24,CONUS
25,CONUS
26,CONUS
27,CONUS
28,CONUS
29,CONUS
30,CONUS
31,CONUS
32,CONUS
33,CONUS
34,CONUS
35,CONUS
36,CONUS
37,CONUS
38,CONUS
39,CONUS
40,CONUS
41,CONUS
42,CONUS
DZ,Tunisia
TN,Tunisia
