Name,ACType,Base,Day,Delta
STRATEGIC,B-747P,AEDY,0,0
STRATEGIC,B-747P,AEDY,15,8
STRATEGIC,B-747P,AEDY,30,0
STRATEGIC,B-747P,XDAT,0,10
STRATEGIC,B-747P,XDAT,15,25
STRATEGIC,B-747P,XDAT,30,30
STRATEGIC,C-17,DKFX,0,8
STRATEGIC,C-17,DKFX,15,7
STRATEGIC,C-17,DKFX,25,5
STRATEGIC,C-17,DKFX,55,-12
STRATEGIC,C-17,PQWY,0,4
STRATEGIC,C-17,PQWY,15,0
STRATEGIC,C-17,PQWY,25,5
STRATEGIC,C-17,PQWY,55,-5
STRATEGIC,C-17,XDAT,0,4
STRATEGIC,C-17,XDAT,15,7
STRATEGIC,C-17,XDAT,25,0
STRATEGIC,C-17,XDAT,55,-7
STRATEGIC,C-5A,XDAT,0,5
STRATEGIC,C-5A,XDAT,15,12
STRATEGIC,C-5A,XDAT,25,20
STRATEGIC,CH47,SEA1,0,3
STRATEGIC,KC-10,XDAT,0,8
STRATEGIC,KC-10,XDAT,15,18
STRATEGIC,KC-10,XDAT,25,12
