Airport,Fleet,AcType,Day,Enabled,Description,EventPhase,Data
AARV,STRATEGIC,B-747P,0,true,,,false
AARV,STRATEGIC,C-17,0,true,,,false
AARV,STRATEGIC,C-5A,0,true,,,false
AARV,STRATEGIC,CH47,0,true,,,false
AARV,STRATEGIC,KC-10,0,true,,,false
ABAA,STRATEGIC,B-747P,0,true,,,false
ABAA,STRATEGIC,C-17,0,true,,,false
ABAA,STRATEGIC,C-5A,0,true,,,false
ABAA,STRATEGIC,CH47,0,true,,,false
ABAA,STRATEGIC,KC-10,0,true,,,false
ACJP,STRATEGIC,B-747P,0,true,,,false
ACJP,STRATEGIC,C-17,0,true,,,false
ACJP,STRATEGIC,C-5A,0,true,,,false
ACJP,STRATEGIC,CH47,0,true,,,false
ACJP,STRATEGIC,KC-10,0,true,,,false
ADND,STRATEGIC,B-747P,0,true,,,false
ADND,STRATEGIC,C-17,0,true,,,false
ADND,STRATEGIC,C-5A,0,true,,,false
ADND,STRATEGIC,CH47,0,true,,,false
ADND,STRATEGIC,KC-10,0,true,,,false
ADQM,STRATEGIC,B-747P,0,true,,,false
ADQM,STRATEGIC,C-17,0,true,,,false
ADQM,STRATEGIC,C-5A,0,true,,,false
ADQM,STRATEGIC,CH47,0,true,,,false
ADQM,STRATEGIC,KC-10,0,true,,,false
ADVM,STRATEGIC,B-747P,0,true,,,false
ADVM,STRATEGIC,C-17,0,true,,,false
ADVM,STRATEGIC,C-5A,0,true,,,false
ADVM,STRATEGIC,CH47,0,true,,,false
ADVM,STRATEGIC,KC-10,0,true,,,false
ADVN,STRATEGIC,B-747P,0,true,,,false
ADVN,STRATEGIC,C-17,0,true,,,false
ADVN,STRATEGIC,C-5A,0,true,,,false
ADVN,STRATEGIC,CH47,0,true,,,false
ADVN,STRATEGIC,KC-10,0,true,,,false
AECW,STRATEGIC,B-747P,0,true,,,false
AECW,STRATEGIC,C-17,0,true,,,false
AECW,STRATEGIC,C-5A,0,true,,,false
AECW,STRATEGIC,CH47,0,true,,,false
AECW,STRATEGIC,KC-10,0,true,,,false
AEDY,STRATEGIC,B-747P,0,true,,,true
AEDY,STRATEGIC,C-17,0,true,,,false
AEDY,STRATEGIC,C-5A,0,true,,,false
AEDY,STRATEGIC,CH47,0,true,,,false
AEDY,STRATEGIC,KC-10,0,true,,,false
AFMS,STRATEGIC,B-747P,0,true,,,false
AFMS,STRATEGIC,C-17,0,true,,,false
AFMS,STRATEGIC,C-5A,0,true,,,false
AFMS,STRATEGIC,CH47,0,true,,,false
AFMS,STRATEGIC,KC-10,0,true,,,false
AGGN,STRATEGIC,B-747P,0,true,,,false
AGGN,STRATEGIC,C-17,0,true,,,false
AGGN,STRATEGIC,C-5A,0,true,,,false
AGGN,STRATEGIC,CH47,0,true,,,false
AGGN,STRATEGIC,KC-10,0,true,,,false
AGWF,STRATEGIC,B-747P,0,true,,,false
AGWF,STRATEGIC,C-17,0,true,,,false
AGWF,STRATEGIC,C-5A,0,true,,,false
AGWF,STRATEGIC,CH47,0,true,,,false
AGWF,STRATEGIC,KC-10,0,true,,,false
AJBQ,STRATEGIC,B-747P,0,true,,,false
AJBQ,STRATEGIC,C-17,0,true,,,false
AJBQ,STRATEGIC,C-5A,0,true,,,false
AJBQ,STRATEGIC,CH47,0,true,,,false
AJBQ,STRATEGIC,KC-10,0,true,,,false
AJJY,STRATEGIC,B-747P,0,true,,,false
AJJY,STRATEGIC,C-17,0,true,,,false
AJJY,STRATEGIC,C-5A,0,true,,,false
AJJY,STRATEGIC,CH47,0,true,,,false
AJJY,STRATEGIC,KC-10,0,true,,,false
AJXF,STRATEGIC,B-747P,0,true,,,false
AJXF,STRATEGIC,C-17,0,true,,,false
AJXF,STRATEGIC,C-5A,0,true,,,false
AJXF,STRATEGIC,CH47,0,true,,,false
AJXF,STRATEGIC,KC-10,0,true,,,false
AMES,STRATEGIC,B-747P,0,true,,,false
AMES,STRATEGIC,C-17,0,true,,,false
AMES,STRATEGIC,C-5A,0,true,,,false
AMES,STRATEGIC,CH47,0,true,,,false
AMES,STRATEGIC,KC-10,0,true,,,false
ANZY,STRATEGIC,B-747P,0,true,,,false
ANZY,STRATEGIC,C-17,0,true,,,false
ANZY,STRATEGIC,C-5A,0,true,,,false
ANZY,STRATEGIC,CH47,0,true,,,false
ANZY,STRATEGIC,KC-10,0,true,,,false
AQLM,STRATEGIC,B-747P,0,true,,,false
AQLM,STRATEGIC,C-17,0,true,,,false
AQLM,STRATEGIC,C-5A,0,true,,,false
AQLM,STRATEGIC,CH47,0,true,,,false
AQLM,STRATEGIC,KC-10,0,true,,,false
AQRC,STRATEGIC,B-747P,0,true,,,false
AQRC,STRATEGIC,C-17,0,true,,,false
AQRC,STRATEGIC,C-5A,0,true,,,false
AQRC,STRATEGIC,CH47,0,true,,,false
AQRC,STRATEGIC,KC-10,0,true,,,false
ARNW,STRATEGIC,B-747P,0,true,,,false
ARNW,STRATEGIC,C-17,0,true,,,false
ARNW,STRATEGIC,C-5A,0,true,,,false
ARNW,STRATEGIC,CH47,0,true,,,false
ARNW,STRATEGIC,KC-10,0,true,,,false
ASCE,STRATEGIC,B-747P,0,true,,,false
ASCE,STRATEGIC,C-17,0,true,,,false
ASCE,STRATEGIC,C-5A,0,true,,,false
ASCE,STRATEGIC,CH47,0,true,,,false
ASCE,STRATEGIC,KC-10,0,true,,,false
ASHE,STRATEGIC,B-747P,0,true,,,false
ASHE,STRATEGIC,C-17,0,true,,,false
ASHE,STRATEGIC,C-5A,0,true,,,false
ASHE,STRATEGIC,CH47,0,true,,,false
ASHE,STRATEGIC,KC-10,0,true,,,false
ASPQ,STRATEGIC,B-747P,0,true,,,false
ASPQ,STRATEGIC,C-17,0,true,,,false
ASPQ,STRATEGIC,C-5A,0,true,,,false
ASPQ,STRATEGIC,CH47,0,true,,,false
ASPQ,STRATEGIC,KC-10,0,true,,,false
ATQZ,STRATEGIC,B-747P,0,true,,,false
ATQZ,STRATEGIC,C-17,0,true,,,false
ATQZ,STRATEGIC,C-5A,0,true,,,false
ATQZ,STRATEGIC,CH47,0,true,,,false
ATQZ,STRATEGIC,KC-10,0,true,,,false
ATXK,STRATEGIC,B-747P,0,true,,,false
ATXK,STRATEGIC,C-17,0,true,,,false
ATXK,STRATEGIC,C-5A,0,true,,,false
ATXK,STRATEGIC,CH47,0,true,,,false
ATXK,STRATEGIC,KC-10,0,true,,,false
AVXS,STRATEGIC,B-747P,0,true,,,false
AVXS,STRATEGIC,C-17,0,true,,,false
AVXS,STRATEGIC,C-5A,0,true,,,false
AVXS,STRATEGIC,CH47,0,true,,,false
AVXS,STRATEGIC,KC-10,0,true,,,false
AVXU,STRATEGIC,B-747P,0,true,,,false
AVXU,STRATEGIC,C-17,0,true,,,false
AVXU,STRATEGIC,C-5A,0,true,,,false
AVXU,STRATEGIC,CH47,0,true,,,false
AVXU,STRATEGIC,KC-10,0,true,,,false
AVXV,STRATEGIC,B-747P,0,true,,,false
AVXV,STRATEGIC,C-17,0,true,,,false
AVXV,STRATEGIC,C-5A,0,true,,,false
AVXV,STRATEGIC,CH47,0,true,,,false
AVXV,STRATEGIC,KC-10,0,true,,,false
AWUB,STRATEGIC,B-747P,0,true,,,false
AWUB,STRATEGIC,C-17,0,true,,,false
AWUB,STRATEGIC,C-5A,0,true,,,false
AWUB,STRATEGIC,CH47,0,true,,,false
AWUB,STRATEGIC,KC-10,0,true,,,false
AXQD,STRATEGIC,B-747P,0,true,,,false
AXQD,STRATEGIC,C-17,0,true,,,false
AXQD,STRATEGIC,C-5A,0,true,,,false
AXQD,STRATEGIC,CH47,0,true,,,false
AXQD,STRATEGIC,KC-10,0,true,,,false
AYSX,STRATEGIC,B-747P,0,true,,,false
AYSX,STRATEGIC,C-17,0,true,,,false
AYSX,STRATEGIC,C-5A,0,true,,,false
AYSX,STRATEGIC,CH47,0,true,,,false
AYSX,STRATEGIC,KC-10,0,true,,,false
BACA,STRATEGIC,B-747P,0,true,,,false
BACA,STRATEGIC,C-17,0,true,,,false
BACA,STRATEGIC,C-5A,0,true,,,false
BACA,STRATEGIC,CH47,0,true,,,false
BACA,STRATEGIC,KC-10,0,true,,,false
BAEY,STRATEGIC,B-747P,0,true,,,false
BAEY,STRATEGIC,C-17,0,true,,,false
BAEY,STRATEGIC,C-5A,0,true,,,false
BAEY,STRATEGIC,CH47,0,true,,,false
BAEY,STRATEGIC,KC-10,0,true,,,false
BBJM,STRATEGIC,B-747P,0,true,,,false
BBJM,STRATEGIC,C-17,0,true,,,false
BBJM,STRATEGIC,C-5A,0,true,,,false
BBJM,STRATEGIC,CH47,0,true,,,false
BBJM,STRATEGIC,KC-10,0,true,,,false
BFHX,STRATEGIC,B-747P,0,true,,,false
BFHX,STRATEGIC,C-17,0,true,,,false
BFHX,STRATEGIC,C-5A,0,true,,,false
BFHX,STRATEGIC,CH47,0,true,,,false
BFHX,STRATEGIC,KC-10,0,true,,,false
BFMV,STRATEGIC,B-747P,0,true,,,false
BFMV,STRATEGIC,C-17,0,true,,,false
BFMV,STRATEGIC,C-5A,0,true,,,false
BFMV,STRATEGIC,CH47,0,true,,,false
BFMV,STRATEGIC,KC-10,0,true,,,false
BJHZ,STRATEGIC,B-747P,0,true,,,false
BJHZ,STRATEGIC,C-17,0,true,,,false
BJHZ,STRATEGIC,C-5A,0,true,,,false
BJHZ,STRATEGIC,CH47,0,true,,,false
BJHZ,STRATEGIC,KC-10,0,true,,,false
BKTZ,STRATEGIC,B-747P,0,true,,,false
BKTZ,STRATEGIC,C-17,0,true,,,false
BKTZ,STRATEGIC,C-5A,0,true,,,false
BKTZ,STRATEGIC,CH47,0,true,,,false
BKTZ,STRATEGIC,KC-10,0,true,,,false
BPWZ,STRATEGIC,B-747P,0,true,,,false
BPWZ,STRATEGIC,C-17,0,true,,,false
BPWZ,STRATEGIC,C-5A,0,true,,,false
BPWZ,STRATEGIC,CH47,0,true,,,false
BPWZ,STRATEGIC,KC-10,0,true,,,false
BQWK,STRATEGIC,B-747P,0,true,,,false
BQWK,STRATEGIC,C-17,0,true,,,false
BQWK,STRATEGIC,C-5A,0,true,,,false
BQWK,STRATEGIC,CH47,0,true,,,false
BQWK,STRATEGIC,KC-10,0,true,,,false
BRKR,STRATEGIC,B-747P,0,true,,,false
BRKR,STRATEGIC,C-17,0,true,,,false
BRKR,STRATEGIC,C-5A,0,true,,,false
BRKR,STRATEGIC,CH47,0,true,,,false
BRKR,STRATEGIC,KC-10,0,true,,,false
BSEM,STRATEGIC,B-747P,0,true,,,false
BSEM,STRATEGIC,C-17,0,true,,,false
BSEM,STRATEGIC,C-5A,0,true,,,false
BSEM,STRATEGIC,CH47,0,true,,,false
BSEM,STRATEGIC,KC-10,0,true,,,false
BSRR,STRATEGIC,B-747P,0,true,,,false
BSRR,STRATEGIC,C-17,0,true,,,false
BSRR,STRATEGIC,C-5A,0,true,,,false
BSRR,STRATEGIC,CH47,0,true,,,false
BSRR,STRATEGIC,KC-10,0,true,,,false
BVGM,STRATEGIC,B-747P,0,true,,,false
BVGM,STRATEGIC,C-17,0,true,,,false
BVGM,STRATEGIC,C-5A,0,true,,,false
