ACType,Class,AF-AIRCRAFT,AF-SUPPORT,AF-PREPO,MARINE-PREPO,ARMY-PREPO,AIRBORNE,ARMOR,MECH-INFANTRY,AIRMOBILE,CBAC,INFANTRY,ARMOR-CAV,AMPH-MARINES,MARINES,CS-ENGINEER,CS-ARTILLERY,CS-OTHER,CSS-ENGINEER,CSS-MEDICAL,CSS-SIGNAL,CSS-SUPPLY,CSS-TRANSPORTATION,CSS-OTHER,NAVY-UE,RESUPPLY,AMMUNITION,POL,GEN-RESUPPLY,GEN-AMMO,GEN-POL
B-747P,OVEROUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-747P,OVERSIZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-747P,OUTSIZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KC-10,OVEROUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KC-10,OVERSIZE,99.38,99.43,100,99.43,99.43,99.31,99.31,97.93,99.34,92.89,99.7,96.96,98.82,0,99.7,97.4,97.93,99.67,97.3,97.24,97.93,97.93,97.78,88.08,97.93,97.93,97.93,97.93,97.93,97.93
KC-10,OUTSIZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH47,OVEROUT,26.06,39.71,44.02,39.71,39.71,63.53,63.53,32.02,59.71,56.05,48.51,10.99,39.8,39.8,31.67,16.82,32.02,29.46,55.92,33.27,32.02,32.02,25,28.63,0,32.02,32.02,0,32.02,32.02
CH47,OVERSIZE,98.63,100,100,100,100,88.67,88.67,81.39,85.32,84.32,87.62,83.54,99.45,99.45,84.36,83.64,81.39,84.43,85.2,86.91,81.39,81.39,89.67,100,100,81.39,81.39,100,81.39,81.39
CH47,OUTSIZE,73.94,60.29,55.98,60.29,60.29,35.51,35.51,67.98,40.29,29.21,51.31,88.83,60.2,60.2,67.96,83.18,67.98,69.68,44.08,65.54,67.98,67.98,75,71.17,0,67.98,67.98,0,67.98,67.98
C-5A,OVEROUT,53.97,42.55,53,42.55,42.55,51.61,58.03,26.94,58.03,54.62,46.96,29.5,43.18,43.18,25.86,20.24,26.94,27.34,58.06,37.14,26.94,26.94,25,30.73,26.94,26.94,26.94,26.94,26.94,26.94
C-5A,OVERSIZE,97.71,99.7,100,99.7,99.7,89.07,85.11,88.18,85.11,82.18,88.18,80.25,99.84,99.84,84.5,83.11,88.18,85.39,85.52,88.25,88.18,88.18,100,85.58,88.18,88.18,88.18,88.18,88.18,88.18
C-5A,OUTSIZE,46.03,57.45,47,57.45,57.45,47.81,41.64,70.47,41.64,39.57,52.89,70.5,56.82,56.82,73.81,79.76,70.47,71.77,41.94,62.14,70.47,70.47,75,68.57,70.47,70.47,70.47,70.47,70.47,70.47
C-17,OVEROUT,26.06,39.71,44.02,39.71,39.71,63.53,63.53,32.02,59.71,56.05,48.51,10.99,39.8,39.8,31.67,16.82,32.02,29.46,55.92,33.27,32.02,32.02,25,28.63,0,32.02,32.02,0,32.02,32.02
C-17,OVERSIZE,98.63,100,100,100,100,88.67,88.67,81.39,85.32,84.32,87.62,83.54,99.45,99.45,84.36,83.64,81.39,84.43,85.2,86.91,81.39,81.39,89.67,100,100,81.39,81.39,100,81.39,81.39
C-17,OUTSIZE,73.94,60.29,55.98,60.29,60.29,35.51,35.51,67.98,40.29,29.21,51.31,88.83,60.2,60.2,67.96,83.18,67.98,69.68,44.08,65.54,67.98,67.98,75,71.17,0,67.98,67.98,0,67.98,67.98
