acType,compartmentPositionLR,compartmentPositionFA,compartmentLevel,compartmentType,doorHeight,doorWidth,compartmentLength,compartmentWidth,compartmentSideClearanceInches,compartmentItemGapInches,paxCapacity,seatingPref,sidewallSeatCount,sidewallSeatWidth,sidewallSeatDepth,centerlineGroupCount,centerlineSeatsPerGroup,centerlineGroupLength,centerlineGroupWidth
B-747P,CENTER,FORE,LOWER,PAXONLY,-1,-1,236,236,-1,-1,355,,-1,-1,-1,-1,-1,-1,-1
B-747P,CENTER,AFT,LOWER,CARGO,98,140,1690,236,12,6,0,SIDE_FIRST_SEATING,0,0,0,0,1,0,0
KC-10,CENTER,FORE,LOWER,PAXONLY,-1,-1,210,210,-1,-1,0,,-1,-1,-1,-1,-1,-1,-1
KC-10,CENTER,AFT,LOWER,CARGO,98,140,1308,210,12,6,0,SIDE_FIRST_SEATING,0,0,0,0,1,0,0
CH47,CENTER,FORE,LOWER,PAXONLY,-1,-1,216,216,-1,-1,28,,-1,-1,-1,-1,-1,-1,-1
CH47,CENTER,AFT,LOWER,CARGO,148,216,1022,216,12,6,0,SIDE_FIRST_SEATING,0,0,0,0,1,0,0
C-5A,CENTER,FORE,LOWER,PAXONLY,-1,-1,228,228,-1,-1,97,,-1,-1,-1,-1,-1,-1,-1
C-5A,CENTER,AFT,LOWER,CARGO,162,228,1736,228,12,6,0,SIDE_FIRST_SEATING,0,0,0,0,1,0,0
C-17,CENTER,FORE,LOWER,PAXONLY,-1,-1,216,216,-1,-1,28,,-1,-1,-1,-1,-1,-1,-1
C-17,CENTER,AFT,LOWER,CARGO,148,216,1022,216,12,6,0,SIDE_FIRST_SEATING,0,0,0,0,1,0,0
