ACType,Class,AF-AIRCRAFT,AF-SUPPORT,AF-PREPO,MARINE-PREPO,ARMY-PREPO,AIRBORNE,ARMOR,MECH-INFANTRY,AIRMOBILE,CBAC,INFANTRY,ARMOR-CAV,AMPH-MARINES,MARINES,CS-ENGINEER,CS-ARTILLERY,CS-OTHER,CSS-ENGINEER,CSS-MEDICAL,CSS-SIGNAL,CSS-SUPPLY,CSS-TRANSPORTATION,CSS-OTHER,NAVY-UE,RESUPPLY,AMMUNITION,POL,GEN-RESUPPLY,GEN-AMMO,GEN-POL
B-747P,PAX,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,0,0,0,0,0
B-747P,BULK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-747P,OVERSIZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-747P,OUTSIZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-747P,FUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KC-10,PAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KC-10,BULK,43.7,43.7,50.6,43.7,43.7,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,0,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,32.6,52.9,52.9,75.9,52.9,52.9,52.9,52.9
KC-10,OVERSIZE,32.5,34.9,38.7,34.9,34.9,29.1,29.1,29,30.2,25.3,33.1,39.5,33.8,0,33.2,30.8,29,30.4,25.9,25.4,29,29,32.6,26,29,0,29,29,29,29
KC-10,OUTSIZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KC-10,FUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH47,PAX,20,17,28,17,17,14,14,5,9,8,13,1,14,14,2,2,5,5,13,13,5,5,6,5,0,0,5,0,5,5
CH47,BULK,34.2,34.2,41.4,34.2,34.2,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,45,41.4,45,49.5,41.4,45,41.4,41.4
CH47,OVERSIZE,29.1,41.5,53.4,41.5,41.5,36.2,36.2,53.2,40.2,37,40.4,55.3,36.3,36.3,55,54.4,53.2,50.1,41.9,40.5,53.2,53.2,45,52.5,45,53.2,53.2,45,53.2,53.2
CH47,OUTSIZE,56.4,48.6,46.8,48.6,48.6,52.1,52.1,50.6,41.7,38,53.6,55.5,49.5,49.5,54,55.9,50.6,46.5,43.1,50.2,50.6,50.6,45,50.3,0,50.6,50.6,0,50.6,50.6
CH47,FUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-5A,PAX,97,94,0,94,94,47,36,21,36,21,37,7,55,55,12,12,21,14,45,21,21,21,28,28,0,0,21,0,21,21
C-5A,BULK,68.4,68.4,82.8,68.4,68.4,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,61.3,82.8,82.8,89.1,82.8,82.8,82.8,82.8
C-5A,OVERSIZE,52.4,66.5,72.6,66.5,66.5,61.3,65.8,80.4,65.8,65.1,66,87.1,61.9,61.9,84.5,82.3,80.4,84.9,67.7,64.7,80.4,80.4,61.3,77,80.4,80.4,80.4,80.4,80.4,80.4
C-5A,OUTSIZE,90.6,75.2,73.4,75.2,75.2,68.4,59.8,85,59.8,46.5,67.5,89.5,53.5,53.5,90.1,90.4,85,79,90.6,82.4,85,85,61.3,85.9,85,85,85,85,85,85
C-5A,FUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-17,PAX,20,17,28,17,17,14,14,5,9,8,13,1,14,14,2,2,5,5,13,13,5,5,6,5,0,0,5,0,5,5
C-17,BULK,34.2,34.2,41.4,34.2,34.2,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,45,41.4,45,49.5,41.4,45,41.4,41.4
C-17,OVERSIZE,29.1,41.5,53.4,41.5,41.5,36.2,36.2,53.2,40.2,37,40.4,55.3,36.3,36.3,55,54.4,53.2,50.1,41.9,40.5,53.2,53.2,45,52.5,45,53.2,53.2,45,53.2,53.2
C-17,OUTSIZE,56.4,48.6,46.8,48.6,48.6,52.1,52.1,50.6,41.7,38,53.6,55.5,49.5,49.5,54,55.9,50.6,46.5,43.1,50.2,50.6,50.6,45,50.3,0,50.6,50.6,0,50.6,50.6
C-17,FUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
