GeolocCode,FuelOrg,Active,DirectDelivery,MilitaryGateway,CRAFGateway,AugmentedRequired,Recovery,ARTrack,CrewRestAllowed,MOGConstrained,CostPerSTON,CostPerPAX,CustomsRegion
AARV,,false,false,false,false,false,false,false,true,true,0,0,
ABAA,,false,false,false,false,false,false,false,true,true,0,0,
ACJP,,false,false,false,false,false,false,false,true,true,0,0,
ADND,,false,false,false,false,false,false,false,true,true,0,0,
ADQM,,false,false,false,false,false,false,false,true,true,0,0,
ADVM,,false,false,false,false,false,false,false,true,true,0,0,
ADVN,,false,false,false,false,false,false,false,true,true,0,0,
AECW,,false,false,false,false,false,false,false,true,true,0,0,
AEDY,,true,false,false,false,false,false,false,true,true,0,0,
AFMS,,false,false,false,false,false,false,false,true,true,0,0,
AGGN,,true,false,false,false,false,false,false,true,false,0,0,
AGWF,,false,false,false,false,false,false,false,true,true,0,0,
AJBQ,,false,false,false,false,false,false,false,true,true,0,0,
AJJY,,true,false,false,false,false,false,false,true,true,0,0,
AJXF,,true,false,false,false,false,false,false,true,false,0,0,
AMES,,false,false,false,false,false,false,false,true,true,0,0,
ANZY,,false,false,false,false,false,false,false,true,true,0,0,
AQLM,,true,false,false,false,false,false,false,true,false,0,0,
AQRC,,false,false,false,false,false,false,false,true,true,0,0,
ARNW,,false,false,false,false,false,false,false,true,true,0,0,
ASCE,,false,false,false,false,false,false,false,true,true,0,0,
ASHE,,true,false,false,false,false,false,false,true,true,0,0,
ASPQ,,false,false,false,false,false,false,false,true,true,0,0,
ATQZ,,false,false,false,false,false,false,false,true,true,0,0,
ATXK,,true,false,false,false,false,false,false,true,false,0,0,
AVXS,,false,false,false,false,false,false,false,true,true,0,0,
AVXU,,false,false,false,false,false,false,false,true,true,0,0,
AVXV,,true,false,false,false,false,false,false,true,false,0,0,
AWUB,,true,false,false,false,false,false,false,true,false,0,0,
AXQD,,false,false,false,false,false,false,false,true,true,0,0,
AYSX,,false,false,false,false,false,false,false,true,true,0,0,
BACA,,false,false,false,false,false,false,false,true,true,0,0,
BAEY,,true,false,false,false,false,false,false,true,false,0,0,
BBJM,,true,false,false,false,false,false,false,true,false,0,0,
BFHX,,false,false,false,false,false,false,false,true,true,0,0,
BFMV,,false,false,false,false,false,false,false,true,true,0,0,
BJHZ,,true,false,false,false,false,false,false,true,false,0,0,
BKTZ,,false,false,false,false,false,false,false,true,true,0,0,
BPWZ,,true,false,false,false,false,false,false,true,true,0,0,
BQWK,,true,false,false,false,false,false,false,true,false,0,0,
BRKR,,true,false,false,false,false,false,false,true,false,0,0,
BSEM,,false,false,false,false,false,false,false,true,true,0,0,
BSRR,,false,false,false,false,false,false,false,true,true,0,0,
BVGM,,false,false,false,false,false,false,false,true,true,0,0,
BWBU,,false,false,false,false,false,false,false,true,true,0,0,
BWKR,,true,false,false,false,false,false,false,true,false,0,0,
BXRH,,false,false,false,false,false,false,false,true,true,0,0,
BXUR,,true,false,false,false,false,false,false,true,false,0,0,
BYKA,,false,false,false,false,false,false,false,true,true,0,0,
CAAP,,false,false,false,false,false,false,false,true,true,0,0,
CAAY,,false,false,false,false,false,false,false,true,true,0,0,
CEKT,,false,false,false,false,false,false,false,true,true,0,0,
CLAG,,false,false,false,false,false,false,false,true,true,0,0,
CNBC,,false,false,false,false,false,false,false,true,true,0,0,
CQLW,,false,false,false,false,false,false,false,true,true,0,0,
CRWU,,false,false,false,false,false,false,false,true,true,0,0,
CTCN,,false,false,false,false,false,false,false,true,true,0,0,
CTGC,,true,false,false,false,false,false,false,true,false,0,0,
CURZ,,false,false,false,false,false,false,false,true,true,0,0,
CVPF,,false,false,false,false,false,false,false,true,true,0,0,
CVVM,,false,false,false,false,false,false,false,true,true,0,0,
CWKW,,true,false,false,false,false,false,false,true,true,0,0,
CYWF,,true,false,false,false,false,false,false,true,true,0,0,
CZQZ,,true,false,false,false,false,false,false,true,false,0,0,
DCFT,,false,false,false,false,false,false,false,true,true,0,0,
DDPF,,true,false,false,false,false,false,false,true,false,0,0,
DESR,,true,false,false,false,false,false,false,true,false,0,0,
DGAB,,false,false,false,false,false,false,false,true,true,0,0,
DJCF,,false,false,false,false,false,false,false,true,true,0,0,
DKFX,,true,false,true,true,false,false,false,true,true,0,0,
