Airport,B-747P,KC-10,CH47,C-5A,C-17
AARV,BOTH,BOTH,BOTH,BOTH,BOTH
ABAA,BOTH,BOTH,BOTH,BOTH,BOTH
ACJP,BOTH,BOTH,BOTH,BOTH,BOTH
ADND,BOTH,BOTH,BOTH,BOTH,BOTH
ADQM,BOTH,BOTH,BOTH,BOTH,BOTH
ADVM,BOTH,BOTH,BOTH,BOTH,BOTH
ADVN,BOTH,BOTH,BOTH,BOTH,BOTH
AECW,BOTH,BOTH,BOTH,BOTH,BOTH
AEDY,BOTH,BOTH,BOTH,BOTH,BOTH
AFMS,BOTH,BOTH,BOTH,BOTH,BOTH
AGGN,BOTH,BOTH,BOTH,BOTH,BOTH
AGWF,BOTH,BOTH,BOTH,BOTH,BOTH
AJBQ,BOTH,BOTH,BOTH,BOTH,BOTH
AJJY,BOTH,BOTH,BOTH,BOTH,BOTH
AJXF,BOTH,BOTH,BOTH,BOTH,BOTH
AMES,BOTH,BOTH,BOTH,BOTH,BOTH
ANZY,BOTH,BOTH,BOTH,BOTH,BOTH
AQLM,BOTH,BOTH,BOTH,BOTH,BOTH
AQRC,BOTH,BOTH,BOTH,BOTH,BOTH
ARNW,BOTH,BOTH,BOTH,BOTH,BOTH
ASCE,BOTH,BOTH,BOTH,BOTH,BOTH
ASHE,BOTH,BOTH,BOTH,BOTH,BOTH
ASPQ,BOTH,BOTH,BOTH,BOTH,BOTH
ATQZ,BOTH,BOTH,BOTH,BOTH,BOTH
ATXK,BOTH,BOTH,BOTH,BOTH,BOTH
AVXS,BOTH,BOTH,BOTH,BOTH,BOTH
AVXU,BOTH,BOTH,BOTH,BOTH,BOTH
AVXV,BOTH,BOTH,BOTH,BOTH,BOTH
AWUB,BOTH,BOTH,BOTH,BOTH,BOTH
AXQD,BOTH,BOTH,BOTH,BOTH,BOTH
AYSX,BOTH,BOTH,BOTH,BOTH,BOTH
BACA,BOTH,BOTH,BOTH,BOTH,BOTH
BAEY,BOTH,BOTH,BOTH,BOTH,BOTH
BBJM,BOTH,BOTH,BOTH,BOTH,BOTH
BFHX,BOTH,BOTH,BOTH,BOTH,BOTH
BFMV,BOTH,BOTH,BOTH,BOTH,BOTH
BJHZ,BOTH,BOTH,BOTH,BOTH,BOTH
BKTZ,BOTH,BOTH,BOTH,BOTH,BOTH
BPWZ,BOTH,BOTH,BOTH,BOTH,BOTH
BQWK,BOTH,BOTH,BOTH,BOTH,BOTH
BRKR,BOTH,BOTH,BOTH,BOTH,BOTH
BSEM,BOTH,BOTH,BOTH,BOTH,BOTH
BSRR,BOTH,BOTH,BOTH,BOTH,BOTH
BVGM,BOTH,BOTH,BOTH,BOTH,BOTH
BWBU,BOTH,BOTH,BOTH,BOTH,BOTH
BWKR,BOTH,BOTH,BOTH,BOTH,BOTH
BXRH,BOTH,BOTH,BOTH,BOTH,BOTH
BXUR,BOTH,BOTH,BOTH,BOTH,BOTH
BYKA,BOTH,BOTH,BOTH,BOTH,BOTH
CAAP,BOTH,BOTH,BOTH,BOTH,BOTH
CAAY,BOTH,BOTH,BOTH,BOTH,BOTH
CEKT,BOTH,BOTH,BOTH,BOTH,BOTH
CLAG,BOTH,BOTH,BOTH,BOTH,BOTH
CNBC,BOTH,BOTH,BOTH,BOTH,BOTH
CQLW,BOTH,BOTH,BOTH,BOTH,BOTH
CRWU,BOTH,BOTH,BOTH,BOTH,BOTH
CTCN,BOTH,BOTH,BOTH,BOTH,BOTH
CTGC,BOTH,BOTH,BOTH,BOTH,BOTH
CURZ,BOTH,BOTH,BOTH,BOTH,BOTH
CVPF,BOTH,BOTH,BOTH,BOTH,BOTH
CVVM,BOTH,BOTH,BOTH,BOTH,BOTH
CWKW,BOTH,BOTH,BOTH,BOTH,BOTH
CYWF,BOTH,BOTH,BOTH,BOTH,BOTH
CZQZ,BOTH,BOTH,BOTH,BOTH,BOTH
DCFT,BOTH,BOTH,BOTH,BOTH,BOTH
DDPF,BOTH,BOTH,BOTH,BOTH,BOTH
