Airport,Day,Enabled,Description,EventPhase,B-747P,C-17,C-5A,CH47,KC-10
AARV,0,true,,,NO,NO,NO,NO,NO
ABAA,0,true,,,NO,NO,NO,NO,NO
ACJP,0,true,,,NO,NO,NO,NO,NO
ADND,0,true,,,NO,NO,NO,NO,NO
ADQM,0,true,,,NO,NO,NO,NO,NO
ADVM,0,true,,,NO,NO,NO,NO,NO
ADVN,0,true,,,NO,NO,NO,NO,NO
AECW,0,true,,,NO,NO,NO,NO,NO
AEDY,0,true,,,NO,NO,NO,NO,NO
AFMS,0,true,,,NO,NO,NO,NO,NO
AGGN,0,true,,,NO,NO,NO,NO,NO
AGWF,0,true,,,NO,NO,NO,NO,NO
AJBQ,0,true,,,NO,NO,NO,NO,NO
AJJY,0,true,,,BOTH,BOTH,BOTH,BOTH,BOTH
AJXF,0,true,,,NO,NO,NO,NO,NO
AMES,0,true,,,NO,NO,NO,NO,NO
ANZY,0,true,,,NO,NO,NO,NO,NO
AQLM,0,true,,,NO,NO,NO,NO,NO
AQRC,0,true,,,NO,NO,NO,NO,NO
ARNW,0,true,,,NO,NO,NO,NO,NO
ASCE,0,true,,,NO,NO,NO,NO,NO
ASHE,0,true,,,NO,NO,NO,NO,NO
ASPQ,0,true,,,NO,NO,NO,NO,NO
ATQZ,0,true,,,NO,NO,NO,NO,NO
ATXK,0,true,,,NO,NO,NO,NO,NO
AVXS,0,true,,,NO,NO,NO,NO,NO
AVXU,0,true,,,NO,NO,NO,NO,NO
AVXV,0,true,,,NO,NO,NO,NO,NO
AWUB,0,true,,,NO,NO,NO,NO,NO
AXQD,0,true,,,NO,NO,NO,NO,NO
AYSX,0,true,,,NO,NO,NO,NO,NO
BACA,0,true,,,NO,NO,NO,NO,NO
BAEY,0,true,,,NO,NO,NO,NO,NO
BBJM,0,true,,,NO,NO,NO,NO,NO
BFHX,0,true,,,NO,NO,NO,NO,NO
BFMV,0,true,,,NO,NO,NO,NO,NO
BJHZ,0,true,,,NO,NO,NO,NO,NO
BKTZ,0,true,,,NO,NO,NO,NO,NO
BPWZ,0,true,,,NO,NO,NO,NO,NO
BQWK,0,true,,,NO,NO,NO,NO,NO
BRKR,0,true,,,NO,NO,NO,NO,NO
BSEM,0,true,,,NO,NO,NO,NO,NO
BSRR,0,true,,,NO,NO,NO,NO,NO
BVGM,0,true,,,NO,NO,NO,NO,NO
BWBU,0,true,,,NO,NO,NO,NO,NO
BWKR,0,true,,,NO,NO,NO,NO,NO
BXRH,0,true,,,NO,NO,NO,NO,NO
BXUR,0,true,,,NO,NO,NO,NO,NO
BYKA,0,true,,,NO,NO,NO,NO,NO
CAAP,0,true,,,NO,NO,NO,NO,NO
CAAY,0,true,,,NO,NO,NO,NO,NO
CEKT,0,true,,,NO,NO,NO,NO,NO
CLAG,0,true,,,NO,NO,NO,NO,NO
CNBC,0,true,,,NO,NO,NO,NO,NO
CQLW,0,true,,,NO,NO,NO,NO,NO
CRWU,0,true,,,NO,NO,NO,NO,NO
CTCN,0,true,,,NO,NO,NO,NO,NO
CTGC,0,true,,,NO,NO,NO,NO,NO
CURZ,0,true,,,NO,NO,NO,NO,NO
CVPF,0,true,,,NO,NO,NO,NO,NO
CVVM,0,true,,,NO,NO,NO,NO,NO
CWKW,0,true,,,BOTH,BOTH,BOTH,BOTH,BOTH
CYWF,0,true,,,NO,NO,NO,NO,NO
CZQZ,0,true,,,NO,NO,NO,NO,NO
DCFT,0,true,,,NO,NO,NO,NO,NO
DDPF,0,true,,,NO,NO,NO,NO,NO
DESR,0,true,,,NO,NO,NO,NO,NO
DGAB,0,true,,,NO,NO,NO,NO,NO
DJCF,0,true,,,NO,NO,NO,NO,NO
DKFX,0,true,,,BOTH,BOTH,BOTH,BOTH,BOTH
DNNH,0,true,,,NO,NO,NO,NO,NO
DNNL,0,true,,,NO,NO,NO,NO,NO
