Key,Day,Enabled,Description,EventPhase,DayIndex,ShiftIndex,OpenHH,OpenMM,CloseHH,CloseMM
AARV,0,true,,,0,0,0,0,24,0
ABAA,0,true,,,0,0,0,0,24,0
ACJP,0,true,,,0,0,0,0,24,0
ADND,0,true,,,0,0,0,0,24,0
ADQM,0,true,,,0,0,0,0,24,0
ADVM,0,true,,,0,0,0,0,24,0
ADVN,0,true,,,0,0,0,0,24,0
AECW,0,true,,,0,0,0,0,24,0
AEDY,0,true,,,0,0,0,0,24,0
AFMS,0,true,,,0,0,0,0,24,0
AGGN,0,true,,,0,0,0,0,24,0
AGWF,0,true,,,0,0,0,0,24,0
AJBQ,0,true,,,0,0,0,0,24,0
AJJY,0,true,,,0,0,0,0,24,0
AJXF,0,true,,,0,0,0,0,24,0
AMES,0,true,,,0,0,0,0,24,0
ANZY,0,true,,,0,0,0,0,24,0
AQLM,0,true,,,0,0,0,0,24,0
AQRC,0,true,,,0,0,0,0,24,0
ARNW,0,true,,,0,0,0,0,24,0
ASCE,0,true,,,0,0,0,0,24,0
ASHE,0,true,,,0,0,0,0,24,0
ASPQ,0,true,,,0,0,0,0,24,0
ATQZ,0,true,,,0,0,0,0,24,0
ATXK,0,true,,,0,0,0,0,24,0
AVXS,0,true,,,0,0,0,0,24,0
AVXU,0,true,,,0,0,0,0,24,0
AVXV,0,true,,,0,0,0,0,24,0
AWUB,0,true,,,0,0,0,0,24,0
AXQD,0,true,,,0,0,0,0,24,0
AYSX,0,true,,,0,0,0,0,24,0
BACA,0,true,,,0,0,0,0,24,0
BAEY,0,true,,,0,0,0,0,24,0
BBJM,0,true,,,0,0,0,0,24,0
BFHX,0,true,,,0,0,0,0,24,0
BFMV,0,true,,,0,0,0,0,24,0
BJHZ,0,true,,,0,0,0,0,24,0
BKTZ,0,true,,,0,0,0,0,24,0
BPWZ,0,true,,,0,0,0,0,24,0
BQWK,0,true,,,0,0,0,0,24,0
BRKR,0,true,,,0,0,0,0,24,0
BSEM,0,true,,,0,0,0,0,24,0
BSRR,0,true,,,0,0,0,0,24,0
BVGM,0,true,,,0,0,0,0,24,0
BWBU,0,true,,,0,0,0,0,24,0
BWKR,0,true,,,0,0,0,0,24,0
BXRH,0,true,,,0,0,0,0,24,0
BXUR,0,true,,,0,0,0,0,24,0
BYKA,0,true,,,0,0,0,0,24,0
CAAP,0,true,,,0,0,0,0,24,0
CAAY,0,true,,,0,0,0,0,24,0
CEKT,0,true,,,0,0,0,0,24,0
CLAG,0,true,,,0,0,0,0,24,0
CNBC,0,true,,,0,0,0,0,24,0
CQLW,0,true,,,0,0,0,0,24,0
CRWU,0,true,,,0,0,0,0,24,0
CTCN,0,true,,,0,0,0,0,24,0
CTGC,0,true,,,0,0,0,0,24,0
CURZ,0,true,,,0,0,0,0,24,0
CVPF,0,true,,,0,0,0,0,24,0
CVVM,0,true,,,0,0,0,0,24,0
CWKW,0,true,,,0,0,0,0,24,0
CYWF,0,true,,,0,0,0,0,24,0
CZQZ,0,true,,,0,0,0,0,24,0
DCFT,0,true,,,0,0,0,0,24,0
DDPF,0,true,,,0,0,0,0,24,0
DESR,0,true,,,0,0,0,0,24,0
DGAB,0,true,,,0,0,0,0,24,0
DJCF,0,true,,,0,0,0,0,24,0
DKFX,0,true,,,0,0,0,0,24,0
DNNH,0,true,,,0,0,0,0,24,0
DNNL,0,true,,,0,0,0,0,24,0
DPEZ,0,true,,,0,0,0,0,24,0
DPMZ,0,true,,,0,0,0,0,24,0
DPNB,0,true,,,0,0,0,0,24,0
DTVB,0,true,,,0,0,0,0,24,0
DVLK,0,true,,,0,0,0,0,24,0
DYCS,0,true,,,0,0,0,0,24,0
EAZP,0,true,,,0,0,0,0,24,0
EDWC,0,true,,,0,0,0,0,24,0
EEMW,0,true,,,0,0,0,0,24,0
EEPZ,0,true,,,0,0,0,0,24,0
ENCK,0,true,,,0,0,0,0,24,0
EQDF,0,true,,,0,0,0,0,24,0
ETZB,0,true,,,0,0,0,0,24,0
EUBC,0,true,,,0,0,0,0,24,0
EYBD,0,true,,,0,0,0,0,24,0
EZSE,0,true,,,0,0,0,0,24,0
EZTH,0,true,,,0,0,0,0,24,0
FAKZ,0,true,,,0,0,0,0,24,0
FAXN,0,true,,,0,0,0,0,24,0
FBMV,0,true,,,0,0,0,0,24,0
FBNV,0,true,,,0,0,0,0,24,0
FERX,0,true,,,0,0,0,0,24,0
FFAR,0,true,,,0,0,0,0,24,0
FGDC,0,true,,,0,0,0,0,24,0
FGTZ,0,true,,,0,0,0,0,24,0
FGWB,0,true,,,0,0,0,0,24,0
FJMK,0,true,,,0,0,0,0,24,0
FJRP,0,true,,,0,0,0,0,24,0
FJXT,0,true,,,0,0,0,0,24,0
FKNN,0,true,,,0,0,0,0,24,0
FMJN,0,true,,,0,0,0,0,24,0
FMLH,0,true,,,0,0,0,0,24,0
FNWZ,0,true,,,0,0,0,0,24,0
FPAA,0,true,,,0,0,0,0,24,0
FSJA,0,true,,,0,0,0,0,24,0
FSPM,0,true,,,0,0,0,0,24,0
FTEP,0,true,,,0,0,0,0,24,0
FTEV,0,true,,,0,0,0,0,24,0
FTFA,0,true,,,0,0,0,0,24,0
FTQW,0,true,,,0,0,0,0,24,0
FTZH,0,true,,,0,0,0,0,24,0
FUQN,0,true,,,0,0,0,0,24,0
FUTL,0,true,,,0,0,0,0,24,0
FUZD,0,true,,,0,0,0,0,24,0
FWJH,0,true,,,0,0,0,0,24,0
FXBM,0,true,,,0,0,0,0,24,0
FXSB,0,true,,,0,0,0,0,24,0
GAMH,0,true,,,0,0,0,0,24,0
GEQZ,0,true,,,0,0,0,0,24,0
GHLN,0,true,,,0,0,0,0,24,0
GJFZ,0,true,,,0,0,0,0,24,0
GJKZ,0,true,,,0,0,0,0,24,0
GKVB,0,true,,,0,0,0,0,24,0
GLEN,0,true,,,0,0,0,0,24,0
GLRZ,0,true,,,0,0,0,0,24,0
GPGK,0,true,,,0,0,0,0,24,0
GRAQ,0,true,,,0,0,0,0,24,0
GUQE,0,true,,,0,0,0,0,24,0
GWAW,0,true,,,0,0,0,0,24,0
GWDD,0,true,,,0,0,0,0,24,0
GYRZ,0,true,,,0,0,0,0,24,0
HAWR,0,true,,,0,0,0,0,24,0
HAYW,0,true,,,0,0,0,0,24,0
HBFB,0,true,,,0,0,0,0,24,0
HFZY,0,true,,,0,0,0,0,24,0
HGQC,0,true,,,0,0,0,0,24,0
HKRZ,0,true,,,0,0,0,0,24,0
HNTK,0,true,,,0,0,0,0,24,0
HPBF,0,true,,,0,0,0,0,24,0
HSKD,0,true,,,0,0,0,0,24,0
HTUV,0,true,,,0,0,0,0,24,0
HTUX,0,true,,,0,0,0,0,24,0
HUUA,0,true,,,0,0,0,0,24,0
HXCZ,0,true,,,0,0,0,0,24,0
JAFZ,0,true,,,0,0,0,0,24,0
JBUU,0,true,,,0,0,0,0,24,0
JCGU,0,true,,,0,0,0,0,24,0
JEAH,0,true,,,0,0,0,0,24,0
JFSD,0,true,,,0,0,0,0,24,0
JHPM,0,true,,,0,0,0,0,24,0
JHVQ,0,true,,,0,0,0,0,24,0
JKSE,0,true,,,0,0,0,0,24,0
JLQN,0,true,,,0,0,0,0,24,0
JLSN,0,true,,,0,0,0,0,24,0
JLSS,0,true,,,0,0,0,0,24,0
JLWS,0,true,,,0,0,0,0,24,0
JPNN,0,true,,,0,0,0,0,24,0
JPPK,0,true,,,0,0,0,0,24,0
JQMA,0,true,,,0,0,0,0,24,0
JREZ,0,true,,,0,0,0,0,24,0
JTVE,0,true,,,0,0,0,0,24,0
JUBJ,0,true,,,0,0,0,0,24,0
