Airport,Day,Enabled,Description,EventPhase
AARV,0,true,,
ABAA,0,true,,
ACJP,0,true,,
ADND,0,true,,
ADQM,0,true,,
ADVM,0,true,,
ADVN,0,true,,
AECW,0,true,,
AEDY,0,true,,
AFMS,0,true,,
AGGN,0,true,,
AGWF,0,true,,
AJBQ,0,true,,
AJJY,0,true,,
AJXF,0,true,,
AMES,0,true,,
ANZY,0,true,,
AQLM,0,true,,
AQRC,0,true,,
ARNW,0,true,,
ASCE,0,true,,
ASHE,0,true,,
ASPQ,0,true,,
ATQZ,0,true,,
ATXK,0,true,,
AVXS,0,true,,
AVXU,0,true,,
AVXV,0,true,,
AWUB,0,true,,
AXQD,0,true,,
AYSX,0,true,,
BACA,0,true,,
BAEY,0,true,,
BBJM,0,true,,
BFHX,0,true,,
BFMV,0,true,,
BJHZ,0,true,,
BKTZ,0,true,,
BPWZ,0,true,,
BQWK,0,true,,
BRKR,0,true,,
BSEM,0,true,,
BSRR,0,true,,
BVGM,0,true,,
BWBU,0,true,,
BWKR,0,true,,
BXRH,0,true,,
BXUR,0,true,,
BYKA,0,true,,
CAAP,0,true,,
CAAY,0,true,,
CEKT,0,true,,
CLAG,0,true,,
CNBC,0,true,,
CQLW,0,true,,
CRWU,0,true,,
CTCN,0,true,,
CTGC,0,true,,
CURZ,0,true,,
CVPF,0,true,,
CVVM,0,true,,
CWKW,0,true,,
CYWF,0,true,,
CZQZ,0,true,,
DCFT,0,true,,
DDPF,0,true,,
DESR,0,true,,
DGAB,0,true,,
DJCF,0,true,,
DKFX,0,true,,
DNNH,0,true,,
DNNL,0,true,,
DPEZ,0,true,,
DPMZ,0,true,,
DPNB,0,true,,
DTVB,0,true,,
DVLK,0,true,,
DYCS,0,true,,
EAZP,0,true,,
EDWC,0,true,,
EEMW,0,true,,
EEPZ,0,true,,
ENCK,0,true,,
EQDF,0,true,,
ETZB,0,true,,
EUBC,0,true,,
EYBD,0,true,,
EZSE,0,true,,
EZTH,0,true,,
FAKZ,0,true,,
FAXN,0,true,,
FBMV,0,true,,
FBNV,0,true,,
FERX,0,true,,
FFAR,0,true,,
FGDC,0,true,,
FGTZ,0,true,,
FGWB,0,true,,
FJMK,0,true,,
FJRP,0,true,,
FJXT,0,true,,
FKNN,0,true,,
FMJN,0,true,,
FMLH,0,true,,
FNWZ,0,true,,
FPAA,0,true,,
FSJA,0,true,,
FSPM,0,true,,
FTEP,0,true,,
FTEV,0,true,,
FTFA,0,true,,
FTQW,0,true,,
FTZH,0,true,,
FUQN,0,true,,
FUTL,0,true,,
FUZD,0,true,,
FWJH,0,true,,
FXBM,0,true,,
FXSB,0,true,,
GAMH,0,true,,
GEQZ,0,true,,
GHLN,0,true,,
GJFZ,0,true,,
GJKZ,0,true,,
GKVB,0,true,,
GLEN,0,true,,
GLRZ,0,true,,
GPGK,0,true,,
GRAQ,0,true,,
GUQE,0,true,,
GWAW,0,true,,
GWDD,0,true,,
GYRZ,0,true,,
HAWR,0,true,,
HAYW,0,true,,
HBFB,0,true,,
HFZY,0,true,,
HGQC,0,true,,
HKRZ,0,true,,
HNTK,0,true,,
HPBF,0,true,,
HSKD,0,true,,
HTUV,0,true,,
HTUX,0,true,,
HUUA,0,true,,
HXCZ,0,true,,
JAFZ,0,true,,
JBUU,0,true,,
JCGU,0,true,,
JEAH,0,true,,
