Airport,Fleet,AcType,Day,Enabled,Description,EventPhase,Data
AARV,STRATEGIC,B-747P,0,true,,,9999
AARV,STRATEGIC,C-17,0,true,,,9999
AARV,STRATEGIC,C-5A,0,true,,,9999
AARV,STRATEGIC,CH47,0,true,,,0
AARV,STRATEGIC,KC-10,0,true,,,9999
ABAA,STRATEGIC,B-747P,0,true,,,9999
ABAA,STRATEGIC,C-17,0,true,,,9999
ABAA,STRATEGIC,C-5A,0,true,,,9999
ABAA,STRATEGIC,CH47,0,true,,,0
ABAA,STRATEGIC,KC-10,0,true,,,9999
ACJP,STRATEGIC,B-747P,0,true,,,9999
ACJP,STRATEGIC,C-17,0,true,,,9999
ACJP,STRATEGIC,C-5A,0,true,,,9999
ACJP,STRATEGIC,CH47,0,true,,,0
ACJP,STRATEGIC,KC-10,0,true,,,9999
ADND,STRATEGIC,B-747P,0,true,,,9999
ADND,STRATEGIC,C-17,0,true,,,9999
ADND,STRATEGIC,C-5A,0,true,,,9999
ADND,STRATEGIC,CH47,0,true,,,0
ADND,STRATEGIC,KC-10,0,true,,,9999
ADQM,STRATEGIC,B-747P,0,true,,,9999
ADQM,STRATEGIC,C-17,0,true,,,9999
ADQM,STRATEGIC,C-5A,0,true,,,9999
ADQM,STRATEGIC,CH47,0,true,,,0
ADQM,STRATEGIC,KC-10,0,true,,,9999
ADVM,STRATEGIC,B-747P,0,true,,,9999
ADVM,STRATEGIC,C-17,0,true,,,9999
ADVM,STRATEGIC,C-5A,0,true,,,9999
ADVM,STRATEGIC,CH47,0,true,,,0
ADVM,STRATEGIC,KC-10,0,true,,,9999
ADVN,STRATEGIC,B-747P,0,true,,,9999
ADVN,STRATEGIC,C-17,0,true,,,9999
ADVN,STRATEGIC,C-5A,0,true,,,9999
ADVN,STRATEGIC,CH47,0,true,,,0
ADVN,STRATEGIC,KC-10,0,true,,,9999
AECW,STRATEGIC,B-747P,0,true,,,9999
AECW,STRATEGIC,C-17,0,true,,,9999
AECW,STRATEGIC,C-5A,0,true,,,9999
AECW,STRATEGIC,CH47,0,true,,,0
AECW,STRATEGIC,KC-10,0,true,,,9999
AEDY,STRATEGIC,B-747P,0,true,,,0
AEDY,STRATEGIC,C-17,0,true,,,0
AEDY,STRATEGIC,C-5A,0,true,,,0
AEDY,STRATEGIC,CH47,0,true,,,0
AEDY,STRATEGIC,KC-10,0,true,,,0
AFMS,STRATEGIC,B-747P,0,true,,,9999
AFMS,STRATEGIC,C-17,0,true,,,9999
AFMS,STRATEGIC,C-5A,0,true,,,9999
AFMS,STRATEGIC,CH47,0,true,,,0
AFMS,STRATEGIC,KC-10,0,true,,,9999
AGGN,STRATEGIC,B-747P,0,true,,,0
AGGN,STRATEGIC,C-17,0,true,,,0
AGGN,STRATEGIC,C-5A,0,true,,,0
AGGN,STRATEGIC,CH47,0,true,,,0
AGGN,STRATEGIC,KC-10,0,true,,,0
AGWF,STRATEGIC,B-747P,0,true,,,9999
AGWF,STRATEGIC,C-17,0,true,,,9999
AGWF,STRATEGIC,C-5A,0,true,,,9999
AGWF,STRATEGIC,CH47,0,true,,,0
AGWF,STRATEGIC,KC-10,0,true,,,9999
AJBQ,STRATEGIC,B-747P,0,true,,,9999
AJBQ,STRATEGIC,C-17,0,true,,,9999
AJBQ,STRATEGIC,C-5A,0,true,,,9999
AJBQ,STRATEGIC,CH47,0,true,,,0
AJBQ,STRATEGIC,KC-10,0,true,,,9999
AJJY,STRATEGIC,B-747P,0,true,,,0
AJJY,STRATEGIC,C-17,0,true,,,0
AJJY,STRATEGIC,C-5A,0,true,,,0
AJJY,STRATEGIC,CH47,0,true,,,0
AJJY,STRATEGIC,KC-10,0,true,,,0
AJXF,STRATEGIC,B-747P,0,true,,,0
AJXF,STRATEGIC,C-17,0,true,,,0
AJXF,STRATEGIC,C-5A,0,true,,,0
AJXF,STRATEGIC,CH47,0,true,,,0
AJXF,STRATEGIC,KC-10,0,true,,,0
AMES,STRATEGIC,B-747P,0,true,,,9999
AMES,STRATEGIC,C-17,0,true,,,9999
AMES,STRATEGIC,C-5A,0,true,,,9999
AMES,STRATEGIC,CH47,0,true,,,0
AMES,STRATEGIC,KC-10,0,true,,,9999
ANZY,STRATEGIC,B-747P,0,true,,,9999
ANZY,STRATEGIC,C-17,0,true,,,9999
ANZY,STRATEGIC,C-5A,0,true,,,9999
ANZY,STRATEGIC,CH47,0,true,,,0
ANZY,STRATEGIC,KC-10,0,true,,,9999
AQLM,STRATEGIC,B-747P,0,true,,,0
AQLM,STRATEGIC,C-17,0,true,,,0
AQLM,STRATEGIC,C-5A,0,true,,,0
AQLM,STRATEGIC,CH47,0,true,,,0
AQLM,STRATEGIC,KC-10,0,true,,,0
AQRC,STRATEGIC,B-747P,0,true,,,9999
AQRC,STRATEGIC,C-17,0,true,,,9999
AQRC,STRATEGIC,C-5A,0,true,,,9999
AQRC,STRATEGIC,CH47,0,true,,,0
AQRC,STRATEGIC,KC-10,0,true,,,9999
ARNW,STRATEGIC,B-747P,0,true,,,9999
ARNW,STRATEGIC,C-17,0,true,,,9999
ARNW,STRATEGIC,C-5A,0,true,,,9999
ARNW,STRATEGIC,CH47,0,true,,,0
ARNW,STRATEGIC,KC-10,0,true,,,9999
ASCE,STRATEGIC,B-747P,0,true,,,9999
ASCE,STRATEGIC,C-17,0,true,,,9999
ASCE,STRATEGIC,C-5A,0,true,,,9999
ASCE,STRATEGIC,CH47,0,true,,,0
ASCE,STRATEGIC,KC-10,0,true,,,9999
ASHE,STRATEGIC,B-747P,0,true,,,0
ASHE,STRATEGIC,C-17,0,true,,,0
ASHE,STRATEGIC,C-5A,0,true,,,0
ASHE,STRATEGIC,CH47,0,true,,,0
ASHE,STRATEGIC,KC-10,0,true,,,0
ASPQ,STRATEGIC,B-747P,0,true,,,9999
ASPQ,STRATEGIC,C-17,0,true,,,9999
ASPQ,STRATEGIC,C-5A,0,true,,,9999
ASPQ,STRATEGIC,CH47,0,true,,,0
ASPQ,STRATEGIC,KC-10,0,true,,,9999
ATQZ,STRATEGIC,B-747P,0,true,,,9999
ATQZ,STRATEGIC,C-17,0,true,,,9999
ATQZ,STRATEGIC,C-5A,0,true,,,9999
ATQZ,STRATEGIC,CH47,0,true,,,0
ATQZ,STRATEGIC,KC-10,0,true,,,9999
ATXK,STRATEGIC,B-747P,0,true,,,0
ATXK,STRATEGIC,C-17,0,true,,,0
ATXK,STRATEGIC,C-5A,0,true,,,0
ATXK,STRATEGIC,CH47,0,true,,,0
ATXK,STRATEGIC,KC-10,0,true,,,0
AVXS,STRATEGIC,B-747P,0,true,,,9999
AVXS,STRATEGIC,C-17,0,true,,,9999
AVXS,STRATEGIC,C-5A,0,true,,,9999
AVXS,STRATEGIC,CH47,0,true,,,0
AVXS,STRATEGIC,KC-10,0,true,,,9999
AVXU,STRATEGIC,B-747P,0,true,,,9999
AVXU,STRATEGIC,C-17,0,true,,,9999
AVXU,STRATEGIC,C-5A,0,true,,,9999
AVXU,STRATEGIC,CH47,0,true,,,0
AVXU,STRATEGIC,KC-10,0,true,,,9999
AVXV,STRATEGIC,B-747P,0,true,,,0
AVXV,STRATEGIC,C-17,0,true,,,0
AVXV,STRATEGIC,C-5A,0,true,,,0
AVXV,STRATEGIC,CH47,0,true,,,0
AVXV,STRATEGIC,KC-10,0,true,,,0
AWUB,STRATEGIC,B-747P,0,true,,,0
AWUB,STRATEGIC,C-17,0,true,,,0
AWUB,STRATEGIC,C-5A,0,true,,,0
AWUB,STRATEGIC,CH47,0,true,,,0
AWUB,STRATEGIC,KC-10,0,true,,,0
AXQD,STRATEGIC,B-747P,0,true,,,9999
AXQD,STRATEGIC,C-17,0,true,,,9999
AXQD,STRATEGIC,C-5A,0,true,,,9999
AXQD,STRATEGIC,CH47,0,true,,,0
AXQD,STRATEGIC,KC-10,0,true,,,9999
AYSX,STRATEGIC,B-747P,0,true,,,9999
AYSX,STRATEGIC,C-17,0,true,,,9999
AYSX,STRATEGIC,C-5A,0,true,,,9999
AYSX,STRATEGIC,CH47,0,true,,,0
AYSX,STRATEGIC,KC-10,0,true,,,9999
BACA,STRATEGIC,B-747P,0,true,,,9999
BACA,STRATEGIC,C-17,0,true,,,9999
BACA,STRATEGIC,C-5A,0,true,,,9999
BACA,STRATEGIC,CH47,0,true,,,0
BACA,STRATEGIC,KC-10,0,true,,,9999
BAEY,STRATEGIC,B-747P,0,true,,,0
BAEY,STRATEGIC,C-17,0,true,,,0
BAEY,STRATEGIC,C-5A,0,true,,,0
BAEY,STRATEGIC,CH47,0,true,,,0
BAEY,STRATEGIC,KC-10,0,true,,,0
BBJM,STRATEGIC,B-747P,0,true,,,0
BBJM,STRATEGIC,C-17,0,true,,,0
BBJM,STRATEGIC,C-5A,0,true,,,0
BBJM,STRATEGIC,CH47,0,true,,,0
