block_id,ordering,carry_config,transport_means,distance_permission_type,distance,start_time,end_time
0,0,ALL,M1074 PLS,ANY_DISTANCE,,,
0,1,ALL,M1075 PLS,ANY_DISTANCE,,,
0,2,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
0,3,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
0,4,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
0,5,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
0,6,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
0,7,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
0,8,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
1,0,ALL,50FLAT,ANY_DISTANCE,,,
1,1,ALL,68FLAT,ANY_DISTANCE,,,
1,2,ALL,75FLAT,ANY_DISTANCE,,,
1,3,ALL,89FLAT,ANY_DISTANCE,,,
1,4,ALL,commercial medium railcar,ANY_DISTANCE,,,
2,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
3,0,ALL,M1074 PLS,ANY_DISTANCE,,,
3,1,ALL,M1075 PLS,ANY_DISTANCE,,,
3,2,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
3,3,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
3,4,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
3,5,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
3,6,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
3,7,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
3,8,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
4,0,ALL,50FLAT,ANY_DISTANCE,,,
4,1,ALL,68FLAT,ANY_DISTANCE,,,
4,2,ALL,75FLAT,ANY_DISTANCE,,,
4,3,ALL,89FLAT,ANY_DISTANCE,,,
4,4,ALL,commercial medium railcar,ANY_DISTANCE,,,
5,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
6,0,ALL,Commercial HET Tractor/Commercial HET Trailer,ANY_DISTANCE,,,
6,1,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
7,0,ALL,50DODX,ANY_DISTANCE,,,
7,1,ALL,60BOX,ANY_DISTANCE,,,
7,2,ALL,68DODX,ANY_DISTANCE,,,
7,3,ALL,68FLAT,ANY_DISTANCE,,,
7,4,ALL,75FLAT,ANY_DISTANCE,,,
7,5,ALL,commercial heavy railcar,ANY_DISTANCE,,,
7,6,ALL,commercial medium railcar,ANY_DISTANCE,,,
8,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
9,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
10,0,ALL,Commercial Bus 45-pax,ANY_DISTANCE,,,
11,0,ALL,passenger railcar,ANY_DISTANCE,,,
12,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
13,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
14,0,ALL,Road (SELF),MAXIMUM_DISTANCE,1000.0,,
15,0,ALL,50DODX,ANY_DISTANCE,,,
15,1,ALL,54DODX,ANY_DISTANCE,,,
15,2,ALL,68DODX,ANY_DISTANCE,,,
15,3,ALL,commercial medium railcar,ANY_DISTANCE,,,
15,4,ALL,commercial heavy railcar,ANY_DISTANCE,,,
16,0,ALL,Commercial HET Tractor/Commercial HET Trailer,ANY_DISTANCE,,,
16,1,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
16,2,ALL,M911 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
16,3,ALL,M911 HET Tractor/M747 60-Ton HET Trailer,ANY_DISTANCE,,,
17,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
18,0,ALL,Road (SELF),MAXIMUM_DISTANCE,1000.0,,
19,0,ALL,54DODX,ANY_DISTANCE,,,
19,1,ALL,68DODX,ANY_DISTANCE,,,
19,2,ALL,commercial medium railcar,ANY_DISTANCE,,,
19,3,ALL,50FLAT,ANY_DISTANCE,,,
19,4,ALL,68FLAT,ANY_DISTANCE,,,
19,5,ALL,75FLAT,ANY_DISTANCE,,,
19,6,ALL,89FLAT,ANY_DISTANCE,,,
20,0,ALL,Commercial HET Tractor/Commercial HET Trailer,ANY_DISTANCE,,,
20,1,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
20,2,ALL,M911 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
20,3,ALL,M911 HET Tractor/M747 60-Ton HET Trailer,ANY_DISTANCE,,,
21,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
22,0,ALL,Road (SELF),MAXIMUM_DISTANCE,1000.0,,
23,0,ALL,50FLAT,ANY_DISTANCE,,,
23,1,ALL,68FLAT,ANY_DISTANCE,,,
23,2,ALL,75FLAT,ANY_DISTANCE,,,
23,3,ALL,89FLAT,ANY_DISTANCE,,,
23,4,ALL,commercial medium railcar,ANY_DISTANCE,,,
23,5,ALL,commercial multi level,ANY_DISTANCE,,,
24,0,ALL,Commercial HET Tractor/Commercial HET Trailer,ANY_DISTANCE,,,
24,1,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
24,2,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
24,3,ALL,M123 10-Ton Tractor/M172 25-Ton Lowbed,ANY_DISTANCE,,,
24,4,ALL,M123 10-Ton Tractor/M870 40-Ton Lowbed,ANY_DISTANCE,,,
24,5,ALL,M818 5-Ton Tractor/M172 25-Ton Lowbed,ANY_DISTANCE,,,
24,6,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
24,7,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
24,8,ALL,M911 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
24,9,ALL,M911 HET Tractor/M747 60-Ton HET Trailer,ANY_DISTANCE,,,
25,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
26,0,ALL,Road (SELF),MAXIMUM_DISTANCE,50.0,,
27,0,ALL,68DODX,ANY_DISTANCE,,,
