id,theater,commodity,priority,name,mode
0,CONUS,20,1,Road 1,0
1,CONUS,20,2,Rail 1,1
2,CONUS,20,3,Water 1,2
3,CONUS,19,1,Road 1,0
4,CONUS,19,2,Rail 1,1
5,CONUS,19,3,Water 1,2
6,CONUS,16,1,Road 1,0
7,CONUS,16,2,Rail 1,1
8,CONUS,16,3,Water 1,2
9,CONUS,16,4,Air 1,4
10,CONUS,15,1,Road 1,0
11,CONUS,15,2,Rail 1,1
12,CONUS,15,3,Water 1,2
13,CONUS,15,4,Air 1,4
14,CONUS,1,1,Road 1,0
15,CONUS,1,2,Rail 1,1
16,CONUS,1,3,Road 2,0
17,CONUS,1,4,Water 1,2
18,CONUS,2,1,Road 1,0
19,CONUS,2,2,Rail 1,1
20,CONUS,2,3,Road 2,0
21,CONUS,2,4,Water 1,2
22,CONUS,3,1,Road 1,0
23,CONUS,3,2,Rail 1,1
24,CONUS,3,3,Road 2,0
25,CONUS,3,4,Water 1,2
26,CONUS,4,1,Road 1,0
27,CONUS,4,2,Rail 1,1
28,CONUS,4,3,Road 2,0
29,CONUS,4,4,Water 1,2
30,CONUS,5,1,Rail 1,1
31,CONUS,5,2,Road 1,0
32,CONUS,5,3,Rail 2,1
33,CONUS,5,4,Water 1,2
34,CONUS,6,1,Road 1,0
35,CONUS,6,2,Rail 1,1
36,CONUS,6,3,Road 2,0
37,CONUS,6,4,Water 1,2
38,CONUS,13,1,Road 1,0
39,CONUS,13,2,Rail 1,1
40,CONUS,13,3,Water 1,2
41,CONUS,12,1,Road 1,0
42,CONUS,12,2,Rail 1,1
43,CONUS,12,3,Water 1,2
44,CONUS,11,1,Road 1,0
45,CONUS,11,2,Rail 1,1
46,CONUS,11,3,Water 1,2
47,CONUS,10,1,Road 1,0
48,CONUS,10,2,Rail 1,1
49,CONUS,10,3,Water 1,2
50,CONUS,9,1,Road 1,0
51,CONUS,9,2,Rail 1,1
52,CONUS,9,3,Water 1,2
53,CONUS,8,1,Road 1,0
54,CONUS,8,2,Rail 1,1
55,CONUS,8,3,Water 1,2
56,CONUS,14,1,Pipeline 1,3
57,CONUS,14,2,Road 1,0
58,CONUS,14,3,Rail 1,1
59,CONUS,14,4,Water 1,2
60,CONUS,7,1,Road 1,0
61,CONUS,7,2,Rail 1,1
62,CONUS,7,3,Water 1,2
63,CONUS,17,1,Road 1,0
64,CONUS,17,2,Rail 1,1
65,CONUS,17,3,Water 1,2
66,Tunisia,20,1,Road 1,0
67,Tunisia,20,2,Rail 1,1
68,Tunisia,20,3,Water 1,2
69,Tunisia,20,4,Air 1,4
70,Tunisia,19,1,Road 1,0
71,Tunisia,19,2,Rail 1,1
72,Tunisia,19,3,Water 1,2
73,Tunisia,19,4,Air 1,4
74,Tunisia,16,1,Road 1,0
75,Tunisia,16,2,Rail 1,1
76,Tunisia,16,3,Water 1,2
77,Tunisia,16,4,Air 1,4
78,Tunisia,15,1,Road 1,0
79,Tunisia,15,2,Rail 1,1
80,Tunisia,15,3,Water 1,2
81,Tunisia,15,4,Air 1,4
82,Tunisia,1,1,Road 1,0
83,Tunisia,1,2,Rail 1,1
84,Tunisia,1,3,Water 1,2
85,Tunisia,1,4,Air 1,4
86,Tunisia,2,1,Road 1,0
87,Tunisia,2,2,Rail 1,1
88,Tunisia,2,3,Road 2,0
89,Tunisia,2,4,Water 1,2
90,Tunisia,2,5,Air 1,4
91,Tunisia,3,1,Road 1,0
92,Tunisia,3,2,Rail 1,1
93,Tunisia,3,3,Road 2,0
94,Tunisia,3,4,Water 1,2
95,Tunisia,3,5,Air 1,4
96,Tunisia,4,1,Road 1,0
97,Tunisia,4,2,Rail 1,1
98,Tunisia,4,3,Road 2,0
99,Tunisia,4,4,Water 1,2
100,Tunisia,4,5,Air 1,4
101,Tunisia,5,1,Road 1,0
102,Tunisia,5,2,Rail 1,1
103,Tunisia,5,3,Road 2,0
104,Tunisia,5,4,Water 1,2
105,Tunisia,5,5,Air 1,4
106,Tunisia,6,1,Road 1,0
107,Tunisia,6,2,Rail 1,1
108,Tunisia,6,3,Road 2,0
109,Tunisia,6,4,Water 1,2
110,Tunisia,6,5,Air 1,4
111,Tunisia,13,1,Rail 1,1
