Name,Code,Source,SusCat,GenSus,SourceConstrained,CargoClass,AirMarryUp,SeaMarryUp,MixCode,SustainmentSchedWindow,PolDensity,MinOrderQty,RateScalingFactor,Decontaminate,WasEverSusCat
AF-AIRCRAFT,1,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
AF-SUPPORT,2,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
AF-PREPO,3,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
MARINE-PREPO,4,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
ARMY-PREPO,5,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
AIRBORNE,6,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
ARMOR,7,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
MECH-INFANTRY,8,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
AIRMOBILE,9,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
CBAC,10,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
INFANTRY,11,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
ARMOR-CAV,12,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
AMPH-MARINES,13,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
MARINES,14,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
CS-ENGINEER,15,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
CS-ARTILLERY,16,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
CS-OTHER,17,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
CSS-ENGINEER,18,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
CSS-MEDICAL,19,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
CSS-SIGNAL,20,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
CSS-SUPPLY,21,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
CSS-TRANSPORTATION,22,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
CSS-OTHER,23,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
NAVY-UE,24,STATIC,false,true,false,UNIT-EQUIPMENT,0,0,0,99999,14.7,5000,1,true,false
RESUPPLY,25,STATIC,false,true,false,RESUPPLY,0,0,1,99999,14.7,5000,1,true,false
AMMUNITION,26,STATIC,false,true,false,AMMO,0,0,2,99999,14.7,5000,1,true,false
POL,27,STATIC,false,true,false,POL,0,0,0,99999,14.7,5000,1,true,false
GEN-RESUPPLY,28,STATIC,true,false,false,RESUPPLY,0,0,1,99999,0,15000,1,true,false
GEN-AMMO,29,STATIC,true,false,false,AMMO,0,0,2,99999,0,5000,1,true,false
GEN-POL,30,STATIC,true,false,false,POL,0,0,0,99999,0,5000,1,true,false
