CommodityType,Unrestricted,MARINES,NAVY,ARMY,AIR-FORCE
AF-AIRCRAFT,true,true,true,true,true
AF-SUPPORT,true,true,true,true,true
AF-PREPO,true,true,true,true,true
MARINE-PREPO,true,true,true,true,true
ARMY-PREPO,true,true,true,true,true
AIRBORNE,true,true,true,true,true
ARMOR,true,true,true,true,true
MECH-INFANTRY,true,true,true,true,true
AIRMOBILE,true,true,true,true,true
CBAC,true,true,true,true,true
INFANTRY,true,true,true,true,true
ARMOR-CAV,true,true,true,true,true
AMPH-MARINES,true,true,true,true,true
MARINES,true,true,true,true,true
CS-ENGINEER,true,true,true,true,true
CS-ARTILLERY,true,true,true,true,true
CS-OTHER,true,true,true,true,true
CSS-ENGINEER,true,true,true,true,true
CSS-MEDICAL,true,true,true,true,true
CSS-SIGNAL,true,true,true,true,true
CSS-SUPPLY,true,true,true,true,true
CSS-TRANSPORTATION,true,true,true,true,true
CSS-OTHER,true,true,true,true,true
NAVY-UE,true,true,true,true,true
RESUPPLY,true,true,true,true,true
AMMUNITION,true,true,true,true,true
POL,true,true,true,true,true
GEN-RESUPPLY,true,true,true,true,true
GEN-AMMO,true,true,true,true,true
GEN-POL,true,true,true,true,true
