Type,ParkingType,WeightCapacity,PAXCapacity,ContainerCapacity,OnloadTime,OffloadTime,EnrouteTime,ExpeditedTime,RecoveryTime,FuelTime,FuelCapacity,NauticalAir,DefaultAvail,StratUsable,LIN,DoorHeight,DoorWidth,CargoBayWidth,CargoBayLength,BlockSpeed500,BlockSpeed1000,BlockSpeed1500,Display_Color,FuelConsumptionRate
A310-200,W,0.0,126.0,0.0,2.2,3.0,2.25,0.75,2.5,2.0,300000.0,550.0,41.666664,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
B-747,W,74.2,0.0,1.0,4.0,3.0,2.25,0.75,2.5,2.0,343000.0,550.0,41.666664,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
B-747P,W,0.0,383.0,0.0,4.0,3.0,2.25,0.75,2.5,2.0,300000.0,550.0,41.666664,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
B707-300,N,0.0,165.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,159800.0,550.0,41.666664,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
B707-300C,N,0.0,0.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,159800.0,550.0,41.666664,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
B707-300F,N,0.0,0.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,159800.0,550.0,41.666664,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
B727,N,0.0,110.0,0.0,1.5,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,41.666664,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
B727C,N,0.0,0.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,41.666664,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
B737,N,0.0,105.0,0.0,3.0,2.0,0.0,0.75,1.5,0.0,0.0,550.0,41.666664,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
B737-200,N,0.0,105.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,41.666664,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
