Type,WeightCapacity,POLCapacity,ContainerCapacity,PAXCapacity,CargoWidth,CargoLength,NumLevels,Gauge,OnloadTime,OffloadTime,DefaultAvail,LIN,CostPerMile,CostPerPaxPerMile,CostPerGalPerMile,CostPerTEU,CostPerMTon,DefaultAccessorials,DefaultFuelAdjustmentFactor,Military,BedHeight,CurbWeight,VehicleWidth,VehicleHeight
50BOX,55.0,0.0,1.0,0.0,115.0,606.0,1,56.0,0.0,0.0,90.0,,0.0,0.0,0.0,1.55,0.1,0.0,0.0,0,0.0,2.0,0.0,0.0
50DODX,80.0,0.0,1.0,0.0,75.0,115.0,1,68.0,0.0,0.0,90.0,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0
50FLAT,75.0,0.0,1.0,0.0,72.0,125.0,1,68.0,0.0,0.0,90.0,,0.0,0.0,0.0,1.55,0.1,0.0,0.0,0,0.0,2.0,0.0,0.0
54DODX,110.0,0.0,1.0,0.0,75.0,115.0,1,68.0,0.0,0.0,90.0,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0
6000 Gal POL Rail Car,24.0,6000.0,0.0,0.0,75.0,115.0,1,68.0,0.0,0.0,90.0,,0.0,0.0,0.0,1.55,0.1,0.0,0.0,0,0.0,2.0,0.0,0.0
60BOX,65.0,0.0,1.0,0.0,75.0,115.0,1,68.0,0.0,0.0,90.0,,0.0,0.0,0.0,1.55,0.1,0.0,0.0,0,0.0,2.0,0.0,0.0
68DODX,140.0,0.0,1.0,0.0,75.0,115.0,1,68.0,0.0,0.0,90.0,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0
68FLAT,100.0,0.0,1.0,0.0,72.0,125.0,1,68.0,0.0,0.0,90.0,,0.0,0.0,0.0,1.55,0.1,0.0,0.0,0,0.0,2.0,0.0,0.0
75FLAT,65.0,0.0,1.0,0.0,75.0,115.0,1,68.0,0.0,0.0,90.0,,0.0,0.0,0.0,1.55,0.1,0.0,0.0,0,0.0,2.0,0.0,0.0
89BI,60.0,0.0,0.0,0.0,75.0,115.0,2,68.0,0.0,0.0,90.0,,0.0,0.0,0.0,1.55,0.1,0.0,0.0,0,0.0,2.0,0.0,0.0
