NISC,Lloyds,Name,ShipType,Length,Beam,Draft,NumCranes,NumWorkingCranes,ContainerCapacity,ROROCapacity,BreakbulkCapacity,TankerCapacity,RateMarch,StratUsable,LIN,ROROOnloadRate,ROROOffloadRate,ApronWidthRqdForRORO,PAXCapacity,Source,Max_Cargo_Weight,OffloadContainerRatePerCrane,OnloadContainerRatePerCrane,OffloadBBRatePerCrane,OnloadBBRatePerCrane
M54675,7702059,1ST LT ALEX BONNYMAN,CtnrRRSS,756.0,90.0,33.0,1,2,384.0,121595.0,1967.0,0.0,16.0,1,,500.0,500.0,100.0,0.0,JFAST,21806.5,100.0,100.0,3000.0,3000.0
M64887,8302442,1ST LT BALDOMERO LOPEZ,CtnrRRSS,673.0,106.0,32.0,1,2,577.0,152200.0,0.0,0.0,17.0,1,,500.0,500.0,100.0,0.0,JFAST,26779.83,100.0,100.0,3000.0,3000.0
M52257,1000101,1ST LT HARRY L MARTIN (MP,CtnrRRSS,754.0,106.0,34.0,1,2,750.0,126841.0,0.0,0.0,17.0,1,,500.0,500.0,100.0,0.0,JFAST,27684.27,100.0,100.0,3000.0,3000.0
M01390,8302454,1ST LT JACK LUMMUS,CtnrRRSS,673.0,106.0,32.0,1,2,577.0,152200.0,0.0,0.0,17.0,1,,500.0,500.0,100.0,0.0,JFAST,26779.83,100.0,100.0,3000.0,3000.0
M63841,8219384,2ND LT JOHN P BOBO,CtnrRRSS,673.0,106.0,32.0,1,2,577.0,152200.0,0.0,0.0,17.0,1,,500.0,500.0,100.0,0.0,JFAST,26779.83,100.0,100.0,3000.0,3000.0
"",129,A!C WILLIAM H PITSENBARG,CtnrSS,620.0,105.0,37.0,1,2,1960.0,0.0,0.0,0.0,18.0,1,,0.0,0.0,100.0,0.0,,39200.0,100.0,100.0,3000.0,3000.0
M02836,,ABITIBI CLAIBORNE,Breakbulk,404.0,66.0,24.0,1,2,0.0,0.0,10575.0,0.0,14.0,1,,0.0,0.0,100.0,0.0,JFAST,10575.0,100.0,100.0,3000.0,3000.0
M01767,,ABITIBI ORINOCO,Breakbulk,405.0,66.0,24.0,1,2,0.0,0.0,10575.0,0.0,14.0,1,,0.0,0.0,100.0,0.0,JFAST,10575.0,100.0,100.0,3000.0,3000.0
M30867,,ACADIA FOREST,Lash,858.0,107.0,40.0,1,2,632.0,0.0,22315.0,0.0,18.0,1,,0.0,0.0,100.0,0.0,JFAST,34955.0,100.0,100.0,3000.0,3000.0
M28328,6801664,ADM WM M CALLAGHAN,RoRo,694.0,92.0,29.0,0,3,0.0,147281.0,0.0,0.0,22.0,1,,500.0,500.0,0.0,0.0,JFAST,14728.1,100.0,100.0,3000.0,3000.0
M44905,,ADVANTAGE,Breakbulk,561.0,87.0,33.0,1,2,0.0,0.0,30570.0,0.0,16.0,1,,0.0,0.0,100.0,0.0,JFAST,30570.0,100.0,100.0,3000.0,3000.0
A00011,,AF BENNETT,Lash,820.0,100.0,41.0,1,2,492.0,0.0,1785200.0,0.0,22.0,1,,0.0,0.0,100.0,0.0,,1795040.0,100.0,100.0,3000.0,3000.0
A00102,,AF FISHER,Lash,820.0,100.0,41.0,1,2,492.0,0.0,1785200.0,0.0,22.0,1,,0.0,0.0,100.0,0.0,,1795040.0,100.0,100.0,3000.0,3000.0
M48260,,AFRICAN GLORY,Breakbulk,410.0,63.0,25.0,1,2,0.0,0.0,9700.0,0.0,14.0,1,,0.0,0.0,100.0,0.0,JFAST,9700.0,100.0,100.0,3000.0,3000.0
