ShipType,Length,Beam,Draft,NumCranes,NumWorkingCranes,ContainerCapacity,ROROCapacity,BreakbulkCapacity,TankerCapacity,RateMarch,DefaultAvail,StratUsable,LIN,ROROOnloadRate,ROROOffloadRate,ApronWidthRqdForRORO,PAXCapacity,Max_Cargo_Weight,Display_Color,OffloadContainerRatePerCrane,OnloadContainerRatePerCrane,OffloadBBRatePerCrane,OnloadBBRatePerCrane,FuelConsumptionRate
BARGE(LASH),820.0,100.0,41.0,1,2,492.0,0.0,1785200.0,0.0,22.0,100.0,1,,0.0,0.0,100.0,0.0,1795040.0,forestGreen,100.0,100.0,3000.0,3000.0,5.0
BARGE(T-AKB),820.0,100.0,41.0,1,2,492.0,0.0,1785200.0,0.0,22.0,100.0,1,,0.0,0.0,100.0,0.0,1795040.0,forestGreen,100.0,100.0,3000.0,3000.0,5.0
BREAKBULK,483.0,68.0,31.0,1,2,0.0,0.0,1307500.0,0.0,19.0,100.0,1,,0.0,0.0,100.0,0.0,1307500.0,oliveDrab,100.0,100.0,3000.0,3000.0,5.0
Breakbulk,483.0,68.0,31.0,1,2,0.0,0.0,1307500.0,0.0,19.0,100.0,1,,0.0,0.0,100.0,0.0,1307500.0,oliveDrab,100.0,100.0,3000.0,3000.0,5.0
CAR TRANS,623.0,72.0,21.0,1,2,400.0,79000.0,12000.0,0.0,19.0,100.0,0,,500.0,500.0,100.0,0.0,27900.0,orangeRed,100.0,100.0,3000.0,3000.0,5.0
CLF,623.0,72.0,21.0,1,2,400.0,79000.0,12000.0,0.0,19.0,100.0,0,,0.0,0.0,100.0,0.0,27900.0,orangeRed,100.0,100.0,3000.0,3000.0,5.0
COMBO,602.0,90.0,34.0,1,2,1084.0,47900.0,0.0,0.0,23.0,100.0,1,,500.0,500.0,100.0,0.0,26470.0,orangeRed,100.0,100.0,3000.0,3000.0,5.0
CONT-NSS,632.0,100.0,34.0,1,2,2225.0,0.0,0.0,0.0,17.0,100.0,1,,0.0,0.0,100.0,0.0,44500.0,forestGreen,100.0,100.0,3000.0,3000.0,5.0
CONT-SS,657.0,106.0,39.0,1,2,2805.0,0.0,0.0,0.0,18.0,100.0,1,,0.0,0.0,100.0,0.0,56100.0,forestGreen,100.0,100.0,3000.0,3000.0,5.0
Calagh,694.25,922.0,9.07,10,3,0.0,153825.25,0.0,0.0,24.5376,100.0,1,,0.0,1000.0,100.0,0.0,15382.53,green,100.0,100.0,3000.0,3000.0,5.0
CapeA,680.38,973.0,1.42,1,3,378.0,167339.0,0.0,0.0,18.6624,100.0,1,,0.0,1000.0,100.0,0.0,24293.9,orangeRed,100.0,100.0,3000.0,3000.0,5.0
CapeB,680.38,973.0,1.42,1,3,378.0,167339.0,0.0,0.0,18.6624,100.0,1,,0.0,1000.0,100.0,0.0,24293.9,orangeRed,100.0,100.0,3000.0,3000.0,5.0
Comet,680.38,973.0,1.42,1,3,378.0,167339.0,0.0,0.0,18.6624,100.0,1,,0.0,1000.0,100.0,0.0,24293.9,orangeRed,100.0,100.0,3000.0,3000.0,5.0
CtnrNss,632.0,100.0,34.0,1,2,2225.0,0.0,0.0,0.0,17.0,100.0,1,,0.0,0.0,100.0,0.0,44500.0,forestGreen,100.0,100.0,3000.0,3000.0,5.0
CtnrRRNSS,785.0,100.0,38.0,1,2,2753.0,45000.0,0.0,0.0,21.0,100.0,1,,500.0,500.0,100.0,0.0,59560.0,orangeRed,100.0,100.0,3000.0,3000.0,5.0
CtnrRRSS,602.0,90.0,34.0,1,2,1084.0,47900.0,0.0,0.0,23.0,100.0,1,,500.0,500.0,100.0,0.0,26470.0,orangeRed,100.0,100.0,3000.0,3000.0,5.0
CtnrSS,657.0,106.0,39.0,1,2,2805.0,0.0,0.0,0.0,18.0,100.0,1,,0.0,0.0,100.0,0.0,56100.0,forestGreen,100.0,100.0,3000.0,3000.0,5.0
Edmont,680.38,973.0,1.42,1,3,378.0,167339.0,0.0,0.0,18.6624,100.0,1,,0.0,1000.0,100.0,0.0,24293.9,orangeRed,100.0,100.0,3000.0,3000.0,5.0
FSS,946.0,106.0,37.0,1,2,65.0,183250.0,45000.0,0.0,27.0,100.0,1,,500.0,500.0,100.0,0.0,64625.0,orangeRed,100.0,100.0,3000.0,3000.0,5.0
