TractorType,TrailerType
Commercial 10-Ton Tractor,Commercial Semitrailer
Commercial HET Tractor,Commercial HET Trailer
M1070 HET Tractor,M1000 70-Ton HET Trailer
M1088 WOWN MTV Tractor,M871A2 22.5-Ton Semitrailer
M1088 WOWN MTV Tractor,M967A1 5000-Gal Tanker
M1088 WWN MTV Tractor,M871A2 22.5-Ton Semitrailer
M1088 WWN MTV Tractor,M967A1 5000-Gal Tanker
M123 10-Ton Tractor,M172 25-Ton Lowbed
M123 10-Ton Tractor,M870 40-Ton Lowbed
M818 5-Ton Tractor,M128 12-Ton Semitrailer
M818 5-Ton Tractor,M172 25-Ton Lowbed
M818 5-Ton Tractor,M871A2 22.5-Ton Semitrailer
M818 5-Ton Tractor,M967A1 5000-Gal Tanker
M818 5-Ton Tractor,M969 5000-Gal Tanker
M911 HET Tractor,M1000 70-Ton HET Trailer
M911 HET Tractor,M747 60-Ton HET Trailer
M915A2 25-Ton Tractor,M1062 7500-Gal Tanker
M915A2 25-Ton Tractor,M871A2 22.5-Ton Semitrailer
M915A2 25-Ton Tractor,M872A3 34-Ton Semitrailer
M916 20-Ton Tractor,M172 25-Ton Lowbed
M916 20-Ton Tractor,M967A1 5000-Gal Tanker
M916 20-Ton Tractor,M969 5000-Gal Tanker
M931 5-Ton Tractor,M127 12-Ton Semitrailer
M931 5-Ton Tractor,M270 12-Ton Lowbed
M931 5-Ton Tractor,M871A2 22.5-Ton Semitrailer
M931 5-Ton Tractor,M969 5000-Gal Tanker
