Type,WeightCapacity,POLCapacity,ContainerCapacity,CargoWidth,CargoLength,BedHeight,CurbWeight,OnloadTime,OffloadTime,DefaultAvail,Military,LIN,CostPerMile,CostPerPaxPerMile,CostPerGalPerMile,CostPerTEU,CostPerMTon,DefaultAccessorials,DefaultFuelAdjustmentFactor,VehicleWidth,VehicleHeight
Commercial HET Trailer,60.0,0.0,0.0,132.0,320.0,44.0,16.0,1.0,1.0,90.0,0,,0.0,0.0,0.0,1.85,0.15,0.0,0.0,0.0,0.0
Commercial Semitrailer,30.0,0.0,2.0,96.0,480.0,50.0,8.0,1.0,1.0,90.0,0,,0.0,0.0,0.0,1.85,0.15,0.0,0.0,0.0,0.0
M1000 70-Ton HET Trailer,70.0,0.0,0.0,144.0,360.0,43.0,25.0,1.0,1.0,90.0,1,S70859,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1062 7500-Gal Tanker,26.0,7500.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,90.0,1,S73119,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1076 16.5-Ton PLS Trailer,16.5,0.0,1.0,88.0,227.0,60.0,8.0,1.0,1.0,90.0,1,T93761,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M127 12-Ton Semitrailer,12.0,0.0,0.0,96.0,335.0,57.0,7.0,1.0,1.0,90.0,1,S72024,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M128 12-Ton Semitrailer,12.0,0.0,0.0,88.0,337.0,57.0,7.0,1.0,1.0,90.0,1,S74079,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M172 25-Ton Lowbed,25.0,0.0,0.0,115.0,248.0,40.0,8.0,1.0,1.0,90.0,1,S70517,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M270 12-Ton Lowbed,12.0,0.0,0.0,96.0,480.0,48.0,8.0,1.0,1.0,90.0,1,S70243,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M747 60-Ton HET Trailer,60.0,0.0,0.0,130.0,320.0,44.0,15.0,1.0,1.0,90.0,1,S70661,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M870 40-Ton Lowbed,40.0,0.0,0.0,120.0,357.0,40.0,8.0,1.0,1.0,90.0,1,S70594,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M871A2 22.5-Ton Semitrailer,22.5,0.0,2.0,96.0,355.0,55.0,7.0,1.0,1.0,90.0,1,S70027,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M872A3 34-Ton Semitrailer,34.0,0.0,2.0,96.0,485.0,58.0,9.0,1.0,1.0,90.0,1,S70159,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M967A1 5000-Gal Tanker,17.0,5000.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,90.0,1,S10059,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M969 5000-Gal Tanker,17.0,5000.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,90.0,1,S73372,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
