Type,WeightCapacity,POLCapacity,ContainerCapacity,PAXCapacity,CargoWidth,CargoLength,BedHeight,CurbWeight,RateMarch,OnloadTime,OffloadTime,Military,DefaultAvail,LIN,FuelConsumptionRate,CostPerMile,CostPerGalPerMile,CostPerPaxPerMile,CostPerTEU,CostPerMTon,DefaultAccessorials,DefaultFuelAdjustmentFactor,VehicleWidth,VehicleHeight
Comm-Truck-20ft,14.0,0.0,1.0,0.0,96.0,240.0,67.0,19.0,45.0,0.0,0.0,0,90.0,,5.0,0.0,0.0,0.0,1.85,0.15,0.0,0.0,0.0,0.0
Commercial Bus 25-pax,10.0,0.0,0.0,25.0,0.0,0.0,0.0,9.0,55.0,0.0,0.0,0,95.0,,5.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Commercial Bus 45-pax,10.0,0.0,0.0,45.0,0.0,0.0,0.0,12.0,55.0,0.0,0.0,0,95.0,,5.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Commercial POL Truck,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,14.0,50.0,1.0,1.0,0,95.0,,5.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Light Cargo Truck,1.0,0.0,0.0,0.0,80.0,96.0,42.0,3.0,50.0,1.0,1.0,0,80.0,,5.0,0.0,0.0,0.0,1.85,0.15,0.0,0.0,0.0,0.0
M1074 PLS,33.0,0.0,2.0,0.0,96.0,467.0,68.0,27.0,45.0,1.0,1.0,1,90.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1075 PLS,33.0,0.0,2.0,0.0,96.0,467.0,68.0,24.0,45.0,1.0,1.0,1,90.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1078 2.5-Ton LMTV,2.5,0.0,0.0,0.0,80.0,130.0,33.0,10.0,50.0,1.0,1.0,1,90.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1083 WOWN 5-Ton MTV,5.0,0.0,0.0,0.0,80.0,120.0,33.0,11.0,50.0,1.0,1.0,1,90.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1083 WWN 5-TON MTV,5.0,0.0,0.0,0.0,80.0,120.0,33.0,11.0,50.0,1.0,1.0,1,90.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M35 2.5-Ton,2.5,0.0,0.0,0.0,80.0,147.0,52.0,6.0,45.0,1.0,1.0,1,90.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M36 2.5-Ton,2.5,0.0,0.0,0.0,80.0,210.0,51.0,7.0,50.0,1.0,1.0,1,90.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M813 5-Ton,5.0,0.0,0.0,0.0,80.0,168.0,55.0,10.0,45.0,1.0,1.0,1,90.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M814 5-Ton,5.0,0.0,0.0,0.0,96.0,244.0,55.0,12.0,45.0,1.0,1.0,1,90.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M923 5-Ton,5.0,0.0,1.0,0.0,88.0,168.0,58.0,10.0,45.0,1.0,1.0,1,95.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M924 5-Ton,5.0,0.0,1.0,0.0,88.0,168.0,55.0,10.0,45.0,1.0,1.0,1,95.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M925 5-Ton,5.0,0.0,1.0,0.0,88.0,168.0,58.0,11.0,45.0,1.0,1.0,1,90.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M926 5-Ton,5.0,0.0,1.0,0.0,88.0,168.0,55.0,11.0,50.0,1.0,1.0,1,90.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M928 5-Ton,5.0,0.0,1.0,0.0,100.0,244.0,58.0,13.0,50.0,1.0,1.0,1,90.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M977 HEMTT,10.0,0.0,0.0,0.0,80.0,216.0,67.0,19.0,45.0,1.0,1.0,1,90.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M978 HEMTT Tanker,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,19.0,50.0,1.0,1.0,1,90.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M985 HEMTT,10.0,0.0,0.0,0.0,100.0,216.0,67.0,19.0,45.0,1.0,1.0,1,90.0,,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medium Cargo Truck,5.0,0.0,0.0,0.0,96.0,240.0,54.0,12.0,50.0,1.0,1.0,0,95.0,,5.0,0.0,0.0,0.0,1.85,0.15,0.0,0.0,0.0,0.0
