GeolocCode,Latitude,Longitude,Name,InstallationTypeCode,CountryStateCode,CountryStateShortName,CountryStateLongName,Icao,PrimeGeolocCode,ProvinceCode,ProvinceName,LogisticPlanningCode,RecordOwnerUic,GsaStateCode,GsaCityCode,GsaCountyCode
EXAN,41.058613,-94.361115,CRESTON,CTY,19,IA,IOWA,,EXAN,,,3V,FFWTK0,,,
MJNV,42.2,-121.78333,KLAMATH FALLS,CTY,41,OR,OREGON,,MJNV,,,3T,FFWTK0,,,
FAQZ,40.15,-87.61667,DANVILLE,CTY,17,IL,ILLINOIS,,FAQZ,,,3W,FFWTK0,,,
YZJU,33.269165,-111.81111,CHANDLER MUNI,MAP,04,AZ,ARIZONA,KCHD,YZJU,,,3R,DMABAA,,,
RQMN,29.993334,-90.25916,LOUIS ARMSTRONG N,IAP,22,LA,LOUISIANA,KMSY,RQMN,,,3N,DMABAA,,,
LKTC,36.587223,-115.67333,CREECH AFB,MAP,32,NV,NEVADA,KINS,LKTC,,,3S,DMABAA,,,
TSKU,32.45,-86.46667,PRATTVILLE,CTY,01,AL,ALABAMA,,TSKU,,,3M,W0ZUFF,,,
MNWA,29.633333,-95.05,LA PORTE,AGS,48,TX,TEXAS,,MNWA,,,3P,FFWTK0,,,
RQNA,29.827223,-90.026665,NEW ORLEANS NAS J,MAP,22,LA,LOUISIANA,KNBG,RQNA,,,3N,DMABAA,,,
PSXE,35.81111,-83.99416,MC GHEE TYSON,JAP,47,TN,TENNESSEE,KTYS,PSXE,,,3M,DMABAA,,,
RQNB,29.833334,-90.01667,NEW ORLEANS NAV S,CTY,22,LA,LOUISIANA,,RQNB,,,3N,DKAACA,,,
RQNM,30,-90.05,NEW ORLEANS   NSA,STG,22,LA,LOUISIANA,,RQNM,,,3N,N00011,,,
YEAF,40.266666,-74.8,W TRENTON,CTY,34,NJ,NEW JERSEY,,YEAF,,,3H,FFWTK0,,,
RQNK,29.95,-90.01667,NEW ORLEANS,PRT,22,LA,LOUISIANA,,RQNK,,,3N,N00011,,,
RQNJ,29.95,-90.066666,NEW ORLEANS SHYD,DEP,22,LA,LOUISIANA,,RQNJ,,,3N,N00011,,,
JADW,43.3,-73.666664,GLENS FALLS,CTY,36,NY,NEW YORK,,JADW,,,3H,FFWTK0,,,
LGJZ,38.060833,-97.92944,HUTCHINSON,CTY,20,KS,KANSAS,,KSRV,,,3V,FFWTK0,,,
TJYZ,42.735554,-94.66889,POCAHONTAS,CTY,19,IA,IOWA,,TJYZ,,,3V,W0ZUFF,,,
RQMA,29.966667,-90.11667,NEW ORLEANS,CTY,22,LA,LOUISIANA,,RQMA,,,3N,FFWTK0,,,
UZVD,42.1,-90.11667,SAVANNA DEPOT,AIN,17,IL,ILLINOIS,,UZVD,,,3W,W0ZUFF,,,
NEAC,29.831667,-90.01833,NEW ORLEANS,CLN,22,LA,LOUISIANA,,NEAC,,,3N,N00011,,,
VHRJ,34.166668,-118.46667,SEPULVEDA,AGS,06,CA,CALIFORNIA,,VHRJ,,,3R,FFWTK0,,,
NVED,37.416668,-79.166664,LYNCHBURG,CTY,51,VA,VIRGINIA,,NVED,,,3K,FFWTK0,,,
TWUT,37.1,-80.65,RADFORD ARSENAL,AIN,51,VA,VIRGINIA,,TWUT,,,3K,W0ZUFF,,,
HLCC,32.566666,-83.88333,FT VALLEY,STG,13,GA,GEORGIA,,HLCC,,,3L,FFWTK0,,,
XFHH,21.366667,-157.88333,TRIPLER GENERAL,HSP,15,HI,HAWAII,,XFHH,,,5N,W0ZUFF,,,
YMSM,41.558056,-73.05194,WATERBURY,CTY,09,CT,CONNECTICUT,,YMSM,,,3G,FFWTK0,,,
PBXH,40.783333,-82.53333,MANSFIELD,CTY,39,OH,OHIO,,PBXH,,,3W,FFWTK0,,,
VUKL,44.883335,-93.2,SNELLING,AFS,27,MN,MINNESOTA,,VUKL,,,3W,W0ZUFF,,,
MSBK,40.016666,-74.316666,LAKEHURST,CTY,34,NJ,NEW JERSEY,,MSBK,,,3H,FFWTK0,,,
BFHX,48.792778,-122.5375,BELLINGHAM INTL,IAP,53,WA,WASHINGTON,KBLI,BFHX,,,3T,DMABAA,,,
PBXP,40.82139,-82.51667,MANSFIELD LAHM RG,JAP,39,OH,OHIO,KMFD,PBXP,,,3W,DMABAA,,,
HPKT,29.666666,-82.333336,GAINESVILLE,CTY,12,FL,FLORIDA,,HPKT,,,3L,FFWTK0,,,
KHSH,38.545,-118.6325,HAWTHORNE INDUSTR,APT,32,NV,NEVADA,KHTH,KHSH,,,3S,N00011,,,
TWVH,34.983334,-79.23333,RAEFORD,CTY,37,NC,NORTH CAROLINA,,TWVH,,,3L,W0ZUFF,,,
AKUU,38.983334,-76.48333,ANNAPOLIS,PRT,24,MD,MARYLAND,,AKUU,,,3J,N00011,,,
HCRL,31.8,-106.416664,FT BLISS,AIN,48,TX,TEXAS,,HCRL,,,3P,W0ZUFF,,,
AKUS,38.983334,-76.5,ANNAPOLIS,CTY,24,MD,MARYLAND,,AKUS,,,3J,FFWTK0,,,
VYTD,44.5,-103.88333,SPEARFISH,CTY,46,SD,SOUTH DAKOTA,,VYTD,,,3Q,FFWTK0,,,
KHST,38.55,-118.63333,HAWTHORNE AAP,AMO,32,NV,NEVADA,,KHST,,,3S,N00011,,,
UZYJ,32.127224,-81.19945,HUNTER 02,AGS,13,GA,GEORGIA,,UZYJ,,,3L,FFWTK0,,,
FNLD,-29.966667,30.966667,DURBAN,PRT,ZA,SOAFR,SOUTH AFRICA,,FNLD,,,7B,DLAAAA,,,
UEND,37.916668,-122.36667,RICHMOND,PRT,06,CA,CALIFORNIA,,UEND,,,3S,N00011,,,
BWKR,35.964443,-89.943886,ARKANSAS INTL,MAP,05,AR,ARKANSAS,KBYH,BWKR,,,3N,DMABAA,,,
STQT,21.4,-158.1,PALEHUA,CTY,15,HI,HAWAII,,STQT,,,5N,FFWTK0,,,
GMGG,40.6,-73.75,FAR ROCKAWAY,CTY,36,NY,NEW YORK,,GMGG,,,3H,FFWTK0,,,
JAFZ,42.090557,-87.82,CHICAGO CGAS,MAP,17,IL,ILLINOIS,,JAFZ,,,3W,DMABAA,,,
VYRR,34.933334,-81.95,SPARTANBURG,CTY,45,SC,SOUTH CAROLINA,,VYRR,,,3L,FFWTK0,,,
AKWB,33.616665,-85.98333,ANNISTON,STG,01,AL,ALABAMA,,AKWB,,,3M,1A1AAA,,,
UZXM,32.066666,-81.11667,SAVANNAH,AGS,13,GA,GEORGIA,,UZXM,,,3L,FFWTK0,,,
UZXF,32.066666,-81.11667,SAVANNAH,CTY,13,GA,GEORGIA,,UZXF,,,3L,FFWTK0,,,
STRM,38.12611,13.368889,PALERMO,PRT,IT,ITALY,ITALY,,STRM,,,4P,DLAAAA,,,
STRL,38.175835,13.091111,PALERMO,CAP,IT,ITALY,ITALY,LICJ,STRL,,,4P,DMABAA,,,
EXCN,30.816668,-86.55,CRESTVIEW,CTY,12,FL,FLORIDA,,EXCN,,,3L,FFWTK0,,,
KLZU,34.649723,-98.40222,HENRY POST AAF,MAP,40,OK,OKLAHOMA,KFSI,KLZU,,,3P,DMABAA,,,
UZXJ,32.083332,-81.11667,SAVANNAH,PRT,13,GA,GEORGIA,,UZXJ,,,3L,N00011,,,
HLED,64.833336,-147.58333,FT WAINWRIGHT,COM,02,AK,ALASKA,,HLED,,,35,FFWTK0,,,
HLEC,40.583332,-74.05,FT WADSWORTH,AIN,36,NY,NEW YORK,,HLEC,,,3H,W0ZUFF,,,
MSDK,28.033333,-81.95,LAKELAND,CTY,12,FL,FLORIDA,,MSDK,,,3L,FFWTK0,,,
DPYZ,42.183334,-72.61667,CHICOPEE,CTY,25,MA,MASSACHUSETTS,,DPYZ,,,3G,FFWTK0,,,
HTUX,42.946945,-87.89694,GENERAL MITCHELL,JAP,55,WI,WISCONSIN,KMKE,HTUX,,,3W,DMABAA,,,
HTUV,42.95028,-87.897224,GEN B MITCHELL,AGS,55,WI,WISCONSIN,,HTUX,,,3W,FFWTK0,,,
HCTG,39.45,-123.816666,FT BRAGG,CTY,06,CA,CALIFORNIA,,HCTG,,,3S,W0ZUFF,,,
WXPV,28.616667,-80.833336,TITUSVILLE,CTY,12,FL,FLORIDA,,WXPV,,,3L,FFWTK0,,,
HCTL,35.133335,-78.98333,FT BRAGG,AIN,37,NC,NORTH CAROLINA,,HCTL,,,3L,W0ZUFF,,,
HPMW,34.3,-84.583336,GAINESVILLE,CTY,13,GA,GEORGIA,,HPMW,,,3L,FFWTK0,,,
AXQD,42.158054,-72.715836,WESTFIELD BARNES,JAP,25,MA,MASSACHUSETTS,KBAF,AXQD,,,3G,DMABAA,,,
LPAS,33.83,-118.086945,LONG BEACH,HSP,06,CA,CALIFORNIA,,LPAS,,,3R,N00011,,,
HCTM,35.133335,-79,FT BRAGG,STG,37,NC,NORTH CAROLINA,,HCTM,,,3L,1A1AAA,,,
AKWU,33.633335,-85.86667,ANNISTON,CTY,01,AL,ALABAMA,,AKWU,,,3M,FFWTK0,,,
EGDZ,33.883335,-118.3,COMPTON,CTY,06,CA,CALIFORNIA,,EGDZ,,,3R,FFWTK0,,,
AKWS,33.633335,-85.86667,ANNISTON ARMY DEP,AMO,01,AL,ALABAMA,,AKWS,,,3M,W0ZUFF,,,
AKWQ,33.633335,-85.86667,ANNISTON ARMY DEP,AIN,01,AL,ALABAMA,,AKWQ,,,3M,W0ZUFF,,,
BWKV,35.933334,-89.916664,BLYTHEVILLE,CTY,05,AR,ARKANSAS,,BWKV,,,3N,FFWTK0,,,
GUYP,21.366667,-157.96666,FORD ISLAND,AIN,15,HI,HAWAII,,GUYP,,,5N,W0ZUFF,,,
BSEM,46.772778,-100.745834,BISMARCK MUNI,JAP,38,ND,NORTH DAKOTA,KBIS,BSEM,,,3Q,DMABAA,,,
YVEW,21.481667,-158.03694,WHEELER AAF,MAP,15,HI,HAWAII,PHHI,YVEW,,,5N,DMABAA,,,
WKVB,40.843613,-72.63167,FRANCIS S GABRESK,JAP,36,NY,NEW YORK,KFOK,WKVB,,,3H,DMABAA,,,
GUYU,21.366667,-157.96666,JBPH-H FORD ISLAN,NYI,15,HI,HAWAII,,GUYU,,,5N,N00011,,,
BSEH,46.833332,-100.8,BISMARCK,CTY,38,ND,NORTH DAKOTA,,BSEH,,,3Q,FFWTK0,,,
UNAP,51.883335,4.45,ROTTERDAM,PRT,NL,NETHE,NETHERLANDS,,UNAP,,,4K,FFWTK0,,,
TWWH,37.916668,-80.816666,RAINELLE,AIN,54,WV,WEST VIRGINIA,,TWWH,,,3J,W0ZUFF,,,
UAKE,40.083332,-74.35,RED BANK,CTY,34,NJ,NEW JERSEY,,UAKE,,,3H,FFWTK0,,,
QNPW,34.783333,126.38333,MOKPO,PRT,KR,SKORE,"KOREA, REP OF",,QNPW,,,5H,DLAAAA,,,
CMXJ,40.711945,-73.969444,BROOKLYN,NYI,36,NY,NEW YORK,,CMXJ,,,3H,N00072,,,
FRYQ,33.783333,-81.933334,EDGEFIELD,CTY,45,SC,SOUTH CAROLINA,,FRYQ,,,3L,W0ZUFF,,,
FFAJ,41.600555,-93.60889,DES MOINES,CTY,19,IA,IOWA,,FFAJ,,,3V,FFWTK0,,,
SLFU,41.05,-73.95,ORANGEBURG,CTY,36,NY,NEW YORK,,SLFU,,,3H,FFWTK0,,,
FFAR,41.53389,-93.663055,DES MOINES INTL,JAP,19,IA,IOWA,KDSM,FFAR,,,3V,FFWTK0,,,
FAXN,49.853333,8.5847225,DARMSTADT AAF,APT,DE,GERMA,GERMANY,,FAXN,,,4K,DMABAA,,,
TSRD,37.8,-122.451385,PRESIDIO OF SFRAN,AIN,06,CA,CALIFORNIA,,TSRD,,,3S,W0ZUFF,,,
TWZR,35.75,-78.65,RALEIGH,CTY,37,NC,NORTH CAROLINA,,TWZR,,,3L,FFWTK0,,,
SCTF,39.83389,-99.89111,NORTON,CTY,20,KS,KANSAS,,SCTF,,,3V,FFWTK0,,,
WPAU,-33.966667,151.2,SYDNEY,PRT,AU,ATRAL,AUSTRALIA,,WPAU,,,5E,DLAAAA,,,
00XT,40,6,WESTERN MED,SEA,8W,WMEDS,MEDITERREAN W,,00XT,,,4N,N00011,,,
NEFW,40.95,-76.88333,LEWISTOWN,CTY,42,PA,PENNSYLVANIA,,NEFW,,,3J,FFWTK0,,,
YVGQ,44.055557,-75.72,WHEELER SACK AAF,MAP,36,NY,NEW YORK,KGTB,YVGQ,,,3H,DMABAA,,,
MSET,52.409443,0.5611111,LAKENHEATH,MAP,GB,UK,UNITED KINGDOM,EGUL,MSET,,,4L,DMABAA,,,
BFMV,21.366112,-157.71945,BELLOWS AFS,AFS,15,HI,HAWAII,,BFMV,,,5N,FFWTK0,,,
WTJG,5.633333,0.016666668,TEMA,PRT,GH,GHANA,GHANA,,WTJG,,,7A,DLAAAA,,,
ACJP,34,-118.25,LOS ANGELES,AFS,06,CA,CALIFORNIA,,ACJP,,,3R,FFWTK0,,,
EXGM,38.05,-122.21667,CROCKETT,PRT,06,CA,CALIFORNIA,,EXGM,,,3S,N00011,,,
FNQD,36,-78.9,DURHAM,CTY,37,NC,NORTH CAROLINA,,FNQD,,,3L,W0ZUFF,,,
CZQZ,34.3825,-103.3225,CANNON AFB,MAP,35,NM,NEW MEXICO,KCVS,CZQZ,,,3P,DMABAA,,,
CMZJ,41.4,-81.816666,BROOKPARK,CTY,39,OH,OHIO,,CMZJ,,,3W,W0ZUFF,,,
CAAY,28.4675,-80.566666,CAPE CANAVERAL AF,AFB,12,FL,FLORIDA,KXMR,CAAY,,,3L,DMABAA,,,
NRCH,46.950554,-67.88583,LORING INTL,CAP,23,ME,MAINE,ME16,NRCH,,,3G,DMABAA,,,
SHA5,39.368332,-94.91472,SHERMAN AAF,MAP,20,KS,KANSAS,KFLV,SHA5,,,3V,DMABAA,,,
CAAP,33.301388,-117.35528,CAMP PENDLETON MC,MAP,06,CA,CALIFORNIA,KNFG,CAAP,,,3R,DMABAA,,,
VURP,41.683334,-86.25,SO BEND,CTY,18,IN,INDIANA,,VURP,,,3W,FFWTK0,,,
XSHL,38.1,-122.316666,VALLEJO SHYD,DEP,06,CA,CALIFORNIA,,XSHL,,,3S,N00011,,,
STYW,26.7,-80.03333,PALM BEACH,PRT,12,FL,FLORIDA,,STYW,,,3L,N00011,,,
QJKL,44.881943,-93.221664,MINNEAPOLIS ST PA,JAP,27,MN,MINNESOTA,KMSP,QJKL,,,3W,DMABAA,,,
ATNZ,35.166668,-79.03333,BADIN,CTY,37,NC,NORTH CAROLINA,,ATNZ,,,3L,FFWTK0,,,
VQHV,32.416668,-93.73333,SHREVEPORT,CTY,22,LA,LOUISIANA,,VQHV,,,3N,FFWTK0,,,
ATNV,35.166668,-79.03333,BADIN,COM,37,NC,NORTH CAROLINA,,ATNV,,,3L,FFWTK0,,,
VQHP,32.5,-93.76667,SHREVEPORT,RTC,22,LA,LOUISIANA,,VQHP,,,3N,FFWTK0,,,
CVLK,36.133335,-78.76667,BUTNER,CTY,37,NC,NORTH CAROLINA,,CVLK,,,3L,W0ZUFF,,,
WCJX,39.75,-94.85,ST JOSEPH,CTY,29,MO,MISSOURI,,WCJX,,,3V,FFWTK0,,,
APFD,34.316666,10.15,AS SUKHAYRAH,PRT,TN,TUNSA,TUNISIA,,APFD,,,7S,DLAAAA,,,
UNFA,42.716667,-70.879166,ROWLEY,RPA,25,MA,MASSACHUSETTS,,UNFA,,,3G,FFWTK0,,,
CVLD,40.85,-79.9,BUTLER,CTY,42,PA,PENNSYLVANIA,,CVLD,,,3J,FFWTK0,,,
CABM,34.72278,-77.36472,CP LEJUENE,HSP,37,NC,NORTH CAROLINA,,CABM,,,3L,N00011,,,
BBGP,34.716667,-76.666664,BEAUFORT,PRT,37,NC,NORTH CAROLINA,,BBGP,,,3L,N00011,,,
STXG,26.683056,-80.09556,PALM BEACH INTL,IAP,12,FL,FLORIDA,KPBI,STXG,,,3L,DMABAA,,,
LGSL,41.65,-70.26667,HYANNIS,CTY,25,MA,MASSACHUSETTS,,LGSL,,,3G,FFWTK0,,,
YMXT,42.49278,-92.34278,WATERLOO,CTY,19,IA,IOWA,,YMXT,,,3V,FFWTK0,,,
FNSH,53.916668,-166.6,DUTCH HARBOR,PRT,02,AK,ALASKA,,FNSH,,,35,FFWTK0,,,
DLUL,36.016666,-86.51667,CHATTANOOGA,CTY,47,TN,TENNESSEE,,DLUL,,,3M,FFWTK0,,,
YMXZ,42.556946,-92.400276,WATERLOO RGNL,JAP,19,IA,IOWA,KALO,YMXZ,,,3V,DMABAA,,,
DUHW,45.416668,-122.583336,CLACKAMAS,CTY,41,OR,OREGON,,DUHW,,,3T,W0ZUFF,,,
APGW,29.35,47.916668,ASH SHUWAIKH COMM,PRT,KW,KUWAT,KUWAIT,,APGW,,,1X,DLAAAA,,,
FJMK,31.321112,-85.44945,DOTHAN RGNL,CAP,01,AL,ALABAMA,KDHN,FJMK,,,3M,DMABAA,,,
MWRJ,36.166668,-115.166664,LAS VEGAS,CTY,32,NV,NEVADA,,MWRJ,,,3S,FFWTK0,,,
RQXF,37.133335,-80.59167,NEW RIVER,CTY,51,VA,VIRGINIA,,RQXF,,,3K,FFWTK0,,,
CEKT,41.939167,-72.683334,BRADLEY INTL,JAP,09,CT,CONNECTICUT,KBDL,CEKT,,,3G,DMABAA,,,
NELF,38.1,-84.5,LEXINGTON,CTY,21,KY,KENTUCKY,,NELF,,,3M,FFWTK0,,,
ZLVW,23.963888,38.202778,YANBU AL SINAIYAH,PRT,SA,SAUDI,SAUDI ARABIA,,ZLVW,,,1X,DLAAAA,,,
FNVH,36.033333,-89.35,DYERSBURG,CTY,47,TN,TENNESSEE,,FNVH,,,3M,FFWTK0,,,
MJYV,35.966667,-83.95,KNOXVILLE,CTY,47,TN,TENNESSEE,,MJYV,,,3M,FFWTK0,,,
