seaport,parent,serves,typeName,priority
"",Beach Head 3-service points,true,CF,1
"",Beach Head 3-service points,true,LCAC,2
"",Beach Head 3-service points,true,LCM-8,3
"",Beach Head 3-service points,true,LCU-1600,4
"",Beach Head 3-service points,true,LCU-2000,5
"",CWP 1-service point,true,CF,1
"",CWP 1-service point,true,LCAC,2
"",CWP 1-service point,true,LCM-8,3
"",CWP 1-service point,true,LCU-1600,4
"",CWP 1-service point,true,LCU-2000,5
"",ELCAS 1-crane,true,CF,1
"",ELCAS 1-crane,true,LCAC,2
"",ELCAS 1-crane,true,LCM-8,3
"",ELCAS 1-crane,true,LCU-1600,4
"",ELCAS 1-crane,true,LCU-2000,5
"",Trident Pier 3-service points,true,CF,1
"",Trident Pier 3-service points,true,LCAC,2
"",Trident Pier 3-service points,true,LCM-8,3
"",Trident Pier 3-service points,true,LCU-1600,4
"",Trident Pier 3-service points,true,LCU-2000,5
