Key,Day,Enabled,Description,EventPhase,Operation,Port,Inbound,Outbound
SEA1,0,true,,,CONUS,SYZZ,2,2
SEA1,0,true,,,CONUS,00A1,2,2
SEA1,0,true,,,CONUS,GWZP,2,2
SEA1,0,true,,,CONUS,AVYX,2,2
SEA1,0,true,,,CONUS,TAXW,2,2
SEA1,0,true,,,CONUS,UULX,2,2
SEA1,0,true,,,CONUS,TRZP,2,2
SEA1,0,true,,,CONUS,CKMQ,2,2
SEA1,0,true,,,CONUS,KZTZ,2,2
SEA1,0,true,,,CONUS,BBNV,2,2
SEA1,0,true,,,CONUS,ZSJC,2,2
SEA1,0,true,,,CONUS,RQNK,2,2
SEA1,0,true,,,CONUS,WPKZ,2,1
SEA1,0,true,,,CONUS,EKWU,2,2
SEA1,0,true,,,CONUS,HNTS,2,1
SEA1,0,true,,,CONUS,HMBA,2,2
SEA1,0,true,,,CONUS,LLTY,2,2
SEA1,0,true,,,CONUS,QTUR,2,2
SEA1,0,true,,,CONUS,AJBR,2,2
SEA1,0,true,,,CONUS,SVCN,2,2
SEA1,0,true,,,CONUS,SYZB,2,2
SEA1,0,true,,,CONUS,LYNK,2,2
SEA1,0,true,,,CONUS,SERJ,2,2
SEA1,0,true,,,CONUS,SYZJ,2,2
SEA1,0,true,,,CONUS,UULB,2,2
SEA1,0,true,,,CONUS,UULA,2,2
SEA1,0,true,,,CONUS,SERU,2,2
SEA1,0,true,,,CONUS,SERS,2,2
SEA1,0,true,,,CONUS,AAPV,2,2
SEA1,0,true,,,CONUS,TZYR,2,2
SEA1,0,true,,,CONUS,PDZE,2,2
SEA1,0,true,,,CONUS,SYZP,2,2
SEA1,0,true,,,CONUS,GCRR,2,2
SEA1,0,true,,,CONUS,SYZN,2,2
SEA1,0,true,,,CONUS,TWEH,2,2
SEA1,0,true,,,CONUS,UTLS,2,2
SEA1,0,true,,,CONUS,WYPX,2,2
SEA1,0,true,,,CONUS,YLQH,2,2
SEA1,0,true,,,CONUS,MLDL,2,2
SEA1,0,true,,,CONUS,VPRF,2,2
SEA1,0,true,,,CONUS,UTLN,2,2
SEA1,0,true,,,CONUS,TZL4,2,2
SEA1,0,true,,,CONUS,PQEM,2,2
SEA1,0,true,,,CONUS,FMKT,2,2
SEA1,0,true,,,CONUS,NJNF,2,2
SEA1,0,true,,,CONUS,BSRL,2,1
SEA1,0,true,,,CONUS,AKUU,2,2
SEA1,0,true,,,CONUS,FVMT,2,2
SEA1,0,true,,,CONUS,EDME,2,2
SEA1,0,true,,,CONUS,XYNK,2,2
SEA1,0,true,,,CONUS,NJNK,2,2
SEA1,0,true,,,CONUS,JWTD,2,2
SEA1,0,true,,,CONUS,RRRK,2,2
SEA1,0,true,,,CONUS,LYAP,2,2
SEA1,0,true,,,CONUS,MKAG,2,2
SEA1,0,true,,,CONUS,FNLD,2,2
SEA1,0,true,,,CONUS,UEND,2,2
SEA1,0,true,,,CONUS,CAMK,2,2
SEA1,0,true,,,CONUS,XUDT,2,2
SEA1,0,true,,,CONUS,RGJW,2,2
SEA1,0,true,,,CONUS,SBNB,2,2
SEA1,0,true,,,CONUS,WMY2,2,1
SEA1,0,true,,,CONUS,HQLL,2,2
SEA1,0,true,,,CONUS,QCFA,2,2
SEA1,0,true,,,CONUS,QHPF,2,2
SEA1,0,true,,,CONUS,QHPB,2,2
SEA1,0,true,,,CONUS,QHPD,2,2
SEA1,0,true,,,CONUS,PPSH,2,2
SEA1,0,true,,,CONUS,AZTG,2,2
SEA1,0,true,,,CONUS,AZTE,2,2
SEA1,0,true,,,CONUS,PPSC,2,2
SEA1,0,true,,,CONUS,QCFF,2,2
SEA1,0,true,,,CONUS,STRM,2,2
SEA1,0,true,,,CONUS,CWGV,2,2
SEA1,0,true,,,CONUS,RRQL,2,2
SEA1,0,true,,,CONUS,USZV,2,2
SEA1,0,true,,,CONUS,UZXJ,2,2
SEA1,0,true,,,CONUS,HMGB,2,2
SEA1,0,true,,,CONUS,PAXM,2,2
SEA1,0,true,,,CONUS,XEXW,2,2
SEA1,0,true,,,CONUS,NSQN,2,2
SEA1,0,true,,,CONUS,FXSK,2,2
SEA1,0,true,,,CONUS,LSGM,2,2
SEA1,0,true,,,CONUS,WHAH,2,2
SEA1,0,true,,,CONUS,RGNP,2,2
SEA1,0,true,,,CONUS,NSAN,2,2
SEA1,0,true,,,CONUS,TNVX,2,2
SEA1,0,true,,,CONUS,MMGH,2,2
SEA1,0,true,,,CONUS,TGWS,2,2
SEA1,0,true,,,CONUS,GUYU,2,2
SEA1,0,true,,,CONUS,UNAP,2,2
SEA1,0,true,,,CONUS,FMLT,2,2
SEA1,0,true,,,CONUS,LYRV,2,2
SEA1,0,true,,,CONUS,AELU,2,2
SEA1,0,true,,,CONUS,NNWH,2,2
SEA1,0,true,,,CONUS,ABFL,2,2
SEA1,0,true,,,CONUS,APRJ,2,1
SEA1,0,true,,,CONUS,DDQW,2,2
SEA1,0,true,,,CONUS,GGNJ,2,2
SEA1,0,true,,,CONUS,TQKG,2,2
SEA1,0,true,,,CONUS,DGGD,2,2
SEA1,0,true,,,CONUS,QNPW,2,2
SEA1,0,true,,,CONUS,CMXJ,2,2
SEA1,0,true,,,CONUS,AJGX,2,2
SEA1,0,true,,,CONUS,RELG,2,2
SEA1,0,true,,,CONUS,ABXK,2,2
SEA1,0,true,,,CONUS,XJCS,2,1
SEA1,0,true,,,CONUS,TVXA,2,2
SEA1,0,true,,,CONUS,EWFK,2,2
SEA1,0,true,,,CONUS,VWCR,2,2
SEA1,0,true,,,CONUS,JMCZ,2,2
SEA1,0,true,,,CONUS,HJTL,2,2
SEA1,0,true,,,CONUS,ADKH,2,2
SEA1,0,true,,,CONUS,FGDB,2,2
SEA1,0,true,,,CONUS,FAFL,2,2
SEA1,0,true,,,CONUS,MDXB,2,2
SEA1,0,true,,,CONUS,MLWY,2,2
SEA1,0,true,,,CONUS,AVPV,2,2
SEA1,0,true,,,CONUS,LYTM,2,2
SEA1,0,true,,,CONUS,WPAU,2,2
SEA1,0,true,,,CONUS,NYNF,2,2
SEA1,0,true,,,CONUS,00XT,2,2
SEA1,0,true,,,CONUS,MAAU,2,2
SEA1,0,true,,,CONUS,AVPN,2,2
SEA1,0,true,,,CONUS,VXTY,2,1
SEA1,0,true,,,CONUS,WTJG,2,2
SEA1,0,true,,,CONUS,NTUF,2,2
SEA1,0,true,,,CONUS,SMXS,2,2
SEA1,0,true,,,CONUS,ENCN,2,2
SEA1,0,true,,,CONUS,ADLS,2,1
SEA1,0,true,,,CONUS,GLZN,2,2
SEA1,0,true,,,CONUS,EXGM,2,2
SEA1,0,true,,,CONUS,AYER,2,2
SEA1,0,true,,,CONUS,NTUH,2,2
SEA1,0,true,,,CONUS,XRSP,2,2
SEA1,0,true,,,CONUS,PYKG,2,2
SEA1,0,true,,,CONUS,DPMD,2,2
SEA1,0,true,,,CONUS,SBDZ,2,2
SEA1,0,true,,,CONUS,ADNE,2,2
SEA1,0,true,,,CONUS,RBXH,2,2
SEA1,0,true,,,CONUS,XRVJ,2,2
SEA1,0,true,,,CONUS,UTBR,2,2
SEA1,0,true,,,CONUS,TQPB,2,1
SEA1,0,true,,,CONUS,ZSAK,2,1
SEA1,0,true,,,CONUS,SBEA,2,2
SEA1,0,true,,,CONUS,TNZV,2,2
SEA1,0,true,,,CONUS,JXKM,2,2
SEA1,0,true,,,CONUS,PUCT,2,2
SEA1,0,true,,,CONUS,MCYS,2,2
SEA1,0,true,,,CONUS,PYKS,2,2
SEA1,0,true,,,CONUS,RJHC,2,2
SEA1,0,true,,,CONUS,FQZF,2,2
SEA1,0,true,,,CONUS,UTBS,2,2
SEA1,0,true,,,CONUS,STYW,2,2
SEA1,0,true,,,CONUS,RQFF,2,2
SEA1,0,true,,,CONUS,TVJD,2,2
SEA1,0,true,,,CONUS,VSNF,2,2
SEA1,0,true,,,CONUS,TNZY,2,2
SEA1,0,true,,,CONUS,VKNP,2,1
