Key,Day,Enabled,Description,EventPhase,CommodityType,SchedDay,SchedEnabled,Intensity
TEBESSA,0,true,,,GEN-RESUPPLY,0,true,RESERVE
TEBESSA,0,true,,,GEN-RESUPPLY,20,true,LOW
TEBESSA,0,true,,,GEN-RESUPPLY,30,true,INTENSE
TEBESSA,0,true,,,GEN-RESUPPLY,45,true,LOW
TEBESSA,0,true,,,GEN-AMMO,0,true,RESERVE
TEBESSA,0,true,,,GEN-AMMO,20,true,LOW
TEBESSA,0,true,,,GEN-AMMO,45,true,MODERATE
TEBESSA,0,true,,,GEN-AMMO,55,true,LOW
TEBESSA,0,true,,,GEN-AMMO,75,true,RESERVE
TEBESSA,0,true,,,GEN-POL,0,true,RESERVE
TEBESSA,0,true,,,GEN-POL,20,true,LOW
TEBESSA,0,true,,,GEN-POL,30,true,INTENSE
TEBESSA,55,true,,Phase4:START,GEN-RESUPPLY,55,true,RESERVE
TEBESSA,55,true,,Phase4:START,GEN-RESUPPLY,75,true,RESERVE
TEBESSA,55,true,,Phase4:START,GEN-AMMO,55,true,RESERVE
TEBESSA,55,true,,Phase4:START,GEN-AMMO,75,true,RESERVE
TEBESSA,55,true,,Phase4:START,GEN-POL,55,true,INTENSE
JERBA-ZARZIS,0,true,,,GEN-RESUPPLY,0,true,RESERVE
JERBA-ZARZIS,0,true,,,GEN-RESUPPLY,20,true,LOW
JERBA-ZARZIS,0,true,,,GEN-RESUPPLY,30,true,INTENSE
JERBA-ZARZIS,0,true,,,GEN-RESUPPLY,45,true,LOW
JERBA-ZARZIS,0,true,,,GEN-AMMO,0,true,RESERVE
JERBA-ZARZIS,0,true,,,GEN-AMMO,20,true,LOW
JERBA-ZARZIS,0,true,,,GEN-AMMO,45,true,MODERATE
JERBA-ZARZIS,0,true,,,GEN-AMMO,55,true,LOW
JERBA-ZARZIS,0,true,,,GEN-AMMO,75,true,RESERVE
JERBA-ZARZIS,0,true,,,GEN-POL,0,true,RESERVE
JERBA-ZARZIS,0,true,,,GEN-POL,20,true,LOW
JERBA-ZARZIS,0,true,,,GEN-POL,30,true,INTENSE
JERBA-ZARZIS,55,true,,Phase4:START,GEN-RESUPPLY,55,true,RESERVE
JERBA-ZARZIS,55,true,,Phase4:START,GEN-RESUPPLY,75,true,RESERVE
JERBA-ZARZIS,55,true,,Phase4:START,GEN-AMMO,55,true,RESERVE
JERBA-ZARZIS,55,true,,Phase4:START,GEN-AMMO,75,true,RESERVE
JERBA-ZARZIS,55,true,,Phase4:START,GEN-POL,55,true,INTENSE
SFAX,0,true,,,GEN-RESUPPLY,0,true,RESERVE
SFAX,0,true,,,GEN-RESUPPLY,20,true,LOW
SFAX,0,true,,,GEN-RESUPPLY,30,true,INTENSE
SFAX,0,true,,,GEN-RESUPPLY,45,true,LOW
SFAX,0,true,,,GEN-AMMO,0,true,RESERVE
SFAX,0,true,,,GEN-AMMO,20,true,LOW
SFAX,0,true,,,GEN-AMMO,45,true,MODERATE
SFAX,0,true,,,GEN-AMMO,55,true,LOW
SFAX,0,true,,,GEN-AMMO,75,true,RESERVE
SFAX,0,true,,,GEN-POL,0,true,RESERVE
SFAX,0,true,,,GEN-POL,20,true,LOW
SFAX,0,true,,,GEN-POL,30,true,INTENSE
SFAX,55,true,,Phase4:START,GEN-RESUPPLY,55,true,RESERVE
SFAX,55,true,,Phase4:START,GEN-RESUPPLY,75,true,RESERVE
SFAX,55,true,,Phase4:START,GEN-AMMO,55,true,RESERVE
SFAX,55,true,,Phase4:START,GEN-AMMO,75,true,RESERVE
SFAX,55,true,,Phase4:START,GEN-POL,55,true,INTENSE
ABN,0,true,,,GEN-RESUPPLY,0,true,RESERVE
ABN,0,true,,,GEN-RESUPPLY,20,true,LOW
ABN,0,true,,,GEN-RESUPPLY,30,true,INTENSE
ABN,0,true,,,GEN-RESUPPLY,45,true,LOW
ABN,0,true,,,GEN-AMMO,0,true,RESERVE
ABN,0,true,,,GEN-AMMO,20,true,LOW
ABN,0,true,,,GEN-AMMO,45,true,MODERATE
ABN,0,true,,,GEN-AMMO,55,true,LOW
ABN,0,true,,,GEN-AMMO,75,true,RESERVE
ABN,0,true,,,GEN-POL,0,true,RESERVE
ABN,0,true,,,GEN-POL,20,true,LOW
ABN,0,true,,,GEN-POL,30,true,INTENSE
