Key,Day,Enabled,Description,EventPhase,GEN-RESUPPLY,GEN-AMMO,GEN-POL
TEBESSA,0,true,,,50,5000,5000
MECHANICSBURG,0,true,,,5000,5000,5000
PHILADELPHIA,0,true,,,5000,5000,5000
JERBA-ZARZIS,0,true,,,50,5000,5000
SFAX,0,true,,,50,5000,5000
ABN,0,true,,,10,5000,5000
THYNA-EL MAOU,0,true,,,50,5000,5000
MADANIYIN,0,true,,,50,5000,5000
GABES,0,true,,,50,5000,5000
GABES (HNTM),0,true,,,50,5000,5000
SIGONELLA,0,true,,,50,5000,5000
SEABASE,0,true,,,50,5000,5000
GABES (HNTS),0,true,,,50,5000,5000
BIR EL ATER,0,true,,,500,5000,5000
GAFSA,0,true,,,50,5000,5000
