Key,Day,Enabled,Description,EventPhase,Commodity,SchedDay,SchedEnabled,Value
TEBESSA,0,true,,,GEN-RESUPPLY,0,true,0
TEBESSA,0,true,,,GEN-AMMO,0,true,0
TEBESSA,0,true,,,GEN-POL,0,true,0
MECHANICSBURG,0,true,,,GEN-RESUPPLY,0,true,0
MECHANICSBURG,0,true,,,GEN-AMMO,0,true,0
MECHANICSBURG,0,true,,,GEN-POL,0,true,0
PHILADELPHIA,0,true,,,GEN-RESUPPLY,0,true,0
PHILADELPHIA,0,true,,,GEN-AMMO,0,true,0
PHILADELPHIA,0,true,,,GEN-POL,0,true,0
JERBA-ZARZIS,0,true,,,GEN-RESUPPLY,0,true,0
JERBA-ZARZIS,0,true,,,GEN-AMMO,0,true,0
JERBA-ZARZIS,0,true,,,GEN-POL,0,true,0
SFAX,0,true,,,GEN-RESUPPLY,0,true,0
SFAX,0,true,,,GEN-AMMO,0,true,0
SFAX,0,true,,,GEN-POL,0,true,0
ABN,0,true,,,GEN-RESUPPLY,0,true,0
ABN,0,true,,,GEN-AMMO,0,true,0
ABN,0,true,,,GEN-POL,0,true,0
THYNA-EL MAOU,0,true,,,GEN-RESUPPLY,0,true,0
THYNA-EL MAOU,0,true,,,GEN-AMMO,0,true,0
THYNA-EL MAOU,0,true,,,GEN-POL,0,true,0
MADANIYIN,0,true,,,GEN-RESUPPLY,0,true,0
MADANIYIN,0,true,,,GEN-AMMO,0,true,0
MADANIYIN,0,true,,,GEN-POL,0,true,0
GABES,0,true,,,GEN-RESUPPLY,0,true,0
GABES,0,true,,,GEN-AMMO,0,true,0
GABES,0,true,,,GEN-POL,0,true,0
GABES (HNTM),0,true,,,GEN-RESUPPLY,0,true,0
GABES (HNTM),0,true,,,GEN-AMMO,0,true,0
GABES (HNTM),0,true,,,GEN-POL,0,true,0
SIGONELLA,0,true,,,GEN-RESUPPLY,0,true,0
SIGONELLA,0,true,,,GEN-AMMO,0,true,0
SIGONELLA,0,true,,,GEN-POL,0,true,0
SEABASE,0,true,,,GEN-RESUPPLY,0,true,0
SEABASE,0,true,,,GEN-AMMO,0,true,0
SEABASE,0,true,,,GEN-POL,0,true,0
GABES (HNTS),0,true,,,GEN-RESUPPLY,0,true,0
GABES (HNTS),0,true,,,GEN-AMMO,0,true,0
GABES (HNTS),0,true,,,GEN-POL,0,true,0
BIR EL ATER,0,true,,,GEN-RESUPPLY,0,true,0
BIR EL ATER,0,true,,,GEN-AMMO,0,true,0
BIR EL ATER,0,true,,,GEN-POL,0,true,0
GAFSA,0,true,,,GEN-RESUPPLY,0,true,0
GAFSA,0,true,,,GEN-AMMO,0,true,0
GAFSA,0,true,,,GEN-POL,0,true,0
