Key,Day,Enabled,Description,EventPhase,GEN-RESUPPLY,GEN-AMMO,GEN-POL
TEBESSA,0,true,,,false,false,false
MECHANICSBURG,0,true,,,false,false,false
PHILADELPHIA,0,true,,,false,false,false
JERBA-ZARZIS,0,true,,,false,false,false
SFAX,0,true,,,false,false,false
ABN,0,true,,,false,false,false
THYNA-EL MAOU,0,true,,,false,false,false
MADANIYIN,0,true,,,false,false,false
GABES,0,true,,,false,false,false
GABES (HNTM),0,true,,,false,false,false
SIGONELLA,0,true,,,false,false,false
SEABASE,0,true,,,false,false,false
GABES (HNTS),0,true,,,false,false,false
BIR EL ATER,0,true,,,false,false,false
GAFSA,0,true,,,false,false,false
