Key,Day,Enabled,Description,EventPhase,GEN-RESUPPLY,GEN-AMMO,GEN-POL
TEBESSA,0,true,,,LOW,LOW,LOW
MECHANICSBURG,0,true,,,LOW,LOW,LOW
PHILADELPHIA,0,true,,,LOW,LOW,LOW
JERBA-ZARZIS,0,true,,,LOW,LOW,LOW
SFAX,0,true,,,LOW,LOW,LOW
ABN,0,true,,,LOW,LOW,LOW
THYNA-EL MAOU,0,true,,,LOW,LOW,LOW
MADANIYIN,0,true,,,LOW,LOW,LOW
GABES,0,true,,,LOW,LOW,LOW
GABES (HNTM),0,true,,,LOW,LOW,LOW
SIGONELLA,0,true,,,LOW,LOW,LOW
SEABASE,0,true,,,LOW,LOW,LOW
GABES (HNTS),0,true,,,LOW,LOW,LOW
BIR EL ATER,0,true,,,LOW,LOW,LOW
GAFSA,0,true,,,LOW,LOW,LOW
