Key,CommodityType,StockagePeriod
TEBESSA,GEN-RESUPPLY,25
TEBESSA,GEN-AMMO,25
TEBESSA,GEN-POL,25
MECHANICSBURG,GEN-RESUPPLY,10
MECHANICSBURG,GEN-AMMO,10
MECHANICSBURG,GEN-POL,10
PHILADELPHIA,GEN-RESUPPLY,10
PHILADELPHIA,GEN-AMMO,10
PHILADELPHIA,GEN-POL,10
JERBA-ZARZIS,GEN-RESUPPLY,25
JERBA-ZARZIS,GEN-AMMO,25
JERBA-ZARZIS,GEN-POL,25
SFAX,GEN-RESUPPLY,25
SFAX,GEN-AMMO,25
SFAX,GEN-POL,25
ABN,GEN-RESUPPLY,25
ABN,GEN-AMMO,25
ABN,GEN-POL,25
THYNA-EL MAOU,GEN-RESUPPLY,25
THYNA-EL MAOU,GEN-AMMO,25
THYNA-EL MAOU,GEN-POL,25
MADANIYIN,GEN-RESUPPLY,25
MADANIYIN,GEN-AMMO,25
MADANIYIN,GEN-POL,25
GABES,GEN-RESUPPLY,25
GABES,GEN-AMMO,25
GABES,GEN-POL,25
GABES (HNTM),GEN-RESUPPLY,25
GABES (HNTM),GEN-AMMO,25
GABES (HNTM),GEN-POL,25
SIGONELLA,GEN-RESUPPLY,25
SIGONELLA,GEN-AMMO,25
SIGONELLA,GEN-POL,25
SEABASE,GEN-RESUPPLY,25
SEABASE,GEN-AMMO,25
SEABASE,GEN-POL,25
GABES (HNTS),GEN-RESUPPLY,25
GABES (HNTS),GEN-AMMO,25
GABES (HNTS),GEN-POL,25
BIR EL ATER,GEN-RESUPPLY,25
BIR EL ATER,GEN-AMMO,25
BIR EL ATER,GEN-POL,25
GAFSA,GEN-RESUPPLY,25
GAFSA,GEN-AMMO,25
GAFSA,GEN-POL,25
