Key,Day,Enabled,Description,EventPhase,Commodity,SchedDay,SchedEnabled,Value
TEBESSA,0,true,,,GEN-RESUPPLY,0,true,999999
TEBESSA,0,true,,,GEN-AMMO,0,true,999999
TEBESSA,0,true,,,GEN-POL,0,true,999999
MECHANICSBURG,0,true,,,GEN-RESUPPLY,0,true,999999
MECHANICSBURG,0,true,,,GEN-AMMO,0,true,999999
MECHANICSBURG,0,true,,,GEN-POL,0,true,999999
PHILADELPHIA,0,true,,,GEN-RESUPPLY,0,true,999999
PHILADELPHIA,0,true,,,GEN-AMMO,0,true,999999
PHILADELPHIA,0,true,,,GEN-POL,0,true,999999
JERBA-ZARZIS,0,true,,,GEN-RESUPPLY,0,true,999999
JERBA-ZARZIS,0,true,,,GEN-AMMO,0,true,999999
JERBA-ZARZIS,0,true,,,GEN-POL,0,true,999999
SFAX,0,true,,,GEN-RESUPPLY,0,true,999999
SFAX,0,true,,,GEN-AMMO,0,true,999999
SFAX,0,true,,,GEN-POL,0,true,999999
ABN,0,true,,,GEN-RESUPPLY,0,true,999999
ABN,0,true,,,GEN-AMMO,0,true,999999
ABN,0,true,,,GEN-POL,0,true,999999
THYNA-EL MAOU,0,true,,,GEN-RESUPPLY,0,true,999999
THYNA-EL MAOU,0,true,,,GEN-AMMO,0,true,999999
THYNA-EL MAOU,0,true,,,GEN-POL,0,true,999999
MADANIYIN,0,true,,,GEN-RESUPPLY,0,true,999999
MADANIYIN,0,true,,,GEN-AMMO,0,true,999999
MADANIYIN,0,true,,,GEN-POL,0,true,999999
GABES,0,true,,,GEN-RESUPPLY,0,true,999999
GABES,0,true,,,GEN-AMMO,0,true,999999
GABES,0,true,,,GEN-POL,0,true,999999
GABES (HNTM),0,true,,,GEN-RESUPPLY,0,true,999999
GABES (HNTM),0,true,,,GEN-AMMO,0,true,999999
GABES (HNTM),0,true,,,GEN-POL,0,true,999999
SIGONELLA,0,true,,,GEN-RESUPPLY,0,true,999999
SIGONELLA,0,true,,,GEN-AMMO,0,true,999999
SIGONELLA,0,true,,,GEN-POL,0,true,999999
SEABASE,0,true,,,GEN-RESUPPLY,0,true,999999
SEABASE,0,true,,,GEN-AMMO,0,true,999999
SEABASE,0,true,,,GEN-POL,0,true,999999
GABES (HNTS),0,true,,,GEN-RESUPPLY,0,true,999999
GABES (HNTS),0,true,,,GEN-AMMO,0,true,999999
GABES (HNTS),0,true,,,GEN-POL,0,true,999999
BIR EL ATER,0,true,,,GEN-RESUPPLY,0,true,999999
BIR EL ATER,0,true,,,GEN-AMMO,0,true,999999
BIR EL ATER,0,true,,,GEN-POL,0,true,999999
GAFSA,0,true,,,GEN-RESUPPLY,0,true,999999
GAFSA,0,true,,,GEN-AMMO,0,true,999999
GAFSA,0,true,,,GEN-POL,0,true,999999
