Key,Day,Enabled,Description,EventPhase,Commodity,SchedDay,Organization,Value
TEBESSA,0,true,,,GEN-RESUPPLY,0,TEBESSA,5
TEBESSA,0,true,,,GEN-AMMO,0,TEBESSA,0
TEBESSA,0,true,,,GEN-POL,0,TEBESSA,0
MECHANICSBURG,0,true,,,GEN-RESUPPLY,0,MECHANICSBURG,0
MECHANICSBURG,0,true,,,GEN-AMMO,0,MECHANICSBURG,0
MECHANICSBURG,0,true,,,GEN-POL,0,MECHANICSBURG,0
PHILADELPHIA,0,true,,,GEN-RESUPPLY,0,PHILADELPHIA,0
PHILADELPHIA,0,true,,,GEN-AMMO,0,PHILADELPHIA,0
PHILADELPHIA,0,true,,,GEN-POL,0,PHILADELPHIA,0
JERBA-ZARZIS,0,true,,,GEN-RESUPPLY,0,JERBA-ZARZIS,5
JERBA-ZARZIS,0,true,,,GEN-AMMO,0,JERBA-ZARZIS,0
JERBA-ZARZIS,0,true,,,GEN-POL,0,JERBA-ZARZIS,0
SFAX,0,true,,,GEN-RESUPPLY,0,SFAX,5
SFAX,0,true,,,GEN-AMMO,0,SFAX,0
SFAX,0,true,,,GEN-POL,0,SFAX,0
ABN,0,true,,,GEN-RESUPPLY,0,ABN,5
ABN,0,true,,,GEN-AMMO,0,ABN,0
ABN,0,true,,,GEN-POL,0,ABN,0
THYNA-EL MAOU,0,true,,,GEN-RESUPPLY,0,THYNA-EL MAOU,5
THYNA-EL MAOU,0,true,,,GEN-AMMO,0,THYNA-EL MAOU,0
THYNA-EL MAOU,0,true,,,GEN-POL,0,THYNA-EL MAOU,0
MADANIYIN,0,true,,,GEN-RESUPPLY,0,MADANIYIN,5
MADANIYIN,0,true,,,GEN-AMMO,0,MADANIYIN,0
MADANIYIN,0,true,,,GEN-POL,0,MADANIYIN,0
GABES,0,true,,,GEN-RESUPPLY,0,GABES,5
GABES,0,true,,,GEN-AMMO,0,GABES,0
GABES,0,true,,,GEN-POL,0,GABES,0
GABES (HNTM),0,true,,,GEN-RESUPPLY,0,GABES (HNTM),5
GABES (HNTM),0,true,,,GEN-AMMO,0,GABES (HNTM),0
GABES (HNTM),0,true,,,GEN-POL,0,GABES (HNTM),0
SIGONELLA,0,true,,,GEN-RESUPPLY,0,SIGONELLA,5
SIGONELLA,0,true,,,GEN-AMMO,0,SIGONELLA,0
SIGONELLA,0,true,,,GEN-POL,0,SIGONELLA,0
SEABASE,0,true,,,GEN-RESUPPLY,0,SEABASE,5
SEABASE,0,true,,,GEN-AMMO,0,SEABASE,0
SEABASE,0,true,,,GEN-POL,0,SEABASE,0
GABES (HNTS),0,true,,,GEN-RESUPPLY,0,GABES (HNTS),5
GABES (HNTS),0,true,,,GEN-AMMO,0,GABES (HNTS),0
GABES (HNTS),0,true,,,GEN-POL,0,GABES (HNTS),0
BIR EL ATER,0,true,,,GEN-RESUPPLY,0,BIR EL ATER,5
BIR EL ATER,0,true,,,GEN-AMMO,0,BIR EL ATER,0
BIR EL ATER,0,true,,,GEN-POL,0,BIR EL ATER,0
GAFSA,0,true,,,GEN-RESUPPLY,0,GAFSA,5
GAFSA,0,true,,,GEN-AMMO,0,GAFSA,0
GAFSA,0,true,,,GEN-POL,0,GAFSA,0
