Name,StartNode,EndNode,Fixed
CANAL11,PANAMA NORTH,PANAMA SOUTH,true
CANAL33,SUEZ SOUTH,SUEZ NORTH,true
CANAL01,CAR34,PANAMA NORTH,true
CANAL02,CA17,PANAMA SOUTH,true
CANAL03,AFR57,SUEZ SOUTH,true
CANAL04,MED61,SUEZ NORTH,true
SPAC001,AUS1,NEWCASTLE,false
SPAC002,AUS1,BRISBANE,false
SPAC003,AUS2,BRISBANE,false
SPAZ003,NEW CAL2,BRISBANE,false
SPAC004,AUS2,AUS3,false
SPAC005,AUS3,AUS4,false
SPAC006,AUS4,AUS5,false
SPAC007,AUS5,AUS6,false
SPAZ007,CORAL SEA,AUS6,false
SPAC008,AUS6,CAPEMELVILLE,false
SPAC009,TORRES ST,CAPEMELVILLE,false
SPAC010,TORRES ST,AUS7,false
SPAC011,AUS7,AUS8,false
SPAC012,AUS7,AUS10,false
SPAC013,AUS8,AUS9,false
SPAC014,AUS9,AUS10,false
SPAC015,AUS10,AUS11,false
SPAC016,AUS11,AUS12,false
SPAC017,AUS12,DARWIN,false
SPAC018,DARWIN,BONAPARTE G,false
SPAC019,AUS13,BONAPARTE G,false
SPAC020,AUS13,MELVILLE IS,false
SPAC021,AUS11,MELVILLE IS,false
SPAC022,DARWIN,MELVILLE IS,false
SPAC023,AUS13,AUS14,false
SPAC024,AUS14,HEDLAND,false
SPAC025,NW CAPE,HEDLAND,false
SPAC026,NW CAPE,AUS15,false
SPAC027,AUS15,SHARK BAY,false
SPAC028,AUS16,SHARK BAY,false
SPAC029,AUS16,PERTH,false
SPAC030,AUS17,PERTH,false
SPAC031,AUS17,CAPE LEEUWIN,false
SPAC032,AUS18,CAPE LEEUWIN,false
SPAC033,AUS18,AUS19,false
SPAC034,AUS19,AUS20,false
SPAC035,AUS20,AUS21,false
SPAC036,AUS21,AUS22,false
SPAC037,AUS22,AUS23,false
SPAC038,AUS23,AUS24,false
SPAC039,AUS24,ADELAIDE,false
SPAC040,AUS25,ADELAIDE,false
SPAC041,AUS25,CAPE OTWAY,false
SPAC042,AUS26,CAPE OTWAY,false
SPAC043,AUS26,MELBOURNE,false
SPAC044,AUS26,WILSONS PRO,false
SPAC045,AUS26,AUS30,false
SPAC046,WILSONS PRO,SALE,false
SPAC047,SALE,AUS27,false
SPAC048,AUS27,AUS28,false
SPAC049,AUS27,SYDNEY,false
SPAC050,SYDNEY,NEWCASTLE,false
SPAC051,AUS28,HOBART,false
SPAC052,AUS29,HOBART,false
SPAC053,AUS29,AUS30,false
SPAC054,NZ1,NORTH CAPE,false
SPAC055,NZ10,NORTH CAPE,false
SPAC056,NZ10,NZ9,false
SPAC057,NZ9,AUKLAND W,false
SPACY57,SYDNEY,AUKLAND W,false
SPACZ57,40S160E,AUKLAND W,false
SPAC058,NZ8,AUKLAND W,false
SPAC059,NZ8,NZ7,false
SPAC060,NZ8,COOK N,false
SPAC061,NZ7,COOK N,false
SPAC062,NZ7,NZ6,false
SPAC062 DUP,NZ6,NZ5,false
SPAC063,NZ5,FOVEAUX ST,false
SPAC064,NZ4,FOVEAUX ST,false
SPAC065,NZ4,DUNEDIN,false
SPAC066,DUNEDIN,CHRISTCH,false
SPAC067,CHRISTCH,COOK S,false
SPAC068,COOK S,WELLINGTON,false
SPAC069,COOK N,WELLINGTON,false
SPAC070,COOK S,NZ3,false
