Name,Latitude,Longitude,Fixed
PANAMA NORTH,9.25,-79.66670227050781,true
PANAMA SOUTH,9.199999809265137,-79.66670227050781,true
SUEZ NORTH,31.0,32.16669845581055,true
SUEZ SOUTH,30.950000762939453,32.16669845581055,true
CAR34,9.75,-80.0,false
AFR57,29.700000762939453,32.599998474121094,false
SYDNEY,-34.0,151.5,false
NEWCASTLE,-33.0,152.25,false
AUS1,-31.0,153.5,false
BRISBANE,-27.149999618530273,153.8000030517578,false
AUS2,-26.200000762939453,153.6999969482422,false
AUS3,-24.799999237060547,153.39999389648438,false
AUS4,-21.0,150.0,false
AUS5,-18.700000762939453,147.10000610351562,false
AUS6,-16.700000762939453,146.0,false
CAPEMELVILLE,-14.699999809265137,145.39999389648438,false
TORRES ST,-10.550000190734863,142.13330078125,false
AUS7,-13.0,141.1999969482422,false
AUS8,-16.700000762939453,140.60000610351562,false
AUS9,-15.0,137.0,false
AUS10,-12.0,137.60000610351562,false
AUS11,-10.5,131.8000030517578,false
AUS12,-11.899999618530273,131.8000030517578,false
DARWIN,-12.199999809265137,130.8000030517578,false
MELVILLE IS,-10.600000381469727,130.0,false
BONAPARTE G,-14.5,128.39999389648438,false
AUS13,-13.199999809265137,127.0,false
AUS14,-16.0,123.0,false
HEDLAND,-19.600000381469727,118.5999984741211,false
NW CAPE,-20.899999618530273,114.5,false
AUS15,-23.5,113.0,false
SHARK BAY,-26.0,112.69999694824219,false
AUS16,-29.0,114.0,false
PERTH,-32.0,115.5999984741211,false
AUS17,-33.79999923706055,114.80000305175781,false
CAPE LEEUWIN,-34.53329849243164,115.13330078125,false
AUS18,-35.5,118.0,false
AUS19,-34.5,121.80000305175781,false
AUS20,-34.099998474121094,124.0,false
AUS21,-32.599998474121094,126.0999984741211,false
AUS22,-32.099998474121094,129.10000610351562,false
AUS23,-34.0,134.5,false
AUS24,-35.5,136.0,false
ADELAIDE,-35.70000076293945,138.0,false
AUS25,-38.70000076293945,141.0,false
CAPE OTWAY,-38.900001525878906,142.3000030517578,false
AUS26,-39.0,144.3000030517578,false
MELBOURNE,-38.0,144.89999389648438,false
WILSONS PRO,-39.16669845581055,146.4333038330078,false
SALE,-38.400001525878906,148.3000030517578,false
AUS27,-37.70000076293945,150.10000610351562,false
AUS28,-43.0,149.0,false
HOBART,-43.599998474121094,147.6999969482422,false
AUS29,-44.0,146.0,false
AUS30,-42.0,144.0,false
NZ1,-35.29999923706055,175.1999969482422,false
NORTH CAPE,-34.0,174.0,false
AUKLAND E,-36.70000076293945,175.1999969482422,false
NZ2,-36.25,176.89999389648438,false
EAST CAPE,-37.79999923706055,179.5,false
NZ3,-40.0,178.0,false
COOK S,-42.0,175.0,false
WELLINGTON,-41.20000076293945,174.5,false
CHRISTCH,-43.70000076293945,173.8000030517578,false
DUNEDIN,-46.0,171.0,false
NZ4,-47.0,169.5,false
FOVEAUX ST,-46.599998474121094,168.1999969482422,false
NZ5,-46.0,165.60000610351562,false
NZ6,-42.0,171.0,false
NZ7,-40.5,172.0,false
COOK N,-40.29999923706055,173.89999389648438,false
NZ8,-39.0,173.75,false
AUKLAND W,-37.0,174.0,false
NZ9,-36.29999923706055,173.6999969482422,false
NZ10,-34.400001525878906,172.3000030517578,false
NEW CAL1,-23.0,167.6999969482422,false
NEW CAL2,-22.399999618530273,166.3000030517578,false
NEW CAL3,-20.899999618530273,163.5,false
NEW CAL4,-19.299999237060547,163.6999969482422,false
NEW CAL5,-21.0,166.0,false
PORT-VILA,-18.0,168.10000610351562,false
FIJI1,-18.399999618530273,178.6999969482422,false
FIJI2,-18.299999237060547,176.89999389648438,false
