Key,Day,Enabled,Description,EventPhase,Data
CANAL11,0,true,,,true
CANAL33,0,true,,,true
CANAL01,0,true,,,true
CANAL02,0,true,,,true
CANAL03,0,true,,,true
CANAL04,0,true,,,true
SPAC001,0,true,,,true
SPAC002,0,true,,,true
SPAC003,0,true,,,true
SPAZ003,0,true,,,true
SPAC004,0,true,,,true
SPAC005,0,true,,,true
SPAC006,0,true,,,true
SPAC007,0,true,,,true
SPAZ007,0,true,,,true
SPAC008,0,true,,,true
SPAC009,0,true,,,true
SPAC010,0,true,,,true
SPAC011,0,true,,,true
SPAC012,0,true,,,true
SPAC013,0,true,,,true
SPAC014,0,true,,,true
SPAC015,0,true,,,true
SPAC016,0,true,,,true
SPAC017,0,true,,,true
SPAC018,0,true,,,true
SPAC019,0,true,,,true
SPAC020,0,true,,,true
SPAC021,0,true,,,true
SPAC022,0,true,,,true
SPAC023,0,true,,,true
SPAC024,0,true,,,true
SPAC025,0,true,,,true
SPAC026,0,true,,,true
SPAC027,0,true,,,true
SPAC028,0,true,,,true
SPAC029,0,true,,,true
SPAC030,0,true,,,true
SPAC031,0,true,,,true
SPAC032,0,true,,,true
SPAC033,0,true,,,true
SPAC034,0,true,,,true
SPAC035,0,true,,,true
SPAC036,0,true,,,true
SPAC037,0,true,,,true
SPAC038,0,true,,,true
SPAC039,0,true,,,true
SPAC040,0,true,,,true
SPAC041,0,true,,,true
SPAC042,0,true,,,true
SPAC043,0,true,,,true
SPAC044,0,true,,,true
SPAC045,0,true,,,true
SPAC046,0,true,,,true
SPAC047,0,true,,,true
SPAC048,0,true,,,true
SPAC049,0,true,,,true
SPAC050,0,true,,,true
SPAC051,0,true,,,true
SPAC052,0,true,,,true
SPAC053,0,true,,,true
SPAC054,0,true,,,true
SPAC055,0,true,,,true
SPAC056,0,true,,,true
SPAC057,0,true,,,true
SPACY57,0,true,,,true
SPACZ57,0,true,,,true
SPAC058,0,true,,,true
SPAC059,0,true,,,true
SPAC060,0,true,,,true
SPAC061,0,true,,,true
SPAC062,0,true,,,true
SPAC062 DUP,0,true,,,true
SPAC063,0,true,,,true
SPAC064,0,true,,,true
SPAC065,0,true,,,true
SPAC066,0,true,,,true
SPAC067,0,true,,,true
SPAC068,0,true,,,true
SPAC069,0,true,,,true
SPAC070,0,true,,,true
SPACZ70,0,true,,,true
SPAC071,0,true,,,true
SPAC072,0,true,,,true
SPAC073,0,true,,,true
SPAC074,0,true,,,true
SPAC075,0,true,,,true
SPAC076,0,true,,,true
SPACZ76,0,true,,,true
SPACX76,0,true,,,true
SPAC077,0,true,,,true
SPAC078,0,true,,,true
SPAC079,0,true,,,true
SPAC080,0,true,,,true
SPAC081,0,true,,,true
SPAC082,0,true,,,true
SPAC083,0,true,,,true
SPAC084,0,true,,,true
SPAC085,0,true,,,true
SPAC086,0,true,,,true
SPAC087,0,true,,,true
SPAC088,0,true,,,true
SPACZ88,0,true,,,true
SPAC089,0,true,,,true
SPAC090,0,true,,,true
SPAC091,0,true,,,true
SPAC092,0,true,,,true
SPAC093,0,true,,,true
SPAC094,0,true,,,true
SPAC095,0,true,,,true
SPAZ095,0,true,,,true
SPAC096,0,true,,,true
SPAC097,0,true,,,true
SPAZ097,0,true,,,true
SPAC098,0,true,,,true
SPAC099,0,true,,,true
SPAC100,0,true,,,true
SPAC101,0,true,,,true
SPAC102,0,true,,,true
SPAC103,0,true,,,true
SPAC104,0,true,,,true
SPAC105,0,true,,,true
SPAC106,0,true,,,true
SPAC107,0,true,,,true
SPAZ107,0,true,,,true
SPAC108,0,true,,,true
SPAC109,0,true,,,true
SPAC110,0,true,,,true
SPAC111,0,true,,,true
SPAC112,0,true,,,true
SPAC113,0,true,,,true
SPAC114,0,true,,,true
SPAC115,0,true,,,true
SPAC116,0,true,,,true
SPAC117,0,true,,,true
SPAC118,0,true,,,true
SPAC119,0,true,,,true
SPAC120,0,true,,,true
SPAC121,0,true,,,true
SPAC122,0,true,,,true
SPAC123,0,true,,,true
SPAC124,0,true,,,true
SPAC125,0,true,,,true
SPAC126,0,true,,,true
SPAC127,0,true,,,true
SPAC128,0,true,,,true
SPAC129,0,true,,,true
SPAC130,0,true,,,true
SPAC131,0,true,,,true
SPAC132,0,true,,,true
SPAC133,0,true,,,true
SPAC134,0,true,,,true
SPAC135,0,true,,,true
SPAC136,0,true,,,true
SPAC137,0,true,,,true
SPAC138,0,true,,,true
