Geoloc,Name,Day,Enabled,Description,EventPhase,Length,Depth,Width,ApronWidth,TankerLoadRate,PolConnections
SYZZ,SYZZBBULK/RORO01,0,true,,,2000,38,800,60,2000,0
SYZZ,SYZZBBULK/RORO02,0,true,,,1000,37,800,60,2000,0
SYZZ,SYZZBBULK/RORO03,0,true,,,1000,38,800,60,2000,0
SYZZ,SYZZBBULK/RORO04,0,true,,,2000,36,800,60,2000,0
SYZZ,SYZZBBULK/RORO05,0,true,,,2000,38,800,60,2000,0
SYZZ,SYZZBBULK/RORO06,0,true,,,1000,38,800,60,2000,0
SYZZ,SYZZBBULK/RORO07,0,true,,,1000,38,800,60,2000,0
SYZZ,SYZZBBULK/RORO08,0,true,,,1000,40,800,60,2000,0
00A1,00A1BBULK/RORO01,0,true,,,4129,33,800,60,2000,0
GWZP,GWZPVISA      01,0,true,,,9999,99,800,60,2000,0
AVYX,AVYXVISA      01,0,true,,,9999,99,800,60,2000,0
UULX,UULXVISA      01,0,true,,,9999,99,800,60,2000,0
TRZP,TRZPGENERAL PU01,0,true,,,1200,39,800,60,2000,0
KZTZ,KZTZVISA      01,0,true,,,9999,99,800,60,2000,0
BBNV,BBNVBBULK/CONT01,0,true,,,1435,40,800,60,2000,0
BBNV,BBNVGENERAL PU01,0,true,,,1342,38,800,60,2000,0
BBNV,BBNVGENERAL PU02,0,true,,,1200,40,800,60,2000,0
BBNV,BBNVGENERAL PU03,0,true,,,1450,36,800,60,2000,0
BBNV,BBNVGENERAL PU04,0,true,,,580,30,800,60,2000,0
BBNV,BBNVGENERAL PU05,0,true,,,1000,42,800,60,2000,0
BBNV,BBNVGENERAL PU06,0,true,,,1000,42,800,60,2000,0
BBNV,BBNVGENERAL PU07,0,true,,,1000,42,800,60,2000,0
BBNV,BBNVGENERAL PU08,0,true,,,1000,42,800,60,2000,0
BBNV,BBNVGENERAL PU09,0,true,,,1000,42,800,60,2000,0
ZSJC,ZSJCVISA      01,0,true,,,9999,99,800,60,2000,0
RQNK,RQNKVISA      01,0,true,,,9999,99,800,60,2000,0
BBNQ,BBNQ BG,0,true,,,1000,50,800,120,2000,0
HNTS,Gabes berth1,0,true,,,4000,44,800,180,2000,0
HNTS,Gabes berth2,0,true,,,4000,90,800,180,2000,0
HNTS,Gabes tanker berth,0,true,,,1000,44,800,180,450,2
SVCN,SVCNVISA      01,0,true,,,9999,99,800,60,2000,0
