GeolocCode,BerthName,CraneName
SYZZ,SYZZBBULK/RORO01,SYZZBBULK/RORO01_Crane
SYZZ,SYZZBBULK/RORO02,SYZZBBULK/RORO02_Crane
SYZZ,SYZZBBULK/RORO03,SYZZBBULK/RORO03_Crane
SYZZ,SYZZBBULK/RORO04,SYZZBBULK/RORO04_Crane
SYZZ,SYZZBBULK/RORO05,SYZZBBULK/RORO05_Crane
SYZZ,SYZZBBULK/RORO06,SYZZBBULK/RORO06_Crane
SYZZ,SYZZBBULK/RORO07,SYZZBBULK/RORO07_Crane
SYZZ,SYZZBBULK/RORO08,SYZZBBULK/RORO08_Crane
00A1,00A1BBULK/RORO01,00A1BBULK/RORO01_Crane
GWZP,GWZPVISA      01,GWZPVISA      01_Crane
AVYX,AVYXVISA      01,AVYXVISA      01_Crane
UULX,UULXVISA      01,UULXVISA      01_Crane
TRZP,TRZPGENERAL PU01,TRZPGENERAL PU01_Crane
KZTZ,KZTZVISA      01,KZTZVISA      01_Crane
BBNV,BBNVBBULK/CONT01,BBNVBBULK/CONT01_Crane
BBNV,BBNVGENERAL PU01,BBNVGENERAL PU01_Crane
BBNV,BBNVGENERAL PU02,BBNVGENERAL PU02_Crane
BBNV,BBNVGENERAL PU03,BBNVGENERAL PU03_Crane
BBNV,BBNVGENERAL PU04,BBNVGENERAL PU04_Crane
BBNV,BBNVGENERAL PU05,BBNVGENERAL PU05_Crane
BBNV,BBNVGENERAL PU06,BBNVGENERAL PU06_Crane
BBNV,BBNVGENERAL PU07,BBNVGENERAL PU07_Crane
BBNV,BBNVGENERAL PU08,BBNVGENERAL PU08_Crane
BBNV,BBNVGENERAL PU09,BBNVGENERAL PU09_Crane
ZSJC,ZSJCVISA      01,ZSJCVISA      01_Crane
RQNK,RQNKVISA      01,RQNKVISA      01_Crane
HNTS,Gabes berth1,Gantry: Gabes berth1 1
HNTS,Gabes berth1,MobCranes: GABES -HNTS-PRT
HNTS,Gabes berth1,Container: Gabes berth1 1
HNTS,Gabes berth2,MobCranes: GABES -HNTS-PRT
HNTS,Gabes berth2,Gantry: Gabes berth2 1
HNTS,Gabes berth2,Container: Gabes berth2 1
HNTS,Gabes tanker berth,MobCranes: GABES -HNTS-PRT
HNTS,Gabes tanker berth,Gantry: Gabes tanker berth 1
HNTS,Gabes tanker berth,Container: Gabes tanker berth 1
SVCN,SVCNVISA      01,SVCNVISA      01_Crane
UULB,UULBVISA      01,UULBVISA      01_Crane
UULA,UULAVISA      01,UULAVISA      01_Crane
SERU,SERUBBULK/CONT01,SERUBBULK/CONT01_Crane
SERU,SERUBBULK/RORO01,SERUBBULK/RORO01_Crane
SERU,SERUBBULK/RORO02,SERUBBULK/RORO02_Crane
SERU,SERUBBULK/RORO03,SERUBBULK/RORO03_Crane
SERU,SERUBBULK/RORO04,SERUBBULK/RORO04_Crane
SERU,SERUBBULK/RORO05,SERUBBULK/RORO05_Crane
SERU,SERUGENERAL PU01,SERUGENERAL PU01_Crane
SERU,SERUGENERAL PU02,SERUGENERAL PU02_Crane
SERU,SERUGENERAL PU03,SERUGENERAL PU03_Crane
SERU,SERUGENERAL PU04,SERUGENERAL PU04_Crane
SERU,SERUGENERAL PU05,SERUGENERAL PU05_Crane
SERU,SERUGENERAL PU06,SERUGENERAL PU06_Crane
SERU,SERUGENERAL PU07,SERUGENERAL PU07_Crane
SERU,SERUGENERAL PU08,SERUGENERAL PU08_Crane
SERU,SERUGENERAL PU09,SERUGENERAL PU09_Crane
SERU,SERUGENERAL PU10,SERUGENERAL PU10_Crane
SERU,SERUGENERAL PU11,SERUGENERAL PU11_Crane
SERU,SERUGENERAL PU12,SERUGENERAL PU12_Crane
SERU,SERURORO/CONTN01,SERURORO/CONTN01_Crane
SERU,SERUVISA      01,SERUVISA      01_Crane
AAPV,AAPVVISA      01,AAPVVISA      01_Crane
TZYR,TZYRBREAKBULK 01,TZYRBREAKBULK 01_Crane
TZYR,TZYRGENERAL PU01,TZYRGENERAL PU01_Crane
MLDL,MLDLGENERAL PU01,MLDLGENERAL PU01_Crane
MLDL,MLDLVISA      01,MLDLVISA      01_Crane
VPRF,VPRFVISA      01,VPRFVISA      01_Crane
TZL4,TZL4GENERAL PU01,TZL4GENERAL PU01_Crane
TZL4,TZL4GENERAL PU02,TZL4GENERAL PU02_Crane
BSRL,BSRL berth container,MobCranes: BIZERTE -BSRL-PRT
BSRL,BSRL berth container,Gantry: BSRL berth container 1
BSRL,BSRL berth container,Container: BSRL berth container 1
BSRL,BSRL berth general purpose,MobCranes: BIZERTE -BSRL-PRT
BSRL,BSRL berth general purpose,Container: BSRL berth general purpose 1
BSRL,BSRL berth general purpose,Gantry: BSRL berth general purpose 1
FVMT,FVMTBBULK/RORO01,FVMTBBULK/RORO01_Crane
FVMT,FVMTBBULK/RORO02,FVMTBBULK/RORO02_Crane
FVMT,FVMTGENERAL PU01,FVMTGENERAL PU01_Crane
FVMT,FVMTGENERAL PU02,FVMTGENERAL PU02_Crane
FVMT,FVMTGENERAL PU03,FVMTGENERAL PU03_Crane
FVMT,FVMTGENERAL PU04,FVMTGENERAL PU04_Crane
FVMT,FVMTGENERAL PU05,FVMTGENERAL PU05_Crane
FVMT,FVMTGENERAL PU06,FVMTGENERAL PU06_Crane
EDME,EDMEVISA      01,EDMEVISA      01_Crane
XYNK,XYNKVISA      01,XYNKVISA      01_Crane
