Name,GeolocCode,TotalNewLimit
SYZZBBULK/RORO01,SYZZ,2100000000
SYZZBBULK/RORO02,SYZZ,2100000000
SYZZBBULK/RORO03,SYZZ,2100000000
SYZZBBULK/RORO04,SYZZ,2100000000
SYZZBBULK/RORO05,SYZZ,2100000000
SYZZBBULK/RORO06,SYZZ,2100000000
SYZZBBULK/RORO07,SYZZ,2100000000
SYZZBBULK/RORO08,SYZZ,2100000000
00A1BBULK/RORO01,00A1,2100000000
GWZPVISA      01,GWZP,2100000000
AVYXVISA      01,AVYX,2100000000
UULXVISA      01,UULX,2100000000
TRZPGENERAL PU01,TRZP,2100000000
KZTZVISA      01,KZTZ,2100000000
BBNVBBULK/CONT01,BBNV,2100000000
BBNVGENERAL PU01,BBNV,2100000000
BBNVGENERAL PU02,BBNV,2100000000
BBNVGENERAL PU03,BBNV,2100000000
BBNVGENERAL PU04,BBNV,2100000000
BBNVGENERAL PU05,BBNV,2100000000
BBNVGENERAL PU06,BBNV,2100000000
BBNVGENERAL PU07,BBNV,2100000000
BBNVGENERAL PU08,BBNV,2100000000
BBNVGENERAL PU09,BBNV,2100000000
ZSJCVISA      01,ZSJC,2100000000
RQNKVISA      01,RQNK,2100000000
BBNQ BG,BBNQ,2100000000
BG Gabes berth1,HNTS,2100000000
BG Gabes berth2,HNTS,2100000000
BG Gabes tanker berth,HNTS,2100000000
SVCNVISA      01,SVCN,2100000000
UULBVISA      01,UULB,2100000000
UULAVISA      01,UULA,2100000000
SERUBBULK/CONT01,SERU,2100000000
SERUBBULK/RORO01,SERU,2100000000
SERUBBULK/RORO02,SERU,2100000000
SERUBBULK/RORO03,SERU,2100000000
SERUBBULK/RORO04,SERU,2100000000
SERUBBULK/RORO05,SERU,2100000000
SERUGENERAL PU01,SERU,2100000000
SERUGENERAL PU02,SERU,2100000000
SERUGENERAL PU03,SERU,2100000000
SERUGENERAL PU04,SERU,2100000000
SERUGENERAL PU05,SERU,2100000000
SERUGENERAL PU06,SERU,2100000000
SERUGENERAL PU07,SERU,2100000000
SERUGENERAL PU08,SERU,2100000000
SERUGENERAL PU09,SERU,2100000000
SERUGENERAL PU10,SERU,2100000000
SERUGENERAL PU11,SERU,2100000000
SERUGENERAL PU12,SERU,2100000000
SERURORO/CONTN01,SERU,2100000000
SERUVISA      01,SERU,2100000000
AAPVVISA      01,AAPV,2100000000
TZYRBREAKBULK 01,TZYR,2100000000
TZYRGENERAL PU01,TZYR,2100000000
MLDLGENERAL PU01,MLDL,2100000000
MLDLVISA      01,MLDL,2100000000
VPRFVISA      01,VPRF,2100000000
TZL4GENERAL PU01,TZL4,2100000000
TZL4GENERAL PU02,TZL4,2100000000
BG BSRL berth container,BSRL,2100000000
BG BSRL berth general purpose,BSRL,2100000000
FVMTBBULK/RORO01,FVMT,2100000000
FVMTBBULK/RORO02,FVMT,2100000000
FVMTGENERAL PU01,FVMT,2100000000
FVMTGENERAL PU02,FVMT,2100000000
FVMTGENERAL PU03,FVMT,2100000000
FVMTGENERAL PU04,FVMT,2100000000
FVMTGENERAL PU05,FVMT,2100000000
FVMTGENERAL PU06,FVMT,2100000000
EDMEVISA      01,EDME,2100000000
XYNKVISA      01,XYNK,2100000000
JWTDVISA      01,JWTD,2100000000
NEW YORK berth group-RRRK,RRRK,2100000000
LYAPVISA      01,LYAP,2100000000
MKAGVISA      01,MKAG,2100000000
FNLDGENERAL PU01,FNLD,2100000000
XUDTVISA      01,XUDT,2100000000
RGJWGENERAL PU01,RGJW,2100000000
RGJWVISA      01,RGJW,2100000000
QHPFBBULK/RORO01,QHPF,2100000000
QHPFBBULK/RORO02,QHPF,2100000000
QHPFBBULK/RORO03,QHPF,2100000000
QHPFBBULK/RORO04,QHPF,2100000000
QHPFGENERAL PU01,QHPF,2100000000
QHPFGENERAL PU02,QHPF,2100000000
QHPFVISA      01,QHPF,2100000000
QHPBBBULK/RORO01,QHPB,2100000000
QHPBBBULK/RORO02,QHPB,2100000000
QHPBBBULK/RORO03,QHPB,2100000000
QHPBGENERAL PU01,QHPB,2100000000
QHPBVISA      01,QHPB,2100000000
QHPDBBULK/RORO01,QHPD,2100000000
QHPDBBULK/RORO02,QHPD,2100000000
QHPDGENERAL PU01,QHPD,2100000000
QCFFVISA      01,QCFF,2100000000
STRMGENERAL PU01,STRM,2100000000
CWGVVISA      01,CWGV,2100000000
RRQLBBULK/RORO01,RRQL,2100000000
RRQLBBULK/RORO02,RRQL,2100000000
