Name,GeolocCode,BerthType,BerthGroup,Active,FromDay,ToDay,Length,ShipSpacing,Depth,Width,ApronWidth,MilitaryAvailable,TankerLoadRate,AllowableCargo,Overhang,PolConnections
SYZZBBULK/RORO01,SYZZ,BBULK/RORO,SYZZBBULK/RORO01,true,0,99999,2000,50,38,800,60,true,2000,BOTH,0,0
SYZZBBULK/RORO02,SYZZ,BBULK/RORO,SYZZBBULK/RORO02,true,0,99999,1000,50,37,800,60,true,2000,BOTH,0,0
SYZZBBULK/RORO03,SYZZ,BBULK/RORO,SYZZBBULK/RORO03,true,0,99999,1000,50,38,800,60,true,2000,BOTH,0,0
SYZZBBULK/RORO04,SYZZ,BBULK/RORO,SYZZBBULK/RORO04,true,0,99999,2000,50,36,800,60,true,2000,BOTH,0,0
SYZZBBULK/RORO05,SYZZ,BBULK/RORO,SYZZBBULK/RORO05,true,0,99999,2000,50,38,800,60,true,2000,BOTH,0,0
SYZZBBULK/RORO06,SYZZ,BBULK/RORO,SYZZBBULK/RORO06,true,0,99999,1000,50,38,800,60,true,2000,BOTH,0,0
SYZZBBULK/RORO07,SYZZ,BBULK/RORO,SYZZBBULK/RORO07,true,0,99999,1000,50,38,800,60,true,2000,BOTH,0,0
SYZZBBULK/RORO08,SYZZ,BBULK/RORO,SYZZBBULK/RORO08,true,0,99999,1000,50,40,800,60,true,2000,BOTH,0,0
00A1BBULK/RORO01,00A1,BBULK/RORO,00A1BBULK/RORO01,true,1,99999,4129,50,33,800,60,true,2000,BOTH,0,0
GWZPVISA      01,GWZP,VISA,GWZPVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
AVYXVISA      01,AVYX,VISA,AVYXVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
UULXVISA      01,UULX,VISA,UULXVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
TRZPGENERAL PU01,TRZP,GENERAL PURP,TRZPGENERAL PU01,true,0,99999,1200,50,39,800,60,true,2000,BOTH,0,0
KZTZVISA      01,KZTZ,VISA,KZTZVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
BBNVBBULK/CONT01,BBNV,BBULK/CONTNR,BBNVBBULK/CONT01,true,0,99999,1435,50,40,800,60,true,2000,BOTH,0,0
BBNVGENERAL PU01,BBNV,GENERAL PURP,BBNVGENERAL PU01,true,0,99999,1342,50,38,800,60,true,2000,BOTH,0,0
BBNVGENERAL PU02,BBNV,GENERAL PURP,BBNVGENERAL PU02,true,0,99999,1200,50,40,800,60,true,2000,BOTH,0,0
BBNVGENERAL PU03,BBNV,GENERAL PURP,BBNVGENERAL PU03,false,0,99999,1450,50,36,800,60,true,2000,BOTH,0,0
BBNVGENERAL PU04,BBNV,GENERAL PURP,BBNVGENERAL PU04,false,0,99999,580,50,30,800,60,true,2000,BOTH,0,0
BBNVGENERAL PU05,BBNV,GENERAL PURP,BBNVGENERAL PU05,true,0,99999,1000,50,42,800,60,true,2000,BOTH,0,0
BBNVGENERAL PU06,BBNV,GENERAL PURP,BBNVGENERAL PU06,true,0,99999,1000,50,42,800,60,true,2000,BOTH,0,0
BBNVGENERAL PU07,BBNV,GENERAL PURP,BBNVGENERAL PU07,true,0,99999,1000,50,42,800,60,true,2000,BOTH,0,0
BBNVGENERAL PU08,BBNV,GENERAL PURP,BBNVGENERAL PU08,true,0,99999,1000,50,42,800,60,true,2000,BOTH,0,0
BBNVGENERAL PU09,BBNV,GENERAL PURP,BBNVGENERAL PU09,true,0,99999,1000,50,42,800,60,true,2000,BOTH,0,0
ZSJCVISA      01,ZSJC,VISA,ZSJCVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
