Geoloc,Name,Day,Enabled,Description,EventPhase,Quantity,ContainerOnloadRate,ContainerOffloadRate,BreakbulkOnloadRate,BreakbulkOffloadRate
SYZZ,SYZZBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
SYZZ,SYZZBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
SYZZ,SYZZBBULK/RORO03_Crane,0,true,,,1,2250,2250,9000,9000
SYZZ,SYZZBBULK/RORO04_Crane,0,true,,,1,2250,2250,9000,9000
SYZZ,SYZZBBULK/RORO05_Crane,0,true,,,1,2250,2250,9000,9000
SYZZ,SYZZBBULK/RORO06_Crane,0,true,,,1,2250,2250,9000,9000
SYZZ,SYZZBBULK/RORO07_Crane,0,true,,,1,2250,2250,9000,9000
SYZZ,SYZZBBULK/RORO08_Crane,0,true,,,1,2250,2250,9000,9000
00A1,00A1BBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
GWZP,GWZPVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
AVYX,AVYXVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
UULX,UULXVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
TRZP,TRZPGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
KZTZ,KZTZVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
BBNV,BBNVBBULK/CONT01_Crane,0,true,,,1,1400,1400,5600,5600
BBNV,BBNVGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
BBNV,BBNVGENERAL PU02_Crane,0,true,,,1,2250,2250,9000,9000
BBNV,BBNVGENERAL PU03_Crane,0,true,,,1,2250,2250,9000,9000
BBNV,BBNVGENERAL PU04_Crane,0,true,,,1,2250,2250,9000,9000
BBNV,BBNVGENERAL PU05_Crane,0,true,,,1,2250,2250,9000,9000
BBNV,BBNVGENERAL PU06_Crane,0,true,,,1,2250,2250,9000,9000
BBNV,BBNVGENERAL PU07_Crane,0,true,,,1,2250,2250,9000,9000
BBNV,BBNVGENERAL PU08_Crane,0,true,,,1,2250,2250,9000,9000
BBNV,BBNVGENERAL PU09_Crane,0,true,,,1,2250,2250,9000,9000
ZSJC,ZSJCVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
RQNK,RQNKVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
BBNQ,BBNQ CRANE,0,true,,,3,288,288,8000,8000
WPKZ,MobCranes: TABARQAH -WPKZ-PRT,0,true,,,2,100,100,3000,3000
HNTS,Gantry: Gabes berth1 1,0,true,,,1,288,288,8000,8000
HNTS,MobCranes: GABES -HNTS-PRT,0,true,,,2,100,100,3000,3000
HNTS,Container: Gabes berth1 1,0,true,,,1,144,144,4000,4000
HNTS,Gantry: Gabes berth2 1,0,true,,,1,288,288,8000,8000
HNTS,Gantry: Gabes tanker berth 1,0,true,,,1,288,288,8000,8000
HNTS,Container: Gabes tanker berth 1,0,true,,,1,144,144,4000,4000
HNTS,Container: Gabes berth2 1,0,true,,,1,144,144,4000,4000
SVCN,SVCNVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
UULB,UULBVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
UULA,UULAVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
SERU,SERUBBULK/CONT01_Crane,0,true,,,1,1400,1400,5600,5600
SERU,SERUBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUBBULK/RORO03_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUBBULK/RORO04_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUBBULK/RORO05_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUGENERAL PU02_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUGENERAL PU03_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUGENERAL PU04_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUGENERAL PU05_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUGENERAL PU06_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUGENERAL PU07_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUGENERAL PU08_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUGENERAL PU09_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUGENERAL PU10_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUGENERAL PU11_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUGENERAL PU12_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERURORO/CONTN01_Crane,0,true,,,1,2250,2250,9000,9000
SERU,SERUVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
AAPV,AAPVVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
TZYR,TZYRBREAKBULK 01_Crane,0,true,,,1,450,450,1800,1800
TZYR,TZYRGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
MLDL,MLDLGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
MLDL,MLDLVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
VPRF,VPRFVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
TZL4,TZL4GENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
TZL4,TZL4GENERAL PU02_Crane,0,true,,,1,2250,2250,9000,9000
BSRL,MobCranes: BIZERTE -BSRL-PRT,0,true,,,2,100,100,3000,3000
BSRL,Gantry: BSRL berth container 1,0,true,,,1,288,288,8000,8000
BSRL,Container: BSRL berth container 1,0,true,,,1,144,144,4000,4000
BSRL,Container: BSRL berth general purpose 1,0,true,,,1,144,144,4000,4000
BSRL,Gantry: BSRL berth general purpose 1,0,true,,,1,288,288,8000,8000
FVMT,FVMTBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
FVMT,FVMTBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
FVMT,FVMTGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
FVMT,FVMTGENERAL PU02_Crane,0,true,,,1,2250,2250,9000,9000
FVMT,FVMTGENERAL PU03_Crane,0,true,,,1,2250,2250,9000,9000
FVMT,FVMTGENERAL PU04_Crane,0,true,,,1,2250,2250,9000,9000
FVMT,FVMTGENERAL PU05_Crane,0,true,,,1,2250,2250,9000,9000
FVMT,FVMTGENERAL PU06_Crane,0,true,,,1,2250,2250,9000,9000
EDME,EDMEVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
XYNK,XYNKVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
JWTD,JWTDVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
RRRK,NEW YORK gantry crane-RRRK,0,true,,,10,288,288,8000,8000
LYAP,LYAPVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
MKAG,MKAGVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
FNLD,FNLDGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
XUDT,XUDTVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
RGJW,RGJWGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
RGJW,RGJWVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
WMY2,MobCranes: SUSAH -WMY2-PRT,0,true,,,2,100,100,3000,3000
QHPF,QHPFBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
QHPF,QHPFBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
QHPF,QHPFBBULK/RORO03_Crane,0,true,,,1,2250,2250,9000,9000
QHPF,QHPFBBULK/RORO04_Crane,0,true,,,1,2250,2250,9000,9000
QHPF,QHPFGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
QHPF,QHPFGENERAL PU02_Crane,0,true,,,1,2250,2250,9000,9000
QHPF,QHPFVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
QHPB,QHPBBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
QHPB,QHPBBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
QHPB,QHPBBBULK/RORO03_Crane,0,true,,,1,2250,2250,9000,9000
QHPB,QHPBGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
