Name,GeolocCode,Active,FromDay,ToDay,CraneType,Quantity,ContainerOffloadRate,ContainerOnloadRate,BreakbulkOffloadRate,BreakbulkOnloadRate,ServesAll
SYZZBBULK/RORO01_Crane,SYZZ,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SYZZBBULK/RORO02_Crane,SYZZ,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SYZZBBULK/RORO03_Crane,SYZZ,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SYZZBBULK/RORO04_Crane,SYZZ,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SYZZBBULK/RORO05_Crane,SYZZ,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SYZZBBULK/RORO06_Crane,SYZZ,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SYZZBBULK/RORO07_Crane,SYZZ,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SYZZBBULK/RORO08_Crane,SYZZ,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
00A1BBULK/RORO01_Crane,00A1,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
GWZPVISA      01_Crane,GWZP,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
AVYXVISA      01_Crane,AVYX,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
UULXVISA      01_Crane,UULX,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
TRZPGENERAL PU01_Crane,TRZP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
KZTZVISA      01_Crane,KZTZ,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
BBNVBBULK/CONT01_Crane,BBNV,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
BBNVGENERAL PU01_Crane,BBNV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
BBNVGENERAL PU02_Crane,BBNV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
BBNVGENERAL PU03_Crane,BBNV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
BBNVGENERAL PU04_Crane,BBNV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
BBNVGENERAL PU05_Crane,BBNV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
BBNVGENERAL PU06_Crane,BBNV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
BBNVGENERAL PU07_Crane,BBNV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
BBNVGENERAL PU08_Crane,BBNV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
BBNVGENERAL PU09_Crane,BBNV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ZSJCVISA      01_Crane,ZSJC,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
RQNKVISA      01_Crane,RQNK,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
BBNQ CRANE,BBNQ,true,0,99999,MOBILE,3,288,288,8000,8000,true
MobCranes: TABARQAH -WPKZ-PRT,WPKZ,true,-999,99999,MOBILE,2,100,100,3000,3000,false
Gantry: Gabes berth1 1,HNTS,true,-999,99999,GANTRY,1,288,288,8000,8000,false
MobCranes: GABES -HNTS-PRT,HNTS,true,-999,99999,MOBILE,2,100,100,3000,3000,true
Container: Gabes berth1 1,HNTS,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
Gantry: Gabes berth2 1,HNTS,true,-999,99999,GANTRY,1,288,288,8000,8000,false
Gantry: Gabes tanker berth 1,HNTS,true,-999,99999,GANTRY,1,288,288,8000,8000,false
Container: Gabes tanker berth 1,HNTS,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
Container: Gabes berth2 1,HNTS,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
SVCNVISA      01_Crane,SVCN,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
UULBVISA      01_Crane,UULB,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
UULAVISA      01_Crane,UULA,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
SERUBBULK/CONT01_Crane,SERU,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
SERUBBULK/RORO01_Crane,SERU,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SERUBBULK/RORO02_Crane,SERU,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SERUBBULK/RORO03_Crane,SERU,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SERUBBULK/RORO04_Crane,SERU,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SERUBBULK/RORO05_Crane,SERU,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SERUGENERAL PU01_Crane,SERU,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SERUGENERAL PU02_Crane,SERU,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SERUGENERAL PU03_Crane,SERU,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SERUGENERAL PU04_Crane,SERU,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SERUGENERAL PU05_Crane,SERU,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SERUGENERAL PU06_Crane,SERU,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
